row_abs,keywords_llm,raw_response
0,"[""co-teaching"", ""argumentation"", ""mathematics education"", ""special education"", ""teacher professional development""]","{""keywords"": [""co-teaching"", ""argumentation"", ""mathematics education"", ""special education"", ""teacher professional development""]}"
1,"[""mathematical problem solving"", ""mathematical representation"", ""math anxiety"", ""elementary school teachers"", ""multiple linear regression""]","{""keywords"": [""mathematical problem solving"", ""mathematical representation"", ""math anxiety"", ""elementary school teachers"", ""multiple linear regression""]}"
2,"[""computational thinking"", ""design-based learning"", ""preservice teachers"", ""mathematics education"", ""teacher training""]","{""keywords"": [""computational thinking"", ""design-based learning"", ""preservice teachers"", ""mathematics education"", ""teacher training""]}"
3,"[""mathematics education"", ""gamification"", ""primary education"", ""academic performance"", ""student motivation""]","{""keywords"": [""mathematics education"", ""gamification"", ""primary education"", ""academic performance"", ""student motivation""]}"
4,"[""mathematics education"", ""written feedback"", ""higher education"", ""pedagogical strategy"", ""mathematical focus""]","{""keywords"": [""mathematics education"", ""written feedback"", ""higher education"", ""pedagogical strategy"", ""mathematical focus""]}"
5,"[""mathematics education"", ""phenomenological philosophy"", ""mathematical environment"", ""philosophical study"", ""calculus of variations""]","{""keywords"": [""mathematics education"", ""phenomenological philosophy"", ""mathematical environment"", ""philosophical study"", ""calculus of variations""]}"
6,"[""covariational reasoning"", ""geogebra"", ""functional relationships"", ""container filling"", ""simulations""]","{""keywords"": [""covariational reasoning"", ""geogebra"", ""functional relationships"", ""container filling"", ""simulations""]}"
7,"[""metacognition"", ""mathematical modeling"", ""primary school students"", ""socio-emotional experiences"", ""collaborative group work""]","{""keywords"": [""metacognition"", ""mathematical modeling"", ""primary school students"", ""socio-emotional experiences"", ""collaborative group work""]}"
8,"[""blended learning"", ""mathematics education"", ""research trends"", ""knowledge mapping"", ""educational technology""]","{""keywords"": [""blended learning"", ""mathematics education"", ""research trends"", ""knowledge mapping"", ""educational technology""]}"
9,"[""mathematics education"", ""hybrid education"", ""problem solving"", ""university students"", ""learning outcomes""]","{""keywords"": [""mathematics education"", ""hybrid education"", ""problem solving"", ""university students"", ""learning outcomes""]}"
10,"[""mathematics education"", ""secondary education"", ""mathematical competence"", ""socio-economic background"", ""mathematics anxiety""]","{""keywords"": [""mathematics education"", ""secondary education"", ""mathematical competence"", ""socio-economic background"", ""mathematics anxiety""]}"
11,"[""mathematics education"", ""digital platforms"", ""secondary school students"", ""covid-19 pandemic"", ""statistical analysis""]","{""keywords"": [""mathematics education"", ""digital platforms"", ""secondary school students"", ""covid-19 pandemic"", ""statistical analysis""]}"
