keyword,community,degree,weighted_degree
mathematics education,0,313,23701
stem education,2,74,4512
education,1,39,3605
mathematics,1,31,3040
teacher education,0,27,2833
engineering education,2,39,2327
science education,2,22,1795
teacher training,0,11,1026
higher education,2,11,912
engineering,1,10,705
professional development,2,11,609
science,1,4,579
preservice teachers,0,6,530
pedagogy,0,7,481
curriculum,1,5,473
students,1,7,470
artificial intelligence,4,8,461
computational thinking,4,8,439
academic performance,0,8,428
academic achievement,0,8,420
primary education,0,6,417
learning,1,6,387
teacher preparation,0,5,379
technology,1,5,366
student learning,2,5,350
geometry,0,3,342
teacher knowledge,0,4,340
teaching methods,0,2,322
secondary education,0,4,314
teaching,1,4,314
student engagement,2,5,308
teacher development,2,5,307
undergraduate students,2,3,302
student achievement,0,2,287
prospective teachers,0,2,285
mathematical knowledge,0,1,284
teacher professional development,2,4,278
student performance,0,4,277
educational technology,0,4,270
elementary school,0,3,261
mathematics teaching,0,2,260
curriculum development,2,4,255
mathematical thinking,0,2,254
calculus,1,3,254
stem,1,3,252
elementary education,0,4,242
pre-service teachers,0,4,239
lesson study,0,3,232
curricula,2,5,221
numeracy,1,5,214
engineering students,2,3,213
primary school,0,1,205
teacher learning,0,3,204
physics,1,3,200
teachers,1,4,197
middle school,2,3,195
curriculum design,2,3,194
algebra,0,2,193
mathematics teachers,0,2,191
programming,4,5,189
mathematical modelling,0,1,186
mathematics teacher,0,2,180
mathematical modeling,0,1,175
machine learning,4,3,174
special education,0,2,173
pedagogical content knowledge,0,4,172
research,1,2,168
student motivation,2,3,168
technology education,2,4,168
learning outcomes,0,2,164
teacher educators,0,2,161
mathematical concepts,0,1,158
online learning,2,5,157
computer science,4,5,156
literacy,1,4,154
mathematics learning,0,1,152
mathematical reasoning,0,1,149
teacher beliefs,0,1,143
realistic mathematics education,0,1,141
teaching practices,0,2,141
high school students,2,2,141
early childhood education,2,3,139
blended learning,0,2,135
university students,0,2,133
mathematics achievement,0,1,131
high school,0,2,129
problem solving,4,3,128
secondary school,0,1,125
mathematical literacy,0,1,124
curriculum reform,0,1,123
statistics,1,3,122
philosophy,1,3,118
student success,2,3,114
university,1,3,111
pedagogical knowledge,0,2,110
instructional design,0,2,108
middle school students,2,2,107
physics education,2,2,105
active learning,2,2,104
inclusive education,0,1,100
history of mathematics,0,1,100
teaching practice,0,1,100
secondary schools,0,2,100
conceptual understanding,0,1,99
cognition,1,3,92
flipped classroom,0,1,92
student teachers,0,2,87
linear algebra,0,1,87
statistics education,0,2,85
teacher noticing,0,1,85
experiential learning,2,2,81
educational robotics,2,2,80
student attitudes,0,2,80
elementary teachers,0,2,80
mathematical learning,0,1,78
conceptual knowledge,3,2,77
achievement,1,2,75
learning process,0,1,73
teaching and learning,0,1,72
mathematical problem solving,0,1,72
mathematics anxiety,0,1,70
stem careers,2,3,70
teaching strategies,0,1,67
deep learning,4,2,67
motivation,1,2,64
k-12 education,2,2,63
instructional practices,0,1,63
mathematical understanding,0,1,63
student perceptions,2,2,62
primary schools,0,1,61
mathematics education research,0,1,61
mathematical skills,0,1,60
math anxiety,0,1,60
gifted students,0,1,60
textbooks,0,1,60
elementary students,0,1,59
elementary schools,0,1,59
mathematics curriculum,0,1,59
mathematical creativity,0,1,59
augmented reality,5,2,59
mathematical education,1,2,58
mathematical techniques,0,1,57
mathematical competence,0,1,57
primary school teachers,0,1,57
teacher identity,0,1,56
critical thinking,2,2,56
mathematical problems,0,1,56
diversity,1,2,55
primary school students,0,1,54
language,1,2,54
primary teachers,0,1,54
engineering mathematics,2,2,54
project-based learning,2,1,53
history,1,1,53
teacher candidates,0,1,53
career development,2,1,52
school mathematics,0,1,52
secondary school students,0,1,52
teaching learning,0,1,51
educational research,0,1,51
early childhood,2,2,51
undergraduate education,2,2,50
undergraduate research,2,1,49
teacher,1,2,48
interdisciplinary learning,2,1,48
school performance,0,2,48
robotics,4,2,48
science teaching,2,2,47
student outcomes,0,1,47
gender,1,1,47
teacher competence,0,1,46
teaching quality,0,1,45
interactive learning,0,1,45
mathematical proof,0,1,45
online teaching,0,1,44
instructional quality,0,1,44
discrete mathematics,0,1,43
mathematical communication,0,1,43
algebraic thinking,0,1,43
secondary mathematics,0,1,43
mechanical engineering,2,1,42
graduate students,2,1,42
children,1,1,42
inquiry-based learning,2,2,42
educational reform,0,1,41
teacher practices,0,1,41
urban education,0,1,41
pedagogical practices,0,1,40
learning environment,0,1,40
elementary school students,0,1,40
engineering design,2,1,40
classroom practice,0,1,39
teacher collaboration,0,1,39
intelligent tutoring systems,0,1,39
mathematical ability,0,1,39
learning achievement,0,1,39
mathematical practice,0,1,38
cognitive skills,0,1,38
mathematical competencies,0,1,38
assessment,1,1,38
vocational education,0,1,38
teacher quality,0,1,37
mathematical achievement,0,1,37
teacher attitudes,0,1,37
academic success,0,1,37
elementary mathematics,0,1,37
