keyword,community,degree,weighted_degree
students,4,502,64690
education,15,425,54601
human,1,256,39915
engineering education,4,300,38198
teaching,4,323,34507
mathematics,15,165,30187
humans,1,174,28720
male,1,173,25933
curricula,4,203,20355
article,1,123,18687
education computing,4,185,16792
female,1,72,15978
child,1,75,14115
student,15,90,13762
learning,15,103,10688
mathematics education,4,118,10139
science,15,83,9020
adolescent,1,64,8494
engineering,15,75,8255
learning systems,4,98,8029
"stem (science, technology, engineering and mathematics)",4,68,7599
e-learning,4,76,7191
technology,15,58,7067
psychology,1,60,6866
school,1,65,6695
academic achievement,15,77,6298
adult,1,44,6061
cognition,1,69,5915
curriculum,15,75,5051
stem education,4,50,5001
computer aided instruction,4,46,4951
engineering and mathematics,4,33,4546
university,15,44,4507
achievement,1,48,4367
controlled study,2,57,4150
science technologies,4,35,4052
reading,1,32,3733
educational measurement,15,49,3622
stem,15,38,3487
schools,15,34,3415
educational status,15,51,3300
professional aspects,4,40,3278
teacher,15,41,2994
science education,4,28,2913
research,15,37,2705
teachers',4,30,2662
language,1,27,2632
procedures,1,27,2626
human experiment,1,23,2615
personnel training,4,26,2548
higher education,4,36,2476
longitudinal study,1,30,2415
engineering research,4,23,2400
methodology,1,35,2389
academic performance,15,35,2317
mathematics learning,4,30,2297
skill,15,35,2204
teaching and learning,4,23,2147
physiology,1,22,2097
statistics,1,32,2039
universities,15,20,1981
young adult,1,13,1869
preschool child,1,23,1846
"child, preschool",1,23,1830
technology education,4,16,1828
longitudinal studies,1,25,1782
intelligence,1,30,1775
review,1,34,1730
questionnaire,15,30,1700
knowledge,15,27,1693
professional development,4,26,1661
educational technology,4,24,1617
major clinical study,2,22,1482
comprehension,1,21,1458
educational robots,10,19,1441
"science , technology , engineering , and mathematics",4,10,1437
high school,15,24,1417
comparative study,1,25,1406
priority journal,1,19,1400
school child,15,25,1370
motivation,15,21,1364
gender,1,21,1354
artificial intelligence,4,27,1337
"science , technology , engineering and mathematics",4,9,1263
problem solving,15,22,1247
high educations,4,15,1203
computer science,4,19,1203
career,1,22,1189
primary school,15,25,1183
teacher education,4,23,1175
learning environments,4,12,1159
undergraduate students,4,12,1112
mathematics teacher,4,15,1110
surveys,4,7,1080
child development,1,16,1076
mathematical techniques,15,16,1076
mathematics course,4,13,1052
psychological aspect,1,17,1026
learning disorder,1,23,1014
high school students,4,7,1008
faculty,15,17,1007
secondary schools,4,13,1004
technical presentations,4,11,1001
elementary schools,4,13,996
clinical article,1,11,983
learning process,4,13,983
education program,15,22,982
attention,1,19,964
academic success,15,18,957
trees (mathematics),13,12,956
medical education,15,25,939
note,15,15,931
student learning,4,12,917
learning mathematics,4,14,906
science and engineering,4,10,881
aptitude,1,16,877
project based learning,4,9,857
calculations,4,13,855
physics,15,16,853
engineering mathematics,4,11,848
computer science education,4,14,831
decision trees,13,12,830
biology,1,18,824
age,1,14,823
data mining,13,17,817
primary education,15,18,811
computer programming,4,13,796
teacher training,4,17,794
mathematics teachings,4,14,784
international,17,12,781
sex difference,1,6,781
infant,1,12,779
self concept,1,9,768
parents,1,17,749
teachers,15,15,740
primary schools,4,13,739
sex factors,1,9,727
childhood,1,14,722
robotics,10,13,717
design,4,12,715
secondary education,15,17,715
learning outcome,4,12,703
middle school,4,12,701
intelligent tutoring system,4,12,699
educational robotics,10,12,679
engineers,4,7,676
programming,10,14,675
machine learning,13,13,668
literacy,15,14,666
societies and institutions,4,6,655
thinking,1,13,634
science and technology,4,10,633
laboratories,4,9,628
learning experiences,4,10,627
contrastive learning,13,7,615
writing,1,10,614
teaching methods,4,11,610
active learning,4,9,596
distance education,4,8,593
engineering curriculum,4,6,589
engineering course,4,10,584
learning disorders,1,13,575
computational thinking,10,12,575
learning models,4,8,574
nursing education,16,11,560
conference,17,8,555
mathematical concepts,15,10,554
learning algorithms,4,11,552
engineering program,4,8,546
higher school,4,10,545
student engagement,4,8,537
junior high schools,4,5,535
student performance,4,7,533
computational thinkings,10,12,522
medical research,1,12,521
social status,1,9,508
numeracy,15,11,507
clinical competence,16,14,505
standard,15,10,503
algebra,4,8,501
problem based learning,4,8,501
children,1,11,490
educational development,15,13,486
collaborative learning,4,7,485
questionnaires,15,11,484
graduate students,4,7,483
national science foundations,4,7,479
scientist,15,11,476
algorithms,13,12,473
curriculum development,4,8,468
intelligence quotient,1,9,465
decision making,13,10,463
online learning,4,10,457
behavior,1,12,455
middle aged,1,5,454
linguistics,1,9,450
special education,15,14,441
blended learning,4,10,439
federated learning,13,5,438
parent,1,11,437
nursing student,16,10,432
robot programming,10,9,432
learning activity,4,9,430
teaching materials,4,10,430
educational model,15,11,427
assessment,4,9,427
statistical model,1,7,417
attitude,1,9,414
"education, special",1,10,413
"students, nursing",16,10,412
training,15,10,411
geometry,4,8,406
middle school students,4,7,406
communication,1,10,402
employment,4,9,395
university students,4,8,395
"education, nursing, baccalaureate",16,10,392
engineering disciplines,4,7,390
tutoring system,4,8,390
educational innovation,4,8,388
mathematics curricula,4,7,387
history,15,9,381
standards,15,8,380
textbooks,4,8,375
aged,1,6,373
"science, technology, engineering, and mathematic",4,5,369
teacher professional development,4,10,365
adversarial machine learning,13,5,364
working memory,2,9,363
internet,15,8,360
intelligent tutoring systems,4,8,360
intelligent tutoring,4,8,360
"models, educational",15,10,357
educational innovations,4,8,356
"infant, newborn",1,10,355
normal human,1,6,352
project-based learning,4,6,346
pedagogy,4,9,345
college students,4,6,342
students' interests,4,7,341
decision tree,13,5,336
engineering degrees,4,7,336
prospective studies,1,10,336
learn+,4,6,336
cohort studies,2,8,336
school teachers,15,9,335
higher education institutions,4,7,334
evaluation,15,8,328
interview,1,7,328
nursing,16,9,324
randomized controlled trial,2,4,323
physical education,15,10,320
self efficacy,1,6,319
brain,1,8,318
educational data mining,13,7,316
classification,13,9,316
"science , technology , engineering , and mathematics educations",4,8,313
school students,4,8,313
intervention,1,8,313
machine-learning,13,6,312
personnel,20,8,310
colleges and universities,4,7,309
prospective study,1,8,306
editorial,1,6,304
school teacher,15,9,304
arithmetic,15,6,303
development,15,8,301
economics,15,7,295
teaching practices,4,7,295
ethnicity,1,7,291
engineering design,4,4,290
educational institutions,4,6,288
socioeconomics,1,5,287
science teachers,4,9,285
demography,1,6,282
learning materials,4,8,281
information technology,4,6,280
medical student,15,6,278
experiential learning,4,6,277
"science , technology , engineering , and maths",4,4,274
cross-sectional study,2,5,273
information science,15,7,273
science learning,4,9,272
systematic review,1,8,270
innovation,15,6,268
student motivation,4,6,267
information systems,4,7,265
child behavior,1,6,264
machine design,10,6,262
information use,4,7,262
preservice teachers,4,7,262
mother,1,8,261
engineering fields,4,7,260
career choice,13,4,260
mathematical phenomena,15,3,260
first year students,4,5,260
algorithm,1,5,260
sex factor,1,5,259
academic achievements,4,7,258
mathematical programming,10,6,258
emotion,1,7,257
engineering design process,4,4,256
psychometry,1,5,255
instructional designs,4,8,255
robots,10,5,254
prematurity,1,7,254
mathematical knowledge,4,6,253
perception,1,4,251
engineering undergraduates,4,6,251
prevalence,1,5,251
educational systems,4,6,249
k-12 education,4,5,249
undergraduate engineering students,4,6,248
policy,1,7,247
computer software,4,6,245
mobile learning,4,6,245
cross-sectional studies,2,5,244
short term memory,2,5,244
educational game,4,8,243
student achievement,4,6,242
intellectual impairment,1,7,242
child parent relation,1,6,241
classification (of information),13,5,239
research methods,4,5,239
"memory, short-term",2,5,237
computer games,4,8,237
undergraduate education,4,5,237
elementary education,4,6,236
nursing education research,16,7,236
mentor,15,6,235
informatics,4,7,235
community college,4,5,234
undergraduate engineering,4,6,233
newborn,1,7,232
pathophysiology,1,4,232
sociology,1,7,232
cognitive development,1,5,232
deep learning,4,7,231
student perceptions,4,5,230
social class,1,5,230
research and development,4,6,229
game-based learning,4,6,229
augmented reality,13,6,229
early childhood intervention,1,5,228
school buildings,4,4,227
undergraduate,15,7,226
kindergarten,1,6,225
knowledge management,4,6,225
"education, graduate",15,7,224
philosophy,15,6,223
education systems,4,6,223
matlab,4,4,223
nasa,4,4,223
culture,1,7,222
mathematical educations,4,7,220
early intervention (education),1,5,220
computing education,4,6,220
diversity,15,6,219
publication,1,6,215
visualization,13,7,215
chemistry,15,4,214
engineering and technology,4,5,214
educational environment,4,7,212
cultural anthropology,1,6,210
time,1,7,210
adolescence,1,7,209
educational process,4,6,208
caucasian,1,7,207
engineering careers,4,4,206
program evaluation,15,6,206
memory,1,6,205
human relation,1,6,205
surveys and questionnaires,15,4,205
forecasting,13,5,204
stem careers,4,5,204
equity,15,5,203
behavioral research,4,4,202
integration,15,3,201
math,1,6,201
technical universities,4,5,201
comorbidity,1,7,200
mental capacity,1,5,200
short survey,1,5,198
software engineering,4,4,197
letter,15,5,197
interactive learning,4,6,197
virtual reality,13,6,197
school mathematics,4,5,197
personalized learning,4,5,196
women,1,6,196
technology fields,4,5,196
spelling,1,5,195
based,15,5,195
hispanic,1,5,194
mentors,15,5,194
mentoring,15,5,193
technology enhanced learning,4,6,191
retrospective study,2,6,191
e - learning,4,5,191
statistical analysis,1,5,190
software,15,6,190
engineering students,4,4,189
first-year engineering,4,4,189
student success,4,4,188
websites,4,4,187
apprentices,4,5,187
awareness,1,5,184
educational experiences,4,5,184
art,15,7,183
england,1,6,182
pregnancy,1,4,182
organization,1,6,182
"models, statistical",1,4,182
physics education,4,6,182
gestational age,1,5,181
female students,4,3,181
high school mathematics,4,5,180
student learning outcomes,4,5,179
age factors,1,5,175
statistics and numerical data,15,4,174
family,1,5,173
language model,18,4,172
controlled clinical trial,2,4,172
concept formation,15,4,171
forestry,13,3,170
probability,1,4,169
pedagogical approach,4,5,168
undergraduate research,4,4,168
undergraduate courses,4,5,168
human engineering,4,4,165
creativity,15,5,164
problem-solving,15,3,164
human computer interaction,4,4,163
research personnel,20,5,163
individuality,1,5,163
"students, medical",15,5,163
race,1,5,163
teaching model,4,5,161
learning achievement,4,5,161
preschool,1,5,161
anxiety,1,3,160
educational program,4,4,159
knowledge acquisition,4,4,158
government,15,5,157
learning approach,4,4,157
cultural factor,1,4,157
mental performance,1,4,155
social psychology,1,5,155
mathematics teaching,4,5,155
medical school,15,5,154
problem-based learning,4,3,154
minority group,1,2,154
mothers,1,6,153
educational tools,4,5,153
reasoning,15,5,152
engineering learning,4,6,151
education policy,15,6,151
accreditation,4,4,151
conceptual understanding,4,4,151
animals,1,4,150
outcome assessment,15,3,150
critical thinking,15,4,149
inquiry-based learning,4,4,149
engineering concepts,4,4,149
calculation,2,3,149
clinical trial,2,4,149
"models, psychological",1,4,147
elementary school,15,5,146
information management,13,4,145
distance learning,4,4,145
school of engineering,4,4,145
mathematical problems,4,4,145
neuropsychological tests,2,3,144
high school teachers,4,4,144
theoretical model,15,3,144
learning objectives,4,5,144
learning management system,4,5,144
high school student,15,5,143
university sector,15,4,142
cohort analysis,2,3,142
pre-service teacher,4,4,141
mathematical problem solving,15,4,141
sexism,1,4,141
medication errors,16,4,140
australia,1,4,140
undergraduate student,1,5,139
sweden,1,5,139
psychological model,1,4,139
registries,1,6,139
social behavior,1,5,139
model,15,4,139
gender identity,1,4,139
computational biology,1,4,138
"science, technology, engineering and mathematic",4,3,138
social sciences,4,4,138
body mass,1,4,137
proceedings,17,2,137
industrial research,4,3,137
complication,1,5,136
cooperation,1,5,135
lesson plans,4,4,135
instruction,15,4,134
theory,15,3,134
elementary students,4,4,133
elementary student,15,5,133
differential equations,4,4,133
mathematical models,13,5,132
underrepresented students,4,3,132
educational attainment,15,5,132
cognition disorders,1,4,132
educational activities,4,4,132
elementary,15,4,130
secondary,15,3,130
learning analytics,4,4,129
stem fields,4,2,129
biomedical research,1,3,128
self-efficacy,1,3,128
emotions,1,4,128
research subjects,4,2,128
intelligence tests,15,5,127
united states,15,4,127
mathematic fields,4,4,126
multimedia systems,9,5,126
mathematical,15,4,126
teacher knowledge,4,4,125
steam education,4,4,125
follow-up studies,2,4,125
on-line education,4,4,125
workforce,1,4,124
social environment,1,4,124
engineering science,4,3,124
self report,1,3,123
science course,4,4,123
research instruments,4,3,123
natural language processing systems,30,4,122
information and communication technologies,4,4,121
study,15,4,121
prediction,13,3,121
adaptive learning,4,5,121
learning tool,4,4,121
case report,1,3,121
social aspect,1,5,121
competence,1,4,120
medication error,16,3,120
adolescents,1,5,120
s,15,3,120
problem,15,3,120
engineering educators,4,4,120
teaching process,4,4,120
learning disabilities,15,4,119
university levels,4,4,118
research questions,4,3,117
department of education,4,4,117
ethnology,1,5,117
ministry of education,4,4,116
executive function,1,3,116
engineering faculty,4,3,115
grading,4,3,114
cognitive defect,1,3,113
learning style,4,4,113
learning strategy,4,3,112
art educations,4,4,111
online systems,4,3,111
engineering practices,4,4,111
technical educations,4,4,110
interactive computer graphics,4,4,110
virtual learning environments,4,3,110
secondary school,4,4,110
interpersonal communication,1,2,109
teaching approaches,4,3,109
science curriculum,4,4,109
gamification,15,3,108
neuropsychological test,2,2,108
biographies,4,4,108
research experience,4,3,108
adolescent behavior,1,4,108
interactive learning environments,4,4,107
vocabulary,1,3,106
decision-tree algorithm,13,2,106
3-d printing,45,3,106
learning environment,4,4,106
nonhuman,1,3,106
animal,1,3,105
pre-college,4,3,105
educational research,4,4,105
computer science students,4,3,105
retrospective studies,2,3,105
mathematics instruction,4,3,105
public health,1,3,105
calculus,4,3,105
sustainable development,24,3,104
teaching strategy,4,3,104
great britain,1,3,104
online teaching,4,4,104
large language model,18,2,104
organization and management,1,3,103
