keyword,community,degree,weighted_degree
students,2,1087,103030
education,0,884,80062
mathematics,0,810,76110
human,0,620,64477
engineering education,2,667,59558
humans,0,520,53246
teaching,2,619,51516
female,0,397,41281
article,0,451,40509
male,0,385,40092
"stem (science, technology, engineering and mathematics)",2,315,27152
curricula,2,321,26668
child,0,258,25756
education computing,2,308,23386
student,0,170,17704
mathematics education,2,254,15771
adolescent,0,162,14148
learning,0,167,14043
controlled study,0,169,13997
e-learning,2,173,11994
academic achievement,0,145,11968
science,0,139,11737
adult,0,140,11396
engineering,0,128,10558
learning systems,2,151,10390
technology,0,125,9959
problem solving,2,141,9826
professional aspects,2,115,9535
stem,2,119,9451
priority journal,0,131,9316
major clinical study,0,114,9276
educational status,0,120,8728
psychology,0,94,8080
educational measurement,0,105,7953
human experiment,0,93,7786
school,0,92,7695
cognition,0,102,7634
reading,0,106,7576
science technologies,2,83,7460
curriculum,0,105,7266
stem education,2,100,7180
preschool child,0,95,6710
computer aided instruction,2,85,6667
united states,0,97,6566
schools,0,71,6322
"child, preschool",0,90,6195
achievement,0,77,5979
university,0,70,5557
physiology,0,73,5530
engineering and mathematics,2,51,5443
personnel training,2,61,4921
motivation,0,74,4727
academic performance,0,72,4552
questionnaire,0,69,4531
trees (mathematics),7,67,4378
surveys,2,55,4366
mathematical techniques,2,57,4346
higher education,2,70,4151
decision making,0,66,4028
school child,0,63,3937
teacher,0,53,3721
language,0,52,3716
longitudinal study,0,50,3686
procedures,0,50,3677
universities,0,42,3550
teachers',2,47,3497
child development,0,51,3395
young adult,0,46,3383
"science , technology , engineering , and mathematics",2,34,3325
artificial intelligence,2,51,3263
science education,2,37,3198
longitudinal studies,0,43,3051
methodology,0,54,2997
engineering research,2,35,2966
high school,0,50,2950
skill,0,49,2943
data mining,7,40,2861
research,0,42,2849
mathematics learning,2,45,2849
gender,0,49,2797
statistics,0,49,2774
primary school,0,47,2633
teaching and learning,2,36,2629
robotics,2,38,2575
"science , technology , engineering and mathematics",2,26,2500
randomized controlled trial,0,39,2481
cohort analysis,0,46,2466
learning disorder,0,45,2425
professional development,2,41,2424
self concept,0,42,2377
medical education,0,49,2333
education program,0,39,2325
sex difference,0,37,2265
decision trees,7,33,2240
intelligence,0,41,2222
academic success,0,34,2219
societies and institutions,2,27,2217
psychological aspect,0,42,2211
mathematical concepts,0,34,2189
high school students,2,27,2168
review,0,39,2114
comparative study,0,37,2063
comprehension,0,36,2042
biology,0,35,2036
educational robots,2,29,1992
computer science,2,33,1954
knowledge,0,35,1899
clinical article,0,33,1895
technology education,2,18,1892
educational technology,2,32,1888
design,2,29,1832
cross-sectional study,0,31,1778
middle aged,0,27,1704
calculations,2,27,1703
executive function,0,32,1686
infant,0,27,1622
algebra,2,22,1618
task performance,0,31,1609
career,0,31,1593
arithmetic,0,29,1571
surveys and questionnaires,0,31,1567
cross-sectional studies,0,30,1562
nursing education,0,33,1556
