keyword,community,degree,weighted_degree
education,16,70,7018
mathematics,16,61,5137
engineering education,4,23,3806
curricula,4,24,2536
students,4,22,2479
teaching,4,17,1909
mathematics education,11,46,1778
education computing,4,21,1678
learning,16,18,1095
article,2,10,1088
human,2,10,909
engineering,16,9,902
science,16,7,814
stem,16,12,668
international,15,11,622
child,2,8,557
curriculum,16,8,524
e-learning,4,9,514
learning systems,4,7,501
conference,15,7,467
technology,16,6,442
computer aided instruction,4,7,432
engineering research,4,7,421
"stem (science, technology, engineering and mathematics)",4,2,414
research,16,6,399
professional aspects,4,7,377
academic achievement,2,6,361
stem education,11,11,352
adult,2,7,341
teacher,16,4,321
female,2,5,300
higher education,11,6,292
adolescent,2,6,286
teacher education,11,6,284
teachers,16,6,276
achievement,2,6,274
personnel training,4,5,228
surveys,4,3,164
cognition,2,4,156
science education,11,3,155
algebra,11,4,154
development,16,4,154
artificial intelligence,11,5,153
gender,16,3,134
student,16,3,133
school,16,3,128
educational technology,11,4,126
physics,11,3,123
computational thinking,11,3,122
engineers,4,4,118
based,16,3,115
societies and institutions,16,3,113
programming,16,4,112
design,4,3,110
proceedings,15,2,109
professional development,11,4,105
calculations,4,3,104
equity,16,3,99
geometry,11,3,97
engineering and mathematics,4,1,95
language,16,2,92
knowledge,16,2,88
problem,3,2,88
academic performance,11,3,88
computer programming,4,3,88
motivation,16,3,87
diversity,16,3,85
biology,2,2,84
assessment,16,3,82
junior high schools,4,2,82
elementary schools,4,3,81
childhood,8,2,79
mathematical,13,3,78
secondary,16,2,76
educational innovation,11,1,75
study,14,3,74
solving,3,1,68
children,16,2,67
active learning,11,3,66
teacher knowledge,11,2,65
elementary,16,2,64
s,16,2,62
lesson study,11,3,61
secondary education,11,2,61
literacy,16,2,59
statistics,16,2,58
problem solving,16,1,57
pre,10,1,57
service,10,1,57
early,8,1,55
theory,16,2,55
history,16,1,54
evaluation,16,2,53
practice,16,2,52
preface,15,2,52
gamification,16,2,52
mathematics learning,11,2,51
challenges,16,2,51
introduction,6,2,51
3rd,15,2,50
philosophy,16,2,49
annual,15,2,49
professional,16,1,48
standards,4,2,48
primary school,11,1,47
elementary school,11,2,47
pedagogy,11,2,47
primary education,11,1,46
special,6,2,45
understanding,16,2,45
classification,0,2,44
group,15,2,44
numeracy,16,2,43
instruction,16,1,43
history of mathematics,11,1,42
blended learning,11,2,41
elementary education,11,1,38
inclusion,16,1,37
critical,16,1,35
educational robots,4,1,34
educational model,16,1,33
women,16,1,32
early childhood education,11,1,32
child development,2,1,32
editorial,16,1,32
high school,16,1,31
innovation,16,1,30
integration,16,1,29
preservice teachers,11,1,29
mathematics teacher,11,1,29
machine learning,11,1,29
learning models,4,1,29
employment,16,1,29
computer software,4,1,28
teacher training,11,1,28
creativity,16,1,28
classroom,16,1,28
modelling,13,1,28
outreach,16,1,28
mathematical modeling,11,1,28
correction,16,1,28
economics,16,1,27
development model,4,1,27
lesson,14,1,27
mathematical techniques,16,1,27
career,2,1,27
flipped classroom,11,1,26
university,16,1,26
mathematical modelling,11,1,26
pedagogical content knowledge,11,1,26
what,16,1,25
4th,15,1,25
intelligent tutoring systems,11,1,24
learning mathematics,4,1,24
pre-service teachers,11,1,24
artificial,1,1,24
computer science,4,1,24
intelligence,1,1,24
teachers and teaching,11,1,24
secondary school,11,1,24
realistic,16,1,24
procedural knowledge,5,1,24
data mining,0,1,24
conceptual knowledge,5,1,24
calculus,11,1,24
technical presentations,4,1,24
special education,11,1,23
engineering mathematics,4,1,23
reliability,12,1,23
validity,12,1,23
issue,6,1,23
k,7,1,22
analysis,16,1,22
12,7,1,22
teacher learning,11,1,22
online,16,1,22
cognitive,16,1,22
undergraduate,16,1,22
2nd,15,1,22
differentiation (calculus),4,1,22
problem-solving,16,1,22
case,14,1,21
preservice teacher education,11,1,21
computer science education,4,1,21
educational status,16,1,21
mathematics curriculum,11,1,21
instructional practices,11,1,21
how,16,1,20
beliefs,9,1,20
data collection,4,1,20
1st,15,1,20
attitudes,9,1,20
mathematics achievement,11,1,20
race,16,1,20
self-efficacy,16,1,20
training,16,1,20
pisa,16,1,20
decision tree,0,1,20
