u,v,weight,sim_mean
students,engineering education,5169,0.5212090015411377
education,mathematics,3881,0.43405961908190804
students,teaching,3854,0.6439774632453918
education,students,3242,0.7348861694335938
human,mathematics,2973,0.41865816862744354
human,humans,2893,0.9065712691589577
students,education computing,2665,0.6433471445742065
students,curricula,2642,0.7071840765799292
teaching,engineering education,2571,0.5322874188423157
education,human,2338,0.4551646412183731
engineering education,"stem (science, technology, engineering and mathematics)",2266,0.5049165487815507
education,teaching,2241,0.8030153512954712
engineering education,curricula,2233,0.4670548737049103
female,human,2152,0.65492588276092
article,human,2131,0.5919044017791748
human,male,2091,0.7572890511544226
female,male,2044,0.5916315863043828
teaching,curricula,1993,0.6897029877905264
education,humans,1991,0.42435136437416077
female,humans,1834,0.5973416566848755
humans,male,1789,0.6802569627761841
male,mathematics,1760,0.42442429065704346
article,humans,1620,0.5326597700516383
education,engineering education,1529,0.6973425149917603
article,female,1451,0.4508460167767178
article,male,1430,0.6562483287357784
human,child,1410,0.5430315732955933
article,education,1400,0.48178523778915405
education,male,1347,0.4865486043288961
mathematics,students,1341,0.47693368825869803
engineering education,education computing,1239,0.6526545286178589
students,mathematics education,1219,0.5554444789886475
humans,child,1210,0.4441840647173322
female,child,1164,0.49047869451574444
students,learning systems,1162,0.4646439552307129
male,child,1145,0.5888697527902095
students,e-learning,1137,0.417484879467502
learning,mathematics,1134,0.42746117695298774
mathematics,teaching,1091,0.44117820303883715
mathematics,science,1069,0.5151054856373508
mathematics,student,1028,0.48599815368652344
education,student,1017,0.7443001259744695
human,student,1002,0.5023784071147561
teaching,education computing,986,0.6435179710388184
engineering education,science technologies,941,0.5008140204436721
article,child,927,0.4060227870941162
education,child,921,0.48573851585388184
humans,student,915,0.46657281859976346
human,students,904,0.4919469366756688
student,students,902,0.9447864294052124
education,curricula,881,0.7225059270858765
humans,students,878,0.5560204946098676
education,learning,857,0.7885522842407227
education,science,831,0.4955585891230729
stem education,"stem (science, technology, engineering and mathematics)",828,0.6951488256454468
adolescent,human,813,0.5060106521749556
engineering and mathematics,science technologies,777,0.5994509457007645
adolescent,humans,767,0.4929114298450589
mathematics,technology,765,0.4089584344352772
students,computer aided instruction,754,0.41007405519485474
