doc,n_8b,n_70b,soft_recall,soft_precision,soft_f1,soft_mean_max,jaccard_lex,global_sem_sim,identical_set
0,5,5,0.8,0.8,0.8000000000000002,0.820434033870697,0.25,0.8991339802742004,0.0
1,5,5,0.8,0.8,0.8000000000000002,0.9273979067802429,0.6666666666666666,0.9278786182403564,0.0
2,5,5,1.0,1.0,1.0,0.9999998807907104,1.0,0.9702363014221191,1.0
3,5,5,0.6,0.6,0.6,0.8468769788742065,0.42857142857142855,0.9170603156089783,0.0
4,5,5,0.6,0.6,0.6,0.7847071886062622,0.25,0.8751846551895142,0.0
5,5,5,0.6,0.6,0.6,0.7919254302978516,0.25,0.9069578647613525,0.0
6,5,5,0.8,0.8,0.8000000000000002,0.8869658708572388,0.42857142857142855,0.9619675874710083,0.0
7,5,5,1.0,1.0,1.0,1.0,1.0,0.9817590713500977,1.0
8,5,5,0.8,0.8,0.8000000000000002,0.8294259905815125,0.1111111111111111,0.9145931005477905,0.0
9,5,5,0.8,0.8,0.8000000000000002,0.7869927883148193,0.25,0.898779034614563,0.0
10,5,5,0.6,0.6,0.6,0.759689211845398,0.25,0.9109439849853516,0.0
11,5,5,0.4,0.4,0.4000000000000001,0.7189539670944214,0.25,0.803556501865387,0.0
12,5,5,0.8,0.6,0.6857142857142857,0.8462827205657959,0.42857142857142855,0.9151473045349121,0.0
13,5,5,0.8,0.6,0.6857142857142857,0.7866613864898682,0.25,0.892713725566864,0.0
14,5,5,1.0,1.0,1.0,1.0,1.0,0.986431896686554,1.0
15,5,5,0.8,0.8,0.8000000000000002,0.8147081136703491,0.1111111111111111,0.9181745052337646,0.0
16,5,5,0.8,0.8,0.8000000000000002,0.9098587036132812,0.6666666666666666,0.9526157379150391,0.0
17,4,5,0.75,0.6,0.6666666666666665,0.6787503957748413,0.0,0.8031519055366516,0.0
18,5,5,0.8,1.0,0.888888888888889,0.8486738204956055,0.25,0.9273558855056763,0.0
19,5,5,1.0,0.6,0.7499999999999999,0.896026611328125,0.42857142857142855,0.9157576560974121,0.0
20,5,5,1.0,1.0,1.0,1.0000001192092896,1.0,0.99858158826828,1.0
21,5,5,0.8,0.8,0.8000000000000002,0.8735361099243164,0.6666666666666666,0.9201303720474243,0.0
22,5,5,0.8,0.8,0.8000000000000002,0.8747389912605286,0.42857142857142855,0.9316644668579102,0.0
23,5,5,1.0,1.0,1.0,1.0,1.0,0.965948760509491,1.0
24,5,5,0.6,0.6,0.6,0.7745121717453003,0.25,0.851219892501831,0.0
25,5,5,0.6,0.6,0.6,0.7560395002365112,0.42857142857142855,0.849701464176178,0.0
26,5,5,0.6,0.6,0.6,0.6854226589202881,0.25,0.558571457862854,0.0
27,5,5,0.8,0.8,0.8000000000000002,0.877090334892273,0.25,0.9566971659660339,0.0
28,5,5,0.8,0.8,0.8000000000000002,0.893642783164978,0.6666666666666666,0.9286476969718933,0.0
29,5,5,1.0,1.0,1.0,1.0,1.0,0.9991104006767273,1.0
30,5,5,0.6,0.4,0.48,0.6552433967590332,0.25,0.797234296798706,0.0
31,5,5,0.8,0.8,0.8000000000000002,0.8757185935974121,0.6666666666666666,0.9349656105041504,0.0
32,5,5,0.6,0.6,0.6,0.7618272304534912,0.25,0.8654133081436157,0.0
33,5,5,0.8,1.0,0.888888888888889,0.9152858257293701,0.42857142857142855,0.9230080842971802,0.0
34,5,5,0.4,0.4,0.4000000000000001,0.5795473456382751,0.0,0.7477295398712158,0.0
35,5,5,0.6,0.8,0.6857142857142857,0.808509349822998,0.25,0.8724555969238281,0.0
36,5,5,0.8,0.8,0.8000000000000002,0.9143423438072205,0.6666666666666666,0.9602517485618591,0.0
37,5,5,0.6,0.8,0.6857142857142857,0.8454896211624146,0.25,0.9140579700469971,0.0
38,5,5,0.8,0.8,0.8000000000000002,0.885244607925415,0.42857142857142855,0.9497958421707153,0.0
39,5,5,0.8,0.8,0.8000000000000002,0.8463397026062012,0.25,0.9442967176437378,0.0
