row,eid,visibility,record_length,n_generated,n_original_full,n_original_seen,global_sem_sim,n_keywords,n_null,n_exact_original,n_leak_any,n_verbatim_text,n_ungrounded,n_unique,share_exact_original,share_leak_any,n_original_seen_reproduced,recall_original_seen
0,2-s2.0-0033669846,partially_visible,3412,5,48,31,0.5718746,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,5,0.16129032258064516
1,2-s2.0-0033660524,fully_visible,2052,5,28,28,0.7405351,5.0,0.0,4.0,4.0,1.0,0.0,5.0,0.8,0.8,4,0.14285714285714285
2,2-s2.0-0033653172,fully_visible,1149,5,26,26,0.77033234,5.0,0.0,3.0,3.0,2.0,0.0,5.0,0.6,0.6,3,0.11538461538461539
3,2-s2.0-0033653169,fully_visible,1529,5,23,23,0.8164066,5.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.2,0,0.0
4,2-s2.0-0033652463,fully_visible,2118,5,34,34,0.7536266,5.0,0.0,3.0,3.0,2.0,0.0,5.0,0.6,0.6,3,0.08823529411764706
5,2-s2.0-0033646769,fully_visible,1782,5,29,29,0.75899297,5.0,0.0,3.0,4.0,1.0,0.0,5.0,0.6,0.8,3,0.10344827586206896
6,2-s2.0-0034623828,fully_visible,323,5,12,12,0.4705769,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,5,0.4166666666666667
7,2-s2.0-8644291002,fully_visible,1245,5,15,15,0.72573197,5.0,0.0,1.0,1.0,4.0,0.0,5.0,0.2,0.2,1,0.06666666666666667
8,2-s2.0-8644285431,fully_visible,1150,5,15,15,0.82915676,5.0,0.0,3.0,3.0,2.0,0.0,5.0,0.6,0.6,3,0.2
9,2-s2.0-8644280479,fully_visible,1174,5,14,14,0.6315272,5.0,0.0,2.0,3.0,2.0,0.0,5.0,0.4,0.6,2,0.14285714285714285
10,2-s2.0-8644277146,fully_visible,1405,5,13,13,0.6468157,5.0,0.0,1.0,1.0,3.0,1.0,5.0,0.2,0.2,1,0.07692307692307693
11,2-s2.0-8644274687,fully_visible,1665,5,12,12,0.6907729,5.0,0.0,0.0,3.0,1.0,1.0,5.0,0.0,0.6,0,0.0
12,2-s2.0-8644274072,fully_visible,1680,5,13,13,0.6081308,5.0,0.0,2.0,2.0,3.0,0.0,5.0,0.4,0.4,2,0.15384615384615385
13,2-s2.0-8644271674,fully_visible,1169,5,14,14,0.6847598,5.0,0.0,4.0,5.0,0.0,0.0,5.0,0.8,1.0,4,0.2857142857142857
14,2-s2.0-8644265989,fully_visible,2002,5,10,10,0.66752416,5.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0,0.0
15,2-s2.0-8644261519,fully_visible,1270,5,19,19,0.70698994,5.0,0.0,2.0,2.0,2.0,1.0,5.0,0.4,0.4,2,0.10526315789473684
16,2-s2.0-8644260091,fully_visible,1482,5,12,12,0.663767,5.0,0.0,1.0,1.0,3.0,1.0,5.0,0.2,0.2,1,0.08333333333333333
17,2-s2.0-8644252721,fully_visible,1135,5,11,11,0.6752918,5.0,0.0,3.0,3.0,1.0,1.0,5.0,0.6,0.6,3,0.2727272727272727
18,2-s2.0-8644250535,fully_visible,2103,5,14,14,0.70557714,5.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.2,0,0.0
19,2-s2.0-8644249814,fully_visible,1297,5,14,14,0.71331745,5.0,0.0,3.0,3.0,1.0,1.0,5.0,0.6,0.6,3,0.21428571428571427
20,2-s2.0-8644246700,fully_visible,2004,5,12,12,0.65545344,5.0,0.0,1.0,2.0,3.0,0.0,5.0,0.2,0.4,1,0.08333333333333333
21,2-s2.0-8644243858,fully_visible,840,5,11,11,0.73369646,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,5,0.45454545454545453
22,2-s2.0-8644241742,fully_visible,1476,5,13,13,0.7336557,5.0,0.0,2.0,2.0,3.0,0.0,5.0,0.4,0.4,2,0.15384615384615385
23,2-s2.0-8644233363,fully_visible,1513,5,10,10,0.7701385,5.0,0.0,3.0,3.0,2.0,0.0,5.0,0.6,0.6,3,0.3
24,2-s2.0-8644224928,fully_visible,789,5,9,9,0.65055585,5.0,0.0,2.0,3.0,2.0,0.0,5.0,0.4,0.6,2,0.2222222222222222
25,2-s2.0-8644223322,fully_visible,1554,4,15,15,0.6640898,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0,0.0
26,2-s2.0-8644220516,fully_visible,2136,5,11,11,0.6186819,5.0,0.0,3.0,3.0,2.0,0.0,5.0,0.6,0.6,3,0.2727272727272727
27,2-s2.0-8644219628,fully_visible,1886,5,12,12,0.7401494,5.0,0.0,3.0,4.0,1.0,0.0,5.0,0.6,0.8,3,0.25
28,2-s2.0-85181224824,fully_visible,1359,5,6,6,0.7563786,5.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0,0.0
29,2-s2.0-85065364308,fully_visible,2013,5,10,10,0.6643516,5.0,0.0,3.0,3.0,1.0,0.0,5.0,0.6,0.6,3,0.3
30,2-s2.0-85040416124,fully_visible,598,5,3,3,0.71691203,5.0,0.0,2.0,2.0,2.0,1.0,5.0,0.4,0.4,2,0.6666666666666666
31,2-s2.0-85007591202,fully_visible,660,5,6,6,0.761484,5.0,0.0,2.0,2.0,3.0,0.0,5.0,0.4,0.4,2,0.3333333333333333
32,2-s2.0-84893628559,fully_visible,730,5,11,11,0.7624694,5.0,0.0,2.0,3.0,1.0,0.0,5.0,0.4,0.6,2,0.18181818181818182
33,2-s2.0-84893412380,fully_visible,1484,5,15,15,0.62992513,5.0,0.0,4.0,5.0,0.0,0.0,5.0,0.8,1.0,4,0.26666666666666666
34,2-s2.0-84867432310,fully_visible,1009,5,6,6,0.75836146,5.0,0.0,1.0,1.0,4.0,0.0,5.0,0.2,0.2,1,0.16666666666666666
35,2-s2.0-84861099311,fully_visible,1258,5,13,13,0.45515892,5.0,0.0,4.0,4.0,0.0,1.0,5.0,0.8,0.8,4,0.3076923076923077
36,2-s2.0-79959734206,fully_visible,1332,5,6,6,0.73838377,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0,0.0
37,2-s2.0-79953050978,fully_visible,1263,5,11,11,0.68253934,5.0,0.0,1.0,5.0,0.0,0.0,5.0,0.2,1.0,1,0.09090909090909091
38,2-s2.0-79951828623,fully_visible,1384,5,6,6,0.5966282,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0,0.0
39,2-s2.0-61149708367,fully_visible,1888,5,6,6,0.683175,5.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.4,0,0.0
40,2-s2.0-3943084162,fully_visible,1429,5,6,6,0.81611586,5.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.2,0,0.0
41,2-s2.0-37549002580,fully_visible,1026,5,6,6,0.6873336,5.0,0.0,1.0,1.0,4.0,0.0,5.0,0.2,0.2,1,0.16666666666666666
42,2-s2.0-33749127669,fully_visible,1423,5,4,4,0.7579711,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0,0.0
43,2-s2.0-3242785671,fully_visible,1099,5,16,16,0.686925,5.0,0.0,3.0,3.0,0.0,2.0,5.0,0.6,0.6,3,0.1875
44,2-s2.0-28944455653,fully_visible,1422,5,11,11,0.7918335,5.0,0.0,3.0,4.0,1.0,0.0,5.0,0.6,0.8,3,0.2727272727272727
45,2-s2.0-23044520334,fully_visible,1870,5,6,6,0.6540136,5.0,0.0,0.0,3.0,1.0,1.0,5.0,0.0,0.6,0,0.0
46,2-s2.0-1842637776,fully_visible,1766,5,13,13,0.8634516,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,5,0.38461538461538464
47,2-s2.0-17044444083,fully_visible,1434,5,7,7,0.53525794,5.0,0.0,2.0,2.0,1.0,2.0,5.0,0.4,0.4,2,0.2857142857142857
48,2-s2.0-1642312610,fully_visible,1298,5,13,13,0.7958105,5.0,0.0,2.0,3.0,2.0,0.0,5.0,0.4,0.6,2,0.15384615384615385
49,2-s2.0-1542272649,fully_visible,1364,5,13,13,0.75797766,5.0,0.0,2.0,2.0,3.0,0.0,5.0,0.4,0.4,2,0.15384615384615385
50,2-s2.0-0346383936,fully_visible,1013,5,6,6,0.81834483,5.0,0.0,1.0,1.0,2.0,2.0,5.0,0.2,0.2,1,0.16666666666666666
51,2-s2.0-0034546460,fully_visible,762,5,7,7,0.75167423,5.0,0.0,1.0,1.0,4.0,0.0,5.0,0.2,0.2,1,0.14285714285714285
52,2-s2.0-0034542419,fully_visible,928,5,4,4,0.70946676,5.0,0.0,2.0,2.0,3.0,0.0,5.0,0.4,0.4,2,0.5
53,2-s2.0-0034511382,fully_visible,874,5,8,8,0.76142085,5.0,0.0,4.0,4.0,1.0,0.0,5.0,0.8,0.8,4,0.5
54,2-s2.0-0034480208,fully_visible,1404,5,8,8,0.7641948,5.0,0.0,2.0,2.0,1.0,2.0,5.0,0.4,0.4,2,0.25
55,2-s2.0-0034474519,fully_visible,907,5,6,6,0.6851517,5.0,0.0,3.0,3.0,1.0,1.0,5.0,0.6,0.6,3,0.5
56,2-s2.0-0034474311,fully_visible,696,5,4,4,0.64198834,5.0,0.0,2.0,3.0,0.0,2.0,5.0,0.4,0.6,2,0.5
57,2-s2.0-0034474051,fully_visible,796,5,7,7,0.5178984,5.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,5,0.7142857142857143
58,2-s2.0-0034473636,fully_visible,1416,5,7,7,0.6303096,5.0,0.0,1.0,1.0,2.0,2.0,5.0,0.2,0.2,1,0.14285714285714285
59,2-s2.0-0034472448,fully_visible,898,5,8,8,0.69220006,5.0,0.0,4.0,4.0,1.0,0.0,5.0,0.8,0.8,4,0.5
60,2-s2.0-0034471187,fully_visible,1545,5,9,9,0.7440276,5.0,0.0,4.0,4.0,1.0,0.0,5.0,0.8,0.8,4,0.4444444444444444
