language,documents,share
en,49673,0.9349331827592697
es,1214,0.02284961415396198
de,571,0.010747223790702051
pt,523,0.0098437794089968
too_short,258,0.004856013551665725
fr,175,0.0032938076416337285
tr,125,0.002352719744024092
it,81,0.0015245623941276115
ru,77,0.0014492753623188406
nl,48,0.0009034443817052513
hr,48,0.0009034443817052513
ro,45,0.0008469791078486731
ca,37,0.0006964050442311312
sl,32,0.0006022962544701675
bg,27,0.0005081874647092038
id,25,0.0004705439488048184
da,24,0.00045172219085262564
af,23,0.0004329004329004329
lt,17,0.0003199698851872765
vi,15,0.000282326369282891
tl,15,0.000282326369282891
cs,13,0.00024468285337850553
pl,13,0.00024468285337850553
no,10,0.00018821757952192734
uk,7,0.00013175230566534913
sv,7,0.00013175230566534913
hu,6,0.00011293054771315641
sk,6,0.00011293054771315641
cy,4,7.528703180877094e-05
so,4,7.528703180877094e-05
sw,2,3.764351590438547e-05
fi,2,3.764351590438547e-05
et,2,3.764351590438547e-05
lv,1,1.8821757952192734e-05
