source,documents,share
conference paper,5139,0.09672501411631847
Book chapter,3365,0.06333521550912856
"ASEE Annual Conference and Exposition, Conference Proceedings",1943,0.036570675701110486
Journal of Physics: Conference Series,1785,0.03359683794466403
Book,1154,0.021720308676830415
ZDM - International Journal on Mathematics Education,811,0.015264445699228309
AIP Conference Proceedings,751,0.014135140222096745
"Proceedings - Frontiers in Education Conference, FIE",610,0.011481272350837568
Lecture Notes in Computer Science,559,0.01052136269527574
Educational Studies in Mathematics,551,0.010370788631658197
International Journal of Mathematical Education in Science and Technology,536,0.010088462262375307
Bolema - Mathematics Education Bulletin,518,0.009749670619235836
Education Sciences,471,0.008865047995482779
"Eurasia Journal of Mathematics, Science and Technology Education",440,0.008281573498964804
International Journal of Science and Mathematics Education,413,0.007773386034255599
Journal of Mathematics Teacher Education,381,0.007171089779785432
ACM International Conference Proceeding Series,371,0.006982872200263505
Mathematics Education Research Journal,309,0.005815923207227555
Communications in Computer and Information Science,296,0.00557124035384905
"IEEE Global Engineering Education Conference, EDUCON",292,0.005495953322040279
CEUR Workshop Proceedings,289,0.0054394880481837
Frontiers in Education,287,0.005401844532279315
School Science and Mathematics,266,0.005006587615283268
CBE Life Sciences Education,262,0.004931300583474497
Sustainability (Switzerland),228,0.004291360813099943
Journal of Mathematical Behavior,225,0.004234895539243365
Proceedings of the International Group for the Psychology of Mathematics Education,223,0.0041972520233389795
Frontiers in Psychology,212,0.00399021268586486
Advances in Intelligent Systems and Computing,205,0.0038584603801995105
Journal for Research in Mathematics Education,202,0.0038019951063429326
PRIMUS,200,0.003764351590438547
Lecture Notes in Networks and Systems,198,0.0037267080745341614
"Canadian Journal of Science, Mathematics and Technology Education",190,0.0035761340109166195
Science,189,0.0035573122529644267
PLOS ONE,188,0.003538490495012234
Acta Scientiae,180,0.0033879164313946925
Journal on Mathematics Education,178,0.003350272915490307
"Proceedings of the International Astronautical Congress, IAC",171,0.0032185206098249578
Mathematics,167,0.0031432335780161866
Education and Information Technologies,166,0.003124411820063994
