year,documents,share
1996.0,1,1.8821757952192734e-05
2000.0,306,0.005759457933370977
2001.0,364,0.006851119894598155
2002.0,404,0.007603990212685865
2003.0,559,0.01052136269527574
2004.0,522,0.009824957651044608
2005.0,713,0.01341991341991342
2006.0,753,0.014172783738001129
2007.0,900,0.01693958215697346
2008.0,1025,0.019292301900997552
2009.0,1190,0.022397891963109356
2010.0,1461,0.027498588368153585
2011.0,1528,0.0287596461509505
2012.0,1627,0.030623000188217578
2013.0,1950,0.03670242800677583
2014.0,1944,0.036589497459062675
2015.0,2161,0.0406738189346885
2016.0,2249,0.04233013363448146
2017.0,2729,0.05136457745153397
2018.0,2965,0.055806512328251456
2019.0,3709,0.06980990024468285
2020.0,4151,0.07812911725955204
2021.0,3927,0.07391304347826087
2022.0,3669,0.06905702992659514
2023.0,3934,0.07404479578392621
2024.0,4984,0.0938076416337286
2025.0,3382,0.06365518539431583
2026.0,18,0.0003387916431394692
