graph,w_min,nodes,edges,density,components,lcc_nodes,lcc_fraction,lcc_edges,isolated_nodes,modularity,communities,nmi_vs_previous_w,ari_vs_previous_w,shared_nodes_vs_previous_w
tau040,1,38618,109022,0.00014620958020149282,1839,34316,0.8886011704386555,106297,0,0.44131012745068826,2403,,,0
tau040,2,5814,15145,0.0008962391744870858,141,5516,0.9487444100447197,14983,0,0.3737760593136732,187,0.5477023852904485,0.5571254700130186,5814
tau040,3,3063,7214,0.0015383457303015937,36,2991,0.9764936336924583,7176,0,0.36635635073889417,58,0.6970716518589074,0.7816804439383859,3063
tau040,5,1627,3331,0.002518236614449734,19,1588,0.9760295021511985,3309,0,0.36004847963032904,34,0.7316006535215719,0.7959014278011456,1627
tau040,8,1011,1801,0.003527533762278305,11,990,0.9792284866468842,1790,0,0.35595670620609565,20,0.7789079626311115,0.8362571332142718,1011
tau040,10,783,1344,0.004389961881804196,8,769,0.9821200510855683,1337,0,0.3558287581931379,17,0.8860592019289949,0.932260079567951,783
tau040,15,524,824,0.006013457300074438,2,521,0.9942748091603053,822,0,0.35019477301024066,8,0.7042316581326877,0.7858788379831608,524
tau040,20,408,608,0.0073228308522426165,2,406,0.9950980392156863,607,0,0.3560443171946043,7,0.9178499510599628,0.9450055423135467,408
tau040,25,319,459,0.00904950612172473,3,315,0.987460815047022,457,0,0.35085258168134015,8,0.8625736988441098,0.9137285892568742,319
tau040,30,258,368,0.011100051277410792,2,256,0.9922480620155039,367,0,0.3447023861921978,6,0.9027236239730113,0.9439850746418659,258
tau040,40,176,250,0.016233766233766232,1,176,1.0,250,0,0.3396664057001657,6,0.8226241646047588,0.8926409181534583,176
tau040,50,141,188,0.01904761904761905,1,141,1.0,188,0,0.33740060025132956,4,0.86961915444677,0.9082422191181336,141
coword,1,56634,377144,0.00023517458922475394,102,56129,0.9910830949606244,376134,0,0.34684004379093125,660,,,0
coword,2,10936,39990,0.0006688120833722177,45,10829,0.9902158010241404,39908,0,0.30936062850832213,94,0.3852250254288201,0.4097481726634088,10936
coword,3,5795,17397,0.0010362688127880943,15,5761,0.9941328731665229,17372,0,0.3075200296100885,28,0.5857218300392588,0.6641665945449645,5795
coword,5,3043,7420,0.0016031447564095003,4,3036,0.9976996385146237,7415,0,0.3080884361508473,12,0.5997326049325968,0.6955914782716636,3043
coword,8,1825,3776,0.0022686854121605382,3,1821,0.9978082191780822,3774,0,0.30776748498381984,11,0.6540774220351997,0.7582448684735604,1825
coword,10,1397,2739,0.0028089253886244164,4,1391,0.9957050823192556,2736,0,0.3073438457626313,11,0.7911470228645724,0.8945592894862242,1397
coword,15,905,1590,0.003886960348115191,1,905,1.0,1590,0,0.3059706303704896,7,0.709326295249118,0.7866697006904039,905
coword,20,658,1108,0.005125998713873969,1,658,1.0,1108,0,0.3098008291089467,7,0.8417257699267648,0.9115903920809667,658
coword,25,503,808,0.006399847924405757,1,503,1.0,808,0,0.30456291638195865,6,0.7843857098125799,0.8672950925163974,503
coword,30,413,638,0.007499000916805755,1,413,1.0,638,0,0.30694917797720994,5,0.8516136144252286,0.909455816143334,413
coword,40,291,425,0.010072283445905912,2,289,0.993127147766323,424,0,0.3044817115141564,5,0.7629430529175043,0.8408503451554488,291
coword,50,233,322,0.011913571111439989,2,231,0.9914163090128756,321,0,0.2965564320779167,4,0.7950805897996642,0.8476095751393754,233
