row_abs,keywords_llm,raw_response
0,"[""investment management"", ""financial advisers"", ""web based platforms"", ""money managers"", ""separate accounts""]","{""keywords"": [""investment management"", ""financial advisers"", ""web based platforms"", ""money managers"", ""separate accounts""]}"
1,"[""human cognition"", ""universal generalization"", ""classical symbol systems"", ""connectionist models"", ""mental processes""]","{""keywords"": [""human cognition"", ""universal generalization"", ""classical symbol systems"", ""connectionist models"", ""mental processes""]}"
2,"[""information based semantics"", ""language of thought"", ""content atomism"", ""cognitive representations"", ""philosophy of mind""]","{""keywords"": [""information based semantics"", ""language of thought"", ""content atomism"", ""cognitive representations"", ""philosophy of mind""]}"
3,"[""mental representations"", ""biological niches"", ""realism"", ""mind independent world"", ""cognitive profiles""]","{""keywords"": [""mental representations"", ""biological niches"", ""realism"", ""mind independent world"", ""cognitive profiles""]}"
4,"[""lob's theorem"", ""mechanical device"", ""epistemic authority"", ""formal system"", ""mechanism limitation""]","{""keywords"": [""lob's theorem"", ""mechanical device"", ""epistemic authority"", ""formal system"", ""mechanism limitation""]}"
5,"[""game theory"", ""artificial social systems"", ""individual rationality"", ""conditional preference"", ""satisficing theory""]","{""keywords"": [""game theory"", ""artificial social systems"", ""individual rationality"", ""conditional preference"", ""satisficing theory""]}"
6,"[""large scale systems"", ""process integration"", ""multivariable statistics"", ""system identifiability"", ""controllability analysis""]","{""keywords"": [""large scale systems"", ""process integration"", ""multivariable statistics"", ""system identifiability"", ""controllability analysis""]}"
7,"[""biological processes"", ""model order reduction"", ""nonlinear partial differential equation"", ""state space model"", ""singular perturbation approximation""]","{""keywords"": [""biological processes"", ""model order reduction"", ""nonlinear partial differential equation"", ""state space model"", ""singular perturbation approximation""]}"
8,"[""decentralized control"", ""integral controllability"", ""control system design"", ""process gain matrix"", ""structured singular value""]","{""keywords"": [""decentralized control"", ""integral controllability"", ""control system design"", ""process gain matrix"", ""structured singular value""]}"
9,"[""quadratic programming"", ""model predictive control"", ""large scale systems"", ""algorithm efficiency"", ""object oriented implementation""]","{""keywords"": [""quadratic programming"", ""model predictive control"", ""large scale systems"", ""algorithm efficiency"", ""object oriented implementation""]}"
10,"[""model predictive control"", ""robust control"", ""linear matrix inequalities"", ""state feedback"", ""control laws""]","{""keywords"": [""model predictive control"", ""robust control"", ""linear matrix inequalities"", ""state feedback"", ""control laws""]}"
11,"[""pid controller"", ""nonlinear systems"", ""robust control"", ""self tuning"", ""control systems""]","{""keywords"": [""pid controller"", ""nonlinear systems"", ""robust control"", ""self tuning"", ""control systems""]}"
12,"[""neural network"", ""robot trajectories"", ""hebbian learning"", ""spatiotemporal sequences"", ""competitive learning""]","{""keywords"": [""neural network"", ""robot trajectories"", ""hebbian learning"", ""spatiotemporal sequences"", ""competitive learning""]}"
13,"[""evolution strategies"", ""mobile robots"", ""receptive field controllers"", ""autonomous agents"", ""genetic algorithms""]","{""keywords"": [""evolution strategies"", ""mobile robots"", ""receptive field controllers"", ""autonomous agents"", ""genetic algorithms""]}"
14,"[""neural controllers"", ""robotics"", ""scalability"", ""neurofuzzy controller"", ""jointed legs""]","{""keywords"": [""neural controllers"", ""robotics"", ""scalability"", ""neurofuzzy controller"", ""jointed legs""]}"
15,"[""neural networks"", ""robot dynamics"", ""modelling approach"", ""joint positions"", ""industrial robot""]","{""keywords"": [""neural networks"", ""robot dynamics"", ""modelling approach"", ""joint positions"", ""industrial robot""]}"
16,"[""robot learning"", ""nonparametric statistics"", ""locally weighted learning"", ""autonomous control"", ""motor control""]","{""keywords"": [""robot learning"", ""nonparametric statistics"", ""locally weighted learning"", ""autonomous control"", ""motor control""]}"
17,"[""cerebellar cortex"", ""neural network theory"", ""adaptive timing"", ""movement control"", ""scalability""]","{""keywords"": [""cerebellar cortex"", ""neural network theory"", ""adaptive timing"", ""movement control"", ""scalability""]}"
18,"[""cerebellar models"", ""robot dynamics"", ""nervous system"", ""computational models"", ""robot control""]","{""keywords"": [""cerebellar models"", ""robot dynamics"", ""nervous system"", ""computational models"", ""robot control""]}"
19,"[""polymeric microlenses"", ""optical communication systems"", ""micromolding process"", ""polymer fabrication"", ""optical data storage""]","{""keywords"": [""polymeric microlenses"", ""optical communication systems"", ""micromolding process"", ""polymer fabrication"", ""optical data storage""]}"
20,"[""holographic storage"", ""photopolymer"", ""optical setup"", ""angular multiplexing"", ""recording capacity""]","{""keywords"": [""holographic storage"", ""photopolymer"", ""optical setup"", ""angular multiplexing"", ""recording capacity""]}"
21,"[""neural networks"", ""cohen grossberg"", ""lyapunov functionals"", ""asymptotic stability"", ""delay systems""]","{""keywords"": [""neural networks"", ""cohen grossberg"", ""lyapunov functionals"", ""asymptotic stability"", ""delay systems""]}"
22,"[""image enhancement"", ""adaptive optics"", ""low earth orbit"", ""multiframe deconvolution"", ""resolution enhancement""]","{""keywords"": [""image enhancement"", ""adaptive optics"", ""low earth orbit"", ""multiframe deconvolution"", ""resolution enhancement""]}"
23,"[""optical fiber"", ""error probability"", ""modulation schemes"", ""data buses"", ""receiver sensitivity""]","{""keywords"": [""optical fiber"", ""error probability"", ""modulation schemes"", ""data buses"", ""receiver sensitivity""]}"
24,"[""principal component analysis"", ""bad pixels"", ""pixel identification"", ""statistical distance"", ""image processing""]","{""keywords"": [""principal component analysis"", ""bad pixels"", ""pixel identification"", ""statistical distance"", ""image processing""]}"
25,"[""edge detection"", ""nonlinear operator"", ""image processing"", ""gradient analysis"", ""computational efficiency""]","{""keywords"": [""edge detection"", ""nonlinear operator"", ""image processing"", ""gradient analysis"", ""computational efficiency""]}"
26,"[""progressive transmission"", ""wavelet scheme"", ""risk aversion"", ""image compression"", ""successive approximation quantization""]","{""keywords"": [""progressive transmission"", ""wavelet scheme"", ""risk aversion"", ""image compression"", ""successive approximation quantization""]}"
27,"[""remote sensing"", ""watermarking techniques"", ""copyright protection"", ""digital image distribution"", ""image classification""]","{""keywords"": [""remote sensing"", ""watermarking techniques"", ""copyright protection"", ""digital image distribution"", ""image classification""]}"
28,"[""coastal zone management"", ""remote sensing"", ""environmental impacts"", ""mangrove deforestation"", ""satellite imaging""]","{""keywords"": [""coastal zone management"", ""remote sensing"", ""environmental impacts"", ""mangrove deforestation"", ""satellite imaging""]}"
29,"[""urban environments"", ""satellite imagery"", ""road structure"", ""object based representation"", ""road network""]","{""keywords"": [""urban environments"", ""satellite imagery"", ""road structure"", ""object based representation"", ""road network""]}"
30,"[""super resolution"", ""reflective film"", ""dielectric layer"", ""laser wavelength"", ""numerical aperture""]","{""keywords"": [""super resolution"", ""reflective film"", ""dielectric layer"", ""laser wavelength"", ""numerical aperture""]}"
31,"[""optical disk"", ""birefringence distribution"", ""insulation layer"", ""digital storage"", ""replication quality""]","{""keywords"": [""optical disk"", ""birefringence distribution"", ""insulation layer"", ""digital storage"", ""replication quality""]}"
32,"[""digital elevation model"", ""satellite images"", ""aster data"", ""dem extraction"", ""topographic mapping""]","{""keywords"": [""digital elevation model"", ""satellite images"", ""aster data"", ""dem extraction"", ""topographic mapping""]}"
33,"[""hyperspectral data"", ""compression techniques"", ""noise statistics"", ""principal components analysis"", ""data compression""]","{""keywords"": [""hyperspectral data"", ""compression techniques"", ""noise statistics"", ""principal components analysis"", ""data compression""]}"
34,"[""satellite imaging"", ""image collection"", ""optimization system"", ""space operations"", ""graphical user interface""]","{""keywords"": [""satellite imaging"", ""image collection"", ""optimization system"", ""space operations"", ""graphical user interface""]}"
35,"[""binary logic"", ""modified signed digit"", ""parallel computing"", ""optical computing"", ""binary coding""]","{""keywords"": [""binary logic"", ""modified signed digit"", ""parallel computing"", ""optical computing"", ""binary coding""]}"
36,"[""vibration control"", ""eddy current damper"", ""flexible shaft"", ""timoshenko beam"", ""nonlinear control""]","{""keywords"": [""vibration control"", ""eddy current damper"", ""flexible shaft"", ""timoshenko beam"", ""nonlinear control""]}"
37,"[""vibration control"", ""dynamic vibration absorber"", ""h2 optimization"", ""vibration energy"", ""passive control device""]","{""keywords"": [""vibration control"", ""dynamic vibration absorber"", ""h2 optimization"", ""vibration energy"", ""passive control device""]}"
38,"[""shape memory alloy"", ""nonlinear control"", ""variable structure control"", ""robust control algorithm"", ""manipulator systems""]","{""keywords"": [""shape memory alloy"", ""nonlinear control"", ""variable structure control"", ""robust control algorithm"", ""manipulator systems""]}"
39,"[""nonlinear systems"", ""stochastic control"", ""feedback design"", ""random excitations"", ""differential equation""]","{""keywords"": [""nonlinear systems"", ""stochastic control"", ""feedback design"", ""random excitations"", ""differential equation""]}"
40,"[""longitudinal vibrations"", ""wave control"", ""feedback control"", ""vibration energy"", ""wave transmission""]","{""keywords"": [""longitudinal vibrations"", ""wave control"", ""feedback control"", ""vibration energy"", ""wave transmission""]}"
