insumo_row,eid,matches_published
0,2-s2.0-0033669846,True
1,2-s2.0-0033660524,True
2,2-s2.0-0033653172,True
3,2-s2.0-0033653169,True
4,2-s2.0-0033652463,True
5,2-s2.0-0033646769,True
6,2-s2.0-0034623828,True
7,2-s2.0-8644291002,True
8,2-s2.0-8644285431,True
9,2-s2.0-8644280479,True
10,2-s2.0-8644277146,True
11,2-s2.0-8644274687,True
12,2-s2.0-8644274072,True
13,2-s2.0-8644271674,True
14,2-s2.0-8644265989,True
15,2-s2.0-8644261519,True
16,2-s2.0-8644260091,True
17,2-s2.0-8644252721,True
18,2-s2.0-8644250535,True
19,2-s2.0-8644249814,True
20,2-s2.0-8644246700,True
21,2-s2.0-8644243858,True
22,2-s2.0-8644241742,True
23,2-s2.0-8644233363,True
24,2-s2.0-8644224928,True
25,2-s2.0-8644223322,True
26,2-s2.0-8644220516,True
27,2-s2.0-8644219628,True
28,2-s2.0-85181224824,True
29,2-s2.0-85065364308,True
30,2-s2.0-85040416124,True
31,2-s2.0-85007591202,True
32,2-s2.0-84893628559,True
33,2-s2.0-84893412380,True
34,2-s2.0-84867432310,True
35,2-s2.0-84861099311,True
36,2-s2.0-79959734206,True
37,2-s2.0-79953050978,True
38,2-s2.0-79951828623,True
39,2-s2.0-61149708367,True
40,2-s2.0-3943084162,True
41,2-s2.0-37549002580,True
42,2-s2.0-33749127669,True
43,2-s2.0-3242785671,True
44,2-s2.0-28944455653,True
45,2-s2.0-23044520334,True
46,2-s2.0-1842637776,True
47,2-s2.0-17044444083,True
48,2-s2.0-1642312610,True
49,2-s2.0-1542272649,True
50,2-s2.0-0346383936,True
51,2-s2.0-0034546460,True
52,2-s2.0-0034542419,True
53,2-s2.0-0034511382,True
54,2-s2.0-0034480208,True
55,2-s2.0-0034474519,True
56,2-s2.0-0034474311,True
57,2-s2.0-0034474051,True
58,2-s2.0-0034473636,True
59,2-s2.0-0034472448,True
60,2-s2.0-0034471187,True
61,2-s2.0-0034471117,True
62,2-s2.0-0034470904,True
63,2-s2.0-0034470860,True
64,2-s2.0-0034470794,True
65,2-s2.0-0034429301,True
66,2-s2.0-0033872249,True
67,2-s2.0-0010775015,True
68,2-s2.0-0034634359,True
69,2-s2.0-0033782866,True
70,2-s2.0-85167397859,True
71,2-s2.0-33751240543,True
72,2-s2.0-0034317510,True
73,2-s2.0-0034718894,True
74,2-s2.0-0034718890,True
75,2-s2.0-0034644641,True
76,2-s2.0-0034644591,True
77,2-s2.0-0034644566,True
78,2-s2.0-0005041723,True
79,2-s2.0-79951830040,True
80,2-s2.0-34547439522,True
81,2-s2.0-0037995948,True
82,2-s2.0-0034302751,True
83,2-s2.0-0013238159,True
84,2-s2.0-0033824067,True
85,2-s2.0-85181189739,True
86,2-s2.0-3042664045,True
87,2-s2.0-20444489467,True
88,2-s2.0-0346123728,True
89,2-s2.0-0034284969,True
90,2-s2.0-84952651568,True
91,2-s2.0-85164500141,True
92,2-s2.0-85007838156,True
93,2-s2.0-1542610676,True
94,2-s2.0-0042687934,True
95,2-s2.0-0042186862,True
96,2-s2.0-0034198169,True
97,2-s2.0-0009563814,True
98,2-s2.0-0034607969,True
99,2-s2.0-0011939734,True
100,2-s2.0-0034697112,True
101,2-s2.0-0034028906,True
102,2-s2.0-3042529073,True
103,2-s2.0-84986155810,True
104,2-s2.0-0034171702,True
105,2-s2.0-0010838586,True
106,2-s2.0-84937047204,True
107,2-s2.0-3042676363,True
108,2-s2.0-84993019254,True
109,2-s2.0-34547226829,True
110,2-s2.0-0342955492,True
111,2-s2.0-0041034794,True
112,2-s2.0-3042640043,True
113,2-s2.0-0034635405,True
114,2-s2.0-0034635358,True
115,2-s2.0-23944498915,True
116,2-s2.0-0342313511,True
117,2-s2.0-8644220517,True
118,2-s2.0-85089443123,True
119,2-s2.0-85066224145,True
120,2-s2.0-85050965446,True
121,2-s2.0-85041902906,True
122,2-s2.0-85024001305,True
123,2-s2.0-85023825286,True
124,2-s2.0-85023485385,True
125,2-s2.0-85014988680,True
126,2-s2.0-85011497723,True
127,2-s2.0-85011199676,True
128,2-s2.0-85010495355,True
129,2-s2.0-85010402719,True
130,2-s2.0-85008834289,True
131,2-s2.0-85007856616,True
132,2-s2.0-85006544753,True
133,2-s2.0-84993769373,True
134,2-s2.0-84992904524,True
135,2-s2.0-84992421933,True
136,2-s2.0-84990357490,True
137,2-s2.0-84974678940,True
138,2-s2.0-84968583581,True
139,2-s2.0-84965100236,True
140,2-s2.0-84952891351,True
141,2-s2.0-84950110067,True
142,2-s2.0-84949789649,True
143,2-s2.0-84949673149,True
144,2-s2.0-84944075145,True
145,2-s2.0-84944074638,True
146,2-s2.0-84929855544,True
147,2-s2.0-84904048503,True
148,2-s2.0-84904040699,True
149,2-s2.0-84901245662,True
150,2-s2.0-84871922064,True
151,2-s2.0-84871590639,True
152,2-s2.0-84867470314,True
153,2-s2.0-84867297329,True
154,2-s2.0-77951276094,True
155,2-s2.0-70349431774,True
156,2-s2.0-61449135004,True
157,2-s2.0-5644280460,True
158,2-s2.0-53949124323,True
159,2-s2.0-53949096088,True
160,2-s2.0-53349093437,True
161,2-s2.0-52849125488,True
162,2-s2.0-52849118952,True
163,2-s2.0-50849108878,True
164,2-s2.0-47249106643,True
165,2-s2.0-4544259846,True
166,2-s2.0-35649002265,True
167,2-s2.0-34548171607,True
168,2-s2.0-34249899754,True
169,2-s2.0-34247174510,True
170,2-s2.0-33750632339,True
171,2-s2.0-33750307968,True
172,2-s2.0-33749398801,True
173,2-s2.0-33646819206,True
174,2-s2.0-3042575151,True
175,2-s2.0-3042573883,True
176,2-s2.0-3042533569,True
177,2-s2.0-29444456229,True
178,2-s2.0-27544492987,True
179,2-s2.0-24944517592,True
180,2-s2.0-24944486066,True
181,2-s2.0-24944473629,True
182,2-s2.0-24044474205,True
183,2-s2.0-23044524645,True
184,2-s2.0-23044524589,True
185,2-s2.0-23044523455,True
186,2-s2.0-23044520582,True
187,2-s2.0-23044519525,True
188,2-s2.0-23044518829,True
189,2-s2.0-23044518542,True
190,2-s2.0-22844457285,True
191,2-s2.0-22844454265,True
192,2-s2.0-22844454064,True
193,2-s2.0-22844453632,True
194,2-s2.0-22844453574,True
195,2-s2.0-22844453412,True
196,2-s2.0-22844453364,True
197,2-s2.0-19544377644,True
198,2-s2.0-19544376291,True
199,2-s2.0-19544374850,True
200,2-s2.0-19544366573,True
201,2-s2.0-17144475157,True
202,2-s2.0-1642521411,True
203,2-s2.0-13244297204,True
204,2-s2.0-0346741365,True
205,2-s2.0-0346115258,True
206,2-s2.0-0345985087,True
