row_abs,keywords_llm,raw_response
0,"[""mathematics education"", ""special education"", ""co teaching"", ""argumentation"", ""inclusive classroom""]","{""keywords"": [""mathematics education"", ""special education"", ""co teaching"", ""argumentation"", ""inclusive classroom""]}"
1,"[""mathematical problem solving"", ""math anxiety"", ""elementary school teachers"", ""mathematical representation"", ""quantitative research""]","{""keywords"": [""mathematical problem solving"", ""math anxiety"", ""elementary school teachers"", ""mathematical representation"", ""quantitative research""]}"
2,"[""computational thinking"", ""design based learning"", ""mathematics education"", ""preservice teachers"", ""problem solving""]","{""keywords"": [""computational thinking"", ""design based learning"", ""mathematics education"", ""preservice teachers"", ""problem solving""]}"
3,"[""mathematics education"", ""gamification methods"", ""primary education"", ""student motivation"", ""academic performance""]","{""keywords"": [""mathematics education"", ""gamification methods"", ""primary education"", ""student motivation"", ""academic performance""]}"
4,"[""mathematics education"", ""written feedback"", ""higher education"", ""documentary analysis"", ""pedagogical strategy""]","{""keywords"": [""mathematics education"", ""written feedback"", ""higher education"", ""documentary analysis"", ""pedagogical strategy""]}"
5,"[""mathematics education"", ""phenomenological philosophy"", ""philosophy of arithmetic"", ""mathematical logic"", ""philosophy of mathematics""]","{""keywords"": [""mathematics education"", ""phenomenological philosophy"", ""philosophy of arithmetic"", ""mathematical logic"", ""philosophy of mathematics""]}"
6,"[""covariational reasoning"", ""geogebra simulations"", ""functional relationships"", ""container filling"", ""mathematical modeling""]","{""keywords"": [""covariational reasoning"", ""geogebra simulations"", ""functional relationships"", ""container filling"", ""mathematical modeling""]}"
7,"[""mathematical modeling"", ""primary school students"", ""metacognitive strategies"", ""socioemotional experiences"", ""collaborative learning""]","{""keywords"": [""mathematical modeling"", ""primary school students"", ""metacognitive strategies"", ""socioemotional experiences"", ""collaborative learning""]}"
8,"[""blended learning"", ""mathematics education"", ""bibliometric analysis"", ""knowledge mapping"", ""educational technology""]","{""keywords"": [""blended learning"", ""mathematics education"", ""bibliometric analysis"", ""knowledge mapping"", ""educational technology""]}"
9,"[""hybrid education"", ""mathematics learning"", ""university students"", ""problem solving"", ""online learning""]","{""keywords"": [""hybrid education"", ""mathematics learning"", ""university students"", ""problem solving"", ""online learning""]}"
10,"[""mathematics achievement"", ""secondary education"", ""socio economic background"", ""mathematics anxiety"", ""self efficacy""]","{""keywords"": [""mathematics achievement"", ""secondary education"", ""socio economic background"", ""mathematics anxiety"", ""self efficacy""]}"
11,"[""mathematics education"", ""digital platforms"", ""secondary school students"", ""online learning activities"", ""covid-19 pandemic""]","{""keywords"": [""mathematics education"", ""digital platforms"", ""secondary school students"", ""online learning activities"", ""covid-19 pandemic""]}"
12,"[""mathematics education"", ""logistic equation"", ""qualitative analysis"", ""mathematical modeling"", ""interdisciplinary communication""]","{""keywords"": [""mathematics education"", ""logistic equation"", ""qualitative analysis"", ""mathematical modeling"", ""interdisciplinary communication""]}"
13,"[""mathematical thinking"", ""early childhood education"", ""cognitive development"", ""educational apps"", ""mathematical learning""]","{""keywords"": [""mathematical thinking"", ""early childhood education"", ""cognitive development"", ""educational apps"", ""mathematical learning""]}"
14,"[""mathematical proof"", ""higher education"", ""mathematics education"", ""ontosemiotic approach"", ""toulmin model""]","{""keywords"": [""mathematical proof"", ""higher education"", ""mathematics education"", ""ontosemiotic approach"", ""toulmin model""]}"
