row_abs,doc_id,input_chars_original,input_chars_used,input_sha256
0,100,199,199,51d1a946dec61bd4e57f479393f8971e773100c1da986f5b9aba4cec6e48e443
1,1000,858,858,625b1318686a5870bc0d08ee9e9978ae7644e00cfda3dd91ba918f192bedb2fc
2,1001,1234,1234,1e01106e308a8963206b632050a70c250e6f61bb7dc455efd21a4d8fd0ae35b9
3,1002,1031,1031,39eafabd0b0cd527ec16ce04503e7c71e1f665917a0b6a52ea65bf31096e4725
4,1003,677,677,6b60cb188fe018335e37b71d52c6deed2993d9a197b46fd60d19ec25fbc3264f
5,1004,1012,1012,3b23ad0058ba0bc0e0180e4506b6f788bdc159292d8083b7dac25ea352d1c95f
6,1005,1026,1026,8dc0df3abff77efd4c7664e405251af0632b0b6288c977b97c847c9447361c50
7,1006,994,994,bb402c88458fd9520a68333986f00c9ae9879fa3496954c136ba2e8d68e34b51
8,1007,887,887,8b645920f2ba3c8ba54dfdd19fbc1917ebb55bb37c8b83d22ceb5e7ddad1e598
9,1008,1021,1021,d6c287585264ac0040b10eb8e0b75ad112ce5c252f8d5b883f277753e27bb3ba
10,1009,886,886,4b674ab9f023e6b3337268fd5fa0abc926957d59f1bc65e94ad98c38efacc23f
11,1010,1161,1161,9e7fe6399ed2f9ff754857a35a8132ec877b1e836147dab3fba75069cbb6359b
12,1011,1134,1134,963416e4884d57ef46ec58f11519b93242b9b9fdcfaf7f59d4e4c1168c283e97
13,1012,1169,1169,c28ddf1bef3287d8d47dbe1dd6734366cb67c616383c3bc07403067c6d0c78a4
14,1013,772,772,34525dcddba2e489836bd1c0b606677940e88abe88f25668273d0cde965e090b
15,1014,1006,1006,5ba53644d227c9e6e39158b401ab7cfeb84e6df33307190719baa4e34a5e1258
16,1015,1205,1205,1d218fc001f43e629d4ee08e3327ed936ff9d31b6baa2627b3357d25bdab975d
17,1016,1354,1354,887fdc996ff8bd3e36e1a6e21553db8adac5d5beb1b8dc266bfca4ece0c72993
18,1017,887,887,e9d18c95880ee72c3733a6bd70011561354d71f60ff75992a7c8329bd2911c40
19,1018,753,753,af070668cee734e25aa8cc5f2c8b1207d95849b0ceaa8d13c677c10a9a55d511
20,1019,625,625,31f1f564cfc06084496e59de25e13193d8fd3210e7d5d3baf05ace503f55726d
