method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
keybert,0,100,5,5,0.1111111111111111,0.2,1.0,0.33333333333333337,0.7198537588119507,0.6562420725822449
keybert,1,1000,13,5,0.0,0.15384615384615385,0.8,0.25806451612903225,0.5816391706466675,0.68844074010849
keybert,2,1001,12,5,0.0,0.08333333333333333,0.8,0.1509433962264151,0.6246102452278137,0.6665694117546082
keybert,3,1002,9,5,0.0,0.1111111111111111,0.2,0.14285714285714285,0.5476660132408142,0.40356582403182983
keybert,4,1003,10,5,0.0,0.2,1.0,0.33333333333333337,0.6577646136283875,0.7884618043899536
keybert,5,1004,13,5,0.0,0.07692307692307693,0.8,0.14035087719298248,0.6883511543273926,0.7191197872161865
keybert,6,1005,20,5,0.0,0.15,0.4,0.21818181818181814,0.5569762587547302,0.6829091310501099
keybert,7,1006,21,5,0.0,0.14285714285714285,0.8,0.24242424242424243,0.6139379739761353,0.7652493715286255
keybert,8,1007,19,5,0.0,0.15789473684210525,1.0,0.2727272727272727,0.6991137266159058,0.7792158126831055
keybert,9,1008,18,5,0.0,0.16666666666666666,0.8,0.27586206896551724,0.555732011795044,0.6466541886329651
keybert,10,1009,20,5,0.0,0.15,1.0,0.2608695652173913,0.6332838535308838,0.8058120608329773
keybert,11,1010,25,5,0.0,0.16,1.0,0.2758620689655173,0.6171021461486816,0.7306150794029236
keybert,12,1011,20,5,0.0,0.1,1.0,0.18181818181818182,0.629099428653717,0.5632190704345703
keybert,13,1012,12,5,0.0,0.25,0.8,0.38095238095238093,0.6257071495056152,0.7312703728675842
keybert,14,1013,16,5,0.0,0.1875,1.0,0.3157894736842105,0.6528321504592896,0.6829008460044861
keybert,15,1014,18,5,0.045454545454545456,0.1111111111111111,1.0,0.19999999999999998,0.6572843194007874,0.7758215069770813
keybert,16,1015,18,5,0.0,0.05555555555555555,0.4,0.09756097560975609,0.49140506982803345,0.5171846747398376
keybert,17,1016,14,5,0.05555555555555555,0.14285714285714285,1.0,0.25,0.6767507195472717,0.8083996772766113
keybert,18,1017,13,5,0.0,0.23076923076923078,1.0,0.375,0.7047392725944519,0.7256412506103516
keybert,19,1018,29,5,0.0,0.20689655172413793,1.0,0.34285714285714286,0.6899661421775818,0.8260943293571472
keybert,20,1019,16,5,0.0,0.125,1.0,0.2222222222222222,0.675318717956543,0.7799139022827148
keybert,21,102,16,5,0.0,0.1875,1.0,0.3157894736842105,0.6311224102973938,0.8414493203163147
keybert,22,1020,33,5,0.0,0.18181818181818182,1.0,0.3076923076923077,0.6779587268829346,0.7930270433425903
keybert,23,1021,13,5,0.0,0.23076923076923078,0.8,0.3582089552238806,0.5887179374694824,0.7965422868728638
keybert,24,1022,15,5,0.0,0.06666666666666667,1.0,0.125,0.6195853352546692,0.7283614873886108
keybert,25,1023,19,5,0.043478260869565216,0.10526315789473684,1.0,0.1904761904761905,0.6589107513427734,0.7008991241455078
keybert,26,1024,30,5,0.0,0.1,0.6,0.17142857142857143,0.5408806800842285,0.5914520621299744
keybert,27,1025,13,5,0.0,0.23076923076923078,1.0,0.375,0.6985567808151245,0.7327055931091309
keybert,28,1026,26,5,0.03333333333333333,0.07692307692307693,0.8,0.14035087719298248,0.6331506371498108,0.7717785835266113
keybert,29,1027,24,5,0.0,0.08333333333333333,0.4,0.13793103448275862,0.5420451760292053,0.5687272548675537
keybert,30,1028,17,5,0.047619047619047616,0.058823529411764705,1.0,0.1111111111111111,0.6309813857078552,0.7116191387176514
keybert,31,1029,30,5,0.0,0.2,1.0,0.33333333333333337,0.6038970351219177,0.7995375990867615
keybert,32,1030,13,5,0.0,0.07692307692307693,0.8,0.14035087719298248,0.6119028329849243,0.7493981122970581
keybert,33,1031,28,5,0.0,0.21428571428571427,1.0,0.35294117647058826,0.6471626162528992,0.768837034702301
keybert,34,1032,15,5,0.05263157894736842,0.2,0.8,0.32000000000000006,0.689834713935852,0.8849555850028992
keybert,35,1033,18,5,0.0,0.16666666666666666,1.0,0.2857142857142857,0.6140317916870117,0.7594396471977234
keybert,36,1034,21,5,0.04,0.2857142857142857,1.0,0.4444444444444445,0.6930520534515381,0.7951284646987915
keybert,37,1035,7,5,0.0,0.5714285714285714,1.0,0.7272727272727273,0.7218633890151978,0.7106149792671204
keybert,38,1036,16,5,0.0,0.1875,1.0,0.3157894736842105,0.6111901998519897,0.7509089708328247
keybert,39,1037,12,5,0.0625,0.4166666666666667,1.0,0.5882352941176471,0.7735236883163452,0.9034610390663147
keybert,40,1038,18,5,0.0,0.4444444444444444,1.0,0.6153846153846153,0.7723177075386047,0.7677854895591736
keybert,41,1039,7,5,0.0,0.42857142857142855,1.0,0.6,0.7185695171356201,0.8733962178230286
keybert,42,1040,14,5,0.0,0.21428571428571427,0.8,0.3380281690140845,0.6792749166488647,0.8632970452308655
keybert,43,1041,12,5,0.0,0.25,0.6,0.35294117647058826,0.6444588899612427,0.8349840044975281
keybert,44,1042,17,5,0.0,0.11764705882352941,1.0,0.21052631578947367,0.6157859563827515,0.45440050959587097
keybert,45,1043,18,5,0.045454545454545456,0.16666666666666666,0.6,0.2608695652173913,0.6300308704376221,0.8103130459785461
keybert,46,1044,17,5,0.0,0.11764705882352941,0.8,0.20512820512820512,0.646282970905304,0.828106164932251
keybert,47,1045,11,5,0.06666666666666667,0.2727272727272727,1.0,0.42857142857142855,0.7007546424865723,0.8795990347862244
keybert,48,1046,18,5,0.045454545454545456,0.05555555555555555,1.0,0.10526315789473684,0.6681139469146729,0.8058006167411804
keybert,49,1047,18,5,0.0,0.1111111111111111,1.0,0.19999999999999998,0.6143798828125,0.7687123417854309
keybert,50,1048,12,5,0.0,0.25,0.8,0.38095238095238093,0.7153278589248657,0.8810354471206665
keybert,51,1049,17,5,0.0,0.058823529411764705,0.6,0.10714285714285714,0.5642620325088501,0.6407451033592224
keybert,52,105,7,5,0.0,0.42857142857142855,1.0,0.6,0.7543621063232422,0.8559080362319946
keybert,53,1050,11,5,0.0,0.09090909090909091,0.6,0.15789473684210525,0.61072838306427,0.7890610694885254
keybert,54,1051,14,5,0.0,0.14285714285714285,0.8,0.24242424242424243,0.6050647497177124,0.7577419877052307
keybert,55,1052,13,5,0.0,0.07692307692307693,1.0,0.14285714285714288,0.6333289742469788,0.7152609825134277
keybert,56,1053,19,5,0.0,0.05263157894736842,0.8,0.09876543209876543,0.6352220773696899,0.8049281239509583
keybert,57,1054,11,5,0.0,0.45454545454545453,1.0,0.625,0.72356116771698,0.9121132493019104
keybert,58,1055,15,5,0.0,0.26666666666666666,1.0,0.4210526315789474,0.695309042930603,0.8041113615036011
keybert,59,1056,19,5,0.0,0.21052631578947367,0.8,0.3333333333333333,0.6051853895187378,0.724136233329773
keybert,60,1057,12,5,0.0,0.25,0.8,0.38095238095238093,0.6458138227462769,0.7164838910102844
keybert,61,1058,13,5,0.0,0.3076923076923077,1.0,0.47058823529411764,0.6624806523323059,0.8496290445327759
keybert,62,1059,16,5,0.0,0.4375,1.0,0.6086956521739131,0.7040505409240723,0.839575469493866
keybert,63,106,7,5,0.09090909090909091,0.2857142857142857,1.0,0.4444444444444445,0.7087305188179016,0.7935855984687805
keybert,64,1060,25,5,0.0,0.04,0.6,0.075,0.5932635068893433,0.47456228733062744
keybert,65,1061,6,5,0.0,0.16666666666666666,1.0,0.2857142857142857,0.6220157742500305,0.6449918746948242
keybert,66,1062,16,5,0.0,0.25,1.0,0.4,0.6312686800956726,0.8178386688232422
keybert,67,1063,16,5,0.0,0.25,1.0,0.4,0.70951247215271,0.7671786546707153
keybert,68,1064,9,5,0.16666666666666666,0.6666666666666666,1.0,0.8,0.8069004416465759,0.852855384349823
keybert,69,1065,13,5,0.0,0.23076923076923078,1.0,0.375,0.6664683818817139,0.8538029789924622
keybert,70,1066,18,5,0.0,0.16666666666666666,0.8,0.27586206896551724,0.6509820222854614,0.7906302213668823
keybert,71,1067,22,5,0.0,0.18181818181818182,1.0,0.3076923076923077,0.6620029211044312,0.749160885810852
keybert,72,1068,19,5,0.0,0.47368421052631576,1.0,0.6428571428571429,0.7219994068145752,0.8626673221588135
keybert,73,1069,17,5,0.0,0.11764705882352941,1.0,0.21052631578947367,0.6528686881065369,0.806770384311676
keybert,74,107,11,5,0.0,0.45454545454545453,0.8,0.5797101449275363,0.6793537735939026,0.8285792469978333
keybert,75,1070,15,5,0.0,0.26666666666666666,1.0,0.4210526315789474,0.708817720413208,0.8267552852630615
keybert,76,1071,10,5,0.0,0.2,1.0,0.33333333333333337,0.7391625642776489,0.7979295253753662
keybert,77,1072,19,5,0.043478260869565216,0.3157894736842105,0.8,0.45283018867924535,0.6838778853416443,0.8724704384803772
keybert,78,1073,19,5,0.0,0.10526315789473684,1.0,0.1904761904761905,0.6639245748519897,0.7125339508056641
keybert,79,1074,19,5,0.043478260869565216,0.3157894736842105,0.8,0.45283018867924535,0.6816011071205139,0.8557124733924866
keybert,80,1075,16,5,0.0,0.125,1.0,0.2222222222222222,0.6444960832595825,0.8068689703941345
keybert,81,1076,16,5,0.0,0.375,1.0,0.5454545454545454,0.7222356796264648,0.8552220463752747
