method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
llama_3.1_8b,0,100,5,5,0.1111111111111111,0.8,0.8,0.8000000000000002,0.7695065140724182,0.8813703060150146
llama_3.1_8b,1,1000,13,5,0.2857142857142857,0.46153846153846156,0.8,0.5853658536585367,0.8193080425262451,0.7867207527160645
llama_3.1_8b,2,1001,12,5,0.3076923076923077,0.5833333333333334,1.0,0.7368421052631579,0.8430048227310181,0.9175223112106323
llama_3.1_8b,3,1002,9,5,0.2727272727272727,0.3333333333333333,0.6,0.42857142857142855,0.7904664278030396,0.8063493371009827
llama_3.1_8b,4,1003,10,5,0.15384615384615385,0.6,0.8,0.6857142857142857,0.8035789728164673,0.8500238656997681
llama_3.1_8b,5,1004,13,5,0.2857142857142857,0.46153846153846156,0.8,0.5853658536585367,0.7962120771408081,0.7749239802360535
llama_3.1_8b,6,1005,20,5,0.13636363636363635,0.35,1.0,0.5185185185185185,0.7742160558700562,0.8257554769515991
llama_3.1_8b,7,1006,21,5,0.04,0.42857142857142855,1.0,0.6,0.7746803164482117,0.7810779809951782
llama_3.1_8b,8,1007,19,5,0.14285714285714285,0.42105263157894735,1.0,0.5925925925925926,0.765488862991333,0.8773081302642822
llama_3.1_8b,9,1008,18,5,0.045454545454545456,0.2777777777777778,0.8,0.41237113402061853,0.6649534702301025,0.8201763033866882
llama_3.1_8b,10,1009,20,5,0.0,0.3,0.8,0.4363636363636363,0.6895138025283813,0.7717753648757935
llama_3.1_8b,11,1010,25,5,0.15384615384615385,0.28,1.0,0.43750000000000006,0.7667957544326782,0.751930296421051
llama_3.1_8b,12,1011,20,5,0.041666666666666664,0.15,0.6,0.24,0.6192916631698608,0.6613292694091797
llama_3.1_8b,13,1012,12,5,0.21428571428571427,0.4166666666666667,0.8,0.547945205479452,0.7053138017654419,0.7969528436660767
llama_3.1_8b,14,1013,16,5,0.10526315789473684,0.375,1.0,0.5454545454545454,0.7352070808410645,0.760809600353241
llama_3.1_8b,15,1014,18,5,0.045454545454545456,0.4444444444444444,1.0,0.6153846153846153,0.7401163578033447,0.8213633298873901
llama_3.1_8b,16,1015,18,5,0.09523809523809523,0.3888888888888889,1.0,0.56,0.7728807926177979,0.8334842920303345
llama_3.1_8b,17,1016,14,4,0.058823529411764705,0.35714285714285715,0.75,0.48387096774193544,0.7082831263542175,0.7432106733322144
llama_3.1_8b,18,1017,13,5,0.2,0.5384615384615384,0.8,0.6436781609195402,0.811737060546875,0.7806863784790039
llama_3.1_8b,19,1018,29,5,0.0967741935483871,0.3103448275862069,1.0,0.4736842105263158,0.7758147716522217,0.8412514328956604
llama_3.1_8b,20,1019,16,5,0.23529411764705882,0.5625,1.0,0.72,0.8173494935035706,0.8578401803970337
llama_3.1_8b,21,102,16,5,0.16666666666666666,0.4375,1.0,0.6086956521739131,0.7554309964179993,0.8151979446411133
llama_3.1_8b,22,1020,33,5,0.08571428571428572,0.2727272727272727,1.0,0.42857142857142855,0.7520090341567993,0.763511061668396
llama_3.1_8b,23,1021,13,5,0.058823529411764705,0.6923076923076923,1.0,0.8181818181818181,0.8172819018363953,0.8545039296150208
llama_3.1_8b,24,1022,15,5,0.25,0.4,1.0,0.5714285714285715,0.7823331356048584,0.801013708114624
llama_3.1_8b,25,1023,19,5,0.14285714285714285,0.3157894736842105,0.8,0.45283018867924535,0.716866135597229,0.7986308932304382
llama_3.1_8b,26,1024,30,5,0.06060606060606061,0.23333333333333334,1.0,0.37837837837837834,0.7061761617660522,0.5644510984420776
llama_3.1_8b,27,1025,13,5,0.125,0.6923076923076923,1.0,0.8181818181818181,0.8432058095932007,0.829596221446991
llama_3.1_8b,28,1026,26,5,0.14814814814814814,0.2692307692307692,1.0,0.42424242424242425,0.7546014189720154,0.7777467370033264
llama_3.1_8b,29,1027,24,5,0.07407407407407407,0.2916666666666667,1.0,0.45161290322580644,0.7330132722854614,0.7706830501556396
llama_3.1_8b,30,1028,17,5,0.0,0.17647058823529413,0.8,0.28915662650602414,0.6220898628234863,0.8269164562225342
llama_3.1_8b,31,1029,30,5,0.12903225806451613,0.4,1.0,0.5714285714285715,0.7863286733627319,0.751288115978241
llama_3.1_8b,32,1030,13,5,0.0,0.38461538461538464,0.4,0.39215686274509803,0.640336275100708,0.7959570288658142
llama_3.1_8b,33,1031,28,5,0.03125,0.42857142857142855,0.8,0.5581395348837209,0.7573904991149902,0.7580565214157104
llama_3.1_8b,34,1032,15,5,0.0,0.26666666666666666,0.4,0.32,0.546677827835083,0.6856963634490967
llama_3.1_8b,35,1033,18,5,0.045454545454545456,0.4444444444444444,1.0,0.6153846153846153,0.7726593017578125,0.7945690155029297
llama_3.1_8b,36,1034,21,5,0.08333333333333333,0.2857142857142857,0.6,0.3870967741935483,0.6621301770210266,0.7447441816329956
llama_3.1_8b,37,1035,7,5,0.09090909090909091,0.8571428571428571,0.8,0.8275862068965518,0.8196109533309937,0.8451995253562927
llama_3.1_8b,38,1036,16,5,0.23529411764705882,0.5625,1.0,0.72,0.8256221413612366,0.8143361806869507
llama_3.1_8b,39,1037,12,5,0.4166666666666667,0.5833333333333334,1.0,0.7368421052631579,0.8883348107337952,0.8905627727508545
llama_3.1_8b,40,1038,18,5,0.09523809523809523,0.6666666666666666,1.0,0.8,0.799445629119873,0.7907503247261047
llama_3.1_8b,41,1039,7,5,0.2,0.7142857142857143,0.6,0.6521739130434783,0.8097982406616211,0.9418038725852966
llama_3.1_8b,42,1040,14,5,0.05555555555555555,0.5,1.0,0.6666666666666666,0.7728310823440552,0.5930669903755188
llama_3.1_8b,43,1041,12,5,0.13333333333333333,0.6666666666666666,1.0,0.8,0.8361390829086304,0.8743982911109924
llama_3.1_8b,44,1042,17,5,0.2222222222222222,0.47058823529411764,1.0,0.6399999999999999,0.8078670501708984,0.8645793199539185
llama_3.1_8b,45,1043,18,5,0.2777777777777778,0.3333333333333333,1.0,0.5,0.8041311502456665,0.889329195022583
llama_3.1_8b,46,1044,17,5,0.2222222222222222,0.47058823529411764,0.8,0.5925925925925927,0.7734916806221008,0.7797574400901794
llama_3.1_8b,47,1045,11,5,0.06666666666666667,0.5454545454545454,0.8,0.6486486486486486,0.7405052185058594,0.9079581499099731
llama_3.1_8b,48,1046,18,5,0.09523809523809523,0.3333333333333333,1.0,0.5,0.7774720788002014,0.8722663521766663
llama_3.1_8b,49,1047,18,5,0.045454545454545456,0.3333333333333333,0.8,0.47058823529411764,0.7094308137893677,0.7525166273117065
llama_3.1_8b,50,1048,12,5,0.21428571428571427,0.6666666666666666,1.0,0.8,0.8573213815689087,0.903323769569397
llama_3.1_8b,51,1049,17,5,0.047619047619047616,0.29411764705882354,1.0,0.45454545454545453,0.7296628355979919,0.7402133941650391
llama_3.1_8b,52,105,7,5,0.2,0.7142857142857143,0.8,0.7547169811320756,0.8576574325561523,0.9162423610687256
llama_3.1_8b,53,1050,11,5,0.06666666666666667,0.2727272727272727,0.4,0.3243243243243243,0.6892004013061523,0.801209032535553
llama_3.1_8b,54,1051,14,5,0.1875,0.5,1.0,0.6666666666666666,0.8393767476081848,0.933921217918396
llama_3.1_8b,55,1052,13,5,0.0,0.38461538461538464,0.8,0.5194805194805195,0.6454209685325623,0.8079912066459656
llama_3.1_8b,56,1053,19,5,0.043478260869565216,0.47368421052631576,1.0,0.6428571428571429,0.7712222337722778,0.8630647659301758
llama_3.1_8b,57,1054,11,5,0.14285714285714285,0.7272727272727273,1.0,0.8421052631578948,0.8831613659858704,0.8559135794639587
llama_3.1_8b,58,1055,15,5,0.17647058823529413,0.6,1.0,0.7499999999999999,0.8498556017875671,0.744981586933136
llama_3.1_8b,59,1056,19,5,0.043478260869565216,0.5263157894736842,0.8,0.6349206349206348,0.7241004109382629,0.7134898900985718
llama_3.1_8b,60,1057,12,5,0.13333333333333333,0.4166666666666667,1.0,0.5882352941176471,0.8017727136611938,0.8746328353881836
llama_3.1_8b,61,1058,13,5,0.058823529411764705,0.3076923076923077,0.8,0.4444444444444444,0.7121257185935974,0.7730047106742859
llama_3.1_8b,62,1059,16,5,0.10526315789473684,0.6875,0.8,0.7394957983193278,0.8271083831787109,0.8217819929122925
llama_3.1_8b,63,106,7,5,0.2,0.8571428571428571,1.0,0.923076923076923,0.8669860363006592,0.9117532968521118
llama_3.1_8b,64,1060,25,5,0.07142857142857142,0.32,1.0,0.48484848484848486,0.7655857801437378,0.541516125202179
