method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
tfidf,0,100,5,5,0.0,0.2,0.4,0.26666666666666666,0.6284815669059753,0.7912878394126892
tfidf,1,1000,13,5,0.125,0.5384615384615384,0.6,0.5675675675675675,0.7728677988052368,0.825659990310669
tfidf,2,1001,12,5,0.13333333333333333,0.25,0.6,0.35294117647058826,0.6666003465652466,0.5211541652679443
tfidf,3,1002,9,5,0.07692307692307693,0.2222222222222222,0.8,0.3478260869565218,0.6721689701080322,0.5073338747024536
tfidf,4,1003,10,5,0.07142857142857142,0.4,0.6,0.48,0.7145350575447083,0.785163938999176
tfidf,5,1004,13,5,0.058823529411764705,0.23076923076923078,0.4,0.29268292682926833,0.6610387563705444,0.7482773661613464
tfidf,6,1005,20,5,0.041666666666666664,0.15,1.0,0.2608695652173913,0.6534843444824219,0.5902436971664429
tfidf,7,1006,21,5,0.0,0.19047619047619047,0.8,0.3076923076923077,0.6223794221878052,0.7469968199729919
tfidf,8,1007,19,5,0.043478260869565216,0.21052631578947367,0.8,0.3333333333333333,0.6416658163070679,0.7647319436073303
tfidf,9,1008,18,5,0.045454545454545456,0.05555555555555555,0.6,0.10169491525423728,0.525628924369812,0.606364905834198
tfidf,10,1009,20,5,0.0,0.3,0.8,0.4363636363636363,0.6119458675384521,0.7911246418952942
tfidf,11,1010,25,5,0.0,0.12,0.8,0.20869565217391303,0.6118344068527222,0.5723209977149963
tfidf,12,1011,20,5,0.041666666666666664,0.2,0.8,0.32000000000000006,0.6363645792007446,0.5283318758010864
tfidf,13,1012,12,5,0.0,0.3333333333333333,0.6,0.42857142857142855,0.6480363607406616,0.7832889556884766
tfidf,14,1013,16,5,0.05,0.25,0.6,0.35294117647058826,0.6725879311561584,0.7187024354934692
tfidf,15,1014,18,5,0.045454545454545456,0.2222222222222222,0.6,0.32432432432432434,0.6499941349029541,0.7585554122924805
tfidf,16,1015,18,5,0.0,0.1111111111111111,0.2,0.14285714285714285,0.5898803472518921,0.7099657654762268
tfidf,17,1016,14,5,0.05555555555555555,0.2857142857142857,0.8,0.4210526315789473,0.6655027866363525,0.7641209363937378
tfidf,18,1017,13,5,0.0,0.38461538461538464,0.8,0.5194805194805195,0.706060528755188,0.7434573769569397
tfidf,19,1018,29,5,0.030303030303030304,0.3448275862068966,1.0,0.5128205128205129,0.710159420967102,0.7538915276527405
tfidf,20,1019,16,5,0.0,0.25,0.8,0.38095238095238093,0.6303187608718872,0.8584524989128113
tfidf,21,102,16,5,0.0,0.1875,0.4,0.25531914893617025,0.5333234071731567,0.6103894114494324
tfidf,22,1020,33,5,0.02702702702702703,0.2727272727272727,0.8,0.4067796610169491,0.6488465070724487,0.6337369680404663
tfidf,23,1021,13,5,0.058823529411764705,0.23076923076923078,1.0,0.375,0.6513194441795349,0.654056966304779
tfidf,24,1022,15,5,0.0,0.2,0.6,0.3,0.5842579007148743,0.6540489196777344
tfidf,25,1023,19,5,0.043478260869565216,0.21052631578947367,0.8,0.3333333333333333,0.5947268009185791,0.5685349106788635
tfidf,26,1024,30,5,0.0,0.13333333333333333,0.8,0.2285714285714286,0.6175949573516846,0.52244633436203
tfidf,27,1025,13,5,0.125,0.38461538461538464,0.8,0.5194805194805195,0.7255053520202637,0.7898731827735901
tfidf,28,1026,26,5,0.0,0.07692307692307693,0.8,0.14035087719298248,0.6228510141372681,0.7257175445556641
tfidf,29,1027,24,5,0.0,0.20833333333333334,1.0,0.3448275862068966,0.643692672252655,0.7826948761940002
tfidf,30,1028,17,5,0.0,0.17647058823529413,0.6,0.2727272727272727,0.5656120181083679,0.6985363960266113
tfidf,31,1029,30,5,0.09375,0.2,0.8,0.32000000000000006,0.6981140375137329,0.587945282459259
tfidf,32,1030,13,5,0.0,0.3076923076923077,0.2,0.24242424242424246,0.5293821692466736,0.4618781805038452
tfidf,33,1031,28,5,0.03125,0.32142857142857145,0.8,0.45859872611464975,0.6967772841453552,0.7112834453582764
tfidf,34,1032,15,5,0.0,0.4666666666666667,0.8,0.5894736842105264,0.6761832237243652,0.6370580196380615
tfidf,35,1033,18,5,0.0,0.2222222222222222,0.8,0.3478260869565218,0.6328516602516174,0.6170144081115723
tfidf,36,1034,21,5,0.04,0.09523809523809523,0.6,0.1643835616438356,0.6101093888282776,0.574724018573761
tfidf,37,1035,7,5,0.0,0.2857142857142857,0.4,0.3333333333333333,0.4913977384567261,0.4959961175918579
tfidf,38,1036,16,5,0.05,0.3125,0.8,0.449438202247191,0.6969902515411377,0.7256109714508057
tfidf,39,1037,12,5,0.0625,0.4166666666666667,0.6,0.49180327868852464,0.7033918499946594,0.6892900466918945
tfidf,40,1038,18,5,0.0,0.5555555555555556,0.6,0.576923076923077,0.7380512952804565,0.7658290266990662
tfidf,41,1039,7,5,0.09090909090909091,0.42857142857142855,0.6,0.5,0.6857200860977173,0.8274601101875305
tfidf,42,1040,14,5,0.05555555555555555,0.35714285714285715,0.8,0.4938271604938272,0.6913142204284668,0.7423929572105408
tfidf,43,1041,12,5,0.21428571428571427,0.5,1.0,0.6666666666666666,0.8022656440734863,0.8239882588386536
tfidf,44,1042,17,5,0.047619047619047616,0.29411764705882354,1.0,0.45454545454545453,0.7001699209213257,0.5488458871841431
tfidf,45,1043,18,5,0.045454545454545456,0.1111111111111111,0.6,0.18750000000000003,0.5451957583427429,0.4578315317630768
tfidf,46,1044,17,5,0.0,0.29411764705882354,0.8,0.43010752688172044,0.6239832639694214,0.5474144816398621
tfidf,47,1045,11,5,0.06666666666666667,0.36363636363636365,0.6,0.4528301886792453,0.6690354347229004,0.6660496592521667
