method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
yake,0,100,5,5,0.0,0.6,1.0,0.7499999999999999,0.7661817669868469,0.8759750723838806
yake,1,1000,13,5,0.058823529411764705,0.46153846153846156,1.0,0.631578947368421,0.7701107263565063,0.8132891654968262
yake,2,1001,12,5,0.0,0.08333333333333333,0.2,0.11764705882352941,0.45970821380615234,0.45793581008911133
yake,3,1002,9,5,0.07692307692307693,0.2222222222222222,0.8,0.3478260869565218,0.7087228894233704,0.7475253939628601
yake,4,1003,10,5,0.07142857142857142,0.3,1.0,0.4615384615384615,0.6585785746574402,0.6911487579345703
yake,5,1004,13,5,0.0,0.07692307692307693,0.2,0.1111111111111111,0.5562288761138916,0.6763666868209839
yake,6,1005,20,5,0.0,0.05,0.2,0.08000000000000002,0.39246463775634766,0.43303564190864563
yake,7,1006,21,5,0.0,0.19047619047619047,0.8,0.3076923076923077,0.6141253113746643,0.5811817049980164
yake,8,1007,19,5,0.09090909090909091,0.21052631578947367,0.8,0.3333333333333333,0.6718370914459229,0.788171112537384
yake,9,1008,18,5,0.045454545454545456,0.2222222222222222,1.0,0.3636363636363636,0.6454811692237854,0.7573012709617615
yake,10,1009,20,5,0.0,0.15,1.0,0.2608695652173913,0.6676393747329712,0.7213193774223328
yake,11,1010,25,5,0.034482758620689655,0.12,0.8,0.20869565217391303,0.6750131845474243,0.7461572885513306
yake,12,1011,20,5,0.041666666666666664,0.15,0.6,0.24,0.6199935674667358,0.692104160785675
yake,13,1012,12,5,0.0625,0.16666666666666666,0.6,0.2608695652173913,0.5962369441986084,0.6264894604682922
yake,14,1013,16,5,0.05,0.0625,0.6,0.11320754716981132,0.5868134498596191,0.5740060806274414
yake,15,1014,18,5,0.0,0.2222222222222222,0.8,0.3478260869565218,0.6541524529457092,0.6980194449424744
yake,16,1015,18,5,0.045454545454545456,0.1111111111111111,1.0,0.19999999999999998,0.703586220741272,0.7480437159538269
yake,17,1016,14,5,0.05555555555555555,0.21428571428571427,1.0,0.35294117647058826,0.7016940712928772,0.597015917301178
yake,18,1017,13,5,0.0,0.23076923076923078,0.4,0.29268292682926833,0.5477132201194763,0.5334835052490234
yake,19,1018,29,5,0.0625,0.3103448275862069,0.6,0.4090909090909091,0.6161655187606812,0.5795671343803406
yake,20,1019,16,5,0.0,0.125,1.0,0.2222222222222222,0.6771994233131409,0.8826676607131958
yake,21,102,16,5,0.10526315789473684,0.375,1.0,0.5454545454545454,0.6974878907203674,0.7651660442352295
yake,22,1020,33,5,0.05555555555555555,0.2727272727272727,1.0,0.42857142857142855,0.7674283981323242,0.8663741946220398
yake,23,1021,13,5,0.058823529411764705,0.23076923076923078,0.8,0.3582089552238806,0.6891964077949524,0.6726645231246948
yake,24,1022,15,5,0.0,0.26666666666666666,0.6,0.36923076923076925,0.6421625018119812,0.7956703305244446
yake,25,1023,19,5,0.043478260869565216,0.2631578947368421,0.8,0.396039603960396,0.6998664736747742,0.8533995747566223
yake,26,1024,30,5,0.029411764705882353,0.1,0.6,0.17142857142857143,0.562056303024292,0.6033878326416016
yake,27,1025,13,5,0.058823529411764705,0.23076923076923078,0.8,0.3582089552238806,0.5736828446388245,0.6109723448753357
yake,28,1026,26,5,0.03333333333333333,0.07692307692307693,0.6,0.13636363636363635,0.5668419599533081,0.6709176301956177
yake,29,1027,24,5,0.07407407407407407,0.125,1.0,0.2222222222222222,0.6527750492095947,0.679855227470398
yake,30,1028,17,5,0.1,0.17647058823529413,0.6,0.2727272727272727,0.6131201386451721,0.7961538434028625
yake,31,1029,30,5,0.06060606060606061,0.23333333333333334,1.0,0.37837837837837834,0.7049087882041931,0.7164430618286133
yake,32,1030,13,5,0.0,0.07692307692307693,0.8,0.14035087719298248,0.6212388277053833,0.7554728388786316
yake,33,1031,28,5,0.0,0.17857142857142858,0.8,0.29197080291970806,0.5940519571304321,0.6717579364776611
yake,34,1032,15,5,0.05263157894736842,0.13333333333333333,0.4,0.2,0.5056588649749756,0.5428816080093384
yake,35,1033,18,5,0.045454545454545456,0.2777777777777778,1.0,0.4347826086956522,0.765699565410614,0.897365391254425
