method,metric,n,mean,sd
llama_3.1_8b,jaccard_lex,2000,0.14222759742800065,0.11179684292324664
llama_3.1_8b,soft_precision,2000,0.7939,0.20691591794385775
llama_3.1_8b,soft_recall,2000,0.46699910279110396,0.17993063871057585
llama_3.1_8b,soft_f1,2000,0.5651831270053578,0.1626451450261046
llama_3.1_8b,soft_mean_max,2000,0.7521545741558074,0.07914918460663485
llama_3.1_8b,global_sem_sim,2000,0.8041979337632656,0.0784679612919311
tfidf,jaccard_lex,2000,0.046939297236129725,0.05877522530370545
tfidf,soft_precision,2000,0.6211,0.25488678592037367
tfidf,soft_recall,2000,0.2776831143610061,0.1603655146274467
tfidf,soft_f1,2000,0.3630825648701731,0.17338534570722094
tfidf,soft_mean_max,2000,0.6389011677652597,0.08968737749036651
tfidf,global_sem_sim,2000,0.6623285868056118,0.12503547334930826
yake,jaccard_lex,2000,0.049567741142717975,0.05798851176890099
yake,soft_precision,2000,0.6789000000000001,0.2797747789981823
yake,soft_recall,2000,0.24155666309234744,0.15638072333440095
yake,soft_f1,2000,0.3328109159826683,0.17382195413297372
yake,soft_mean_max,2000,0.6360404864773155,0.0988635183598685
yake,global_sem_sim,2000,0.6921181449256837,0.12692577104946434
keybert,jaccard_lex,2000,0.011872831730278527,0.028723547823198168
keybert,soft_precision,2000,0.7941,0.2744136319877538
keybert,soft_recall,2000,0.20260063551131735,0.1329945643519576
keybert,soft_f1,2000,0.3033934657200751,0.16226631538422764
keybert,soft_mean_max,2000,0.6411461709439754,0.07176136402005542
keybert,global_sem_sim,2000,0.7324597212150693,0.09912070643779029
