nodes_full_graph,edges_full_graph,density_full_graph,n_components_full_graph,lcc_nodes,lcc_edges,lcc_fraction_nodes,modularity,n_communities,mean_degree,mean_weighted_degree,clustering_coefficient,backbone_nodes,backbone_edges,backbone_components,backbone_density,backbone_lcc_nodes,backbone_lcc_edges,backbone_lcc_fraction_nodes,backbone_mean_degree,backbone_mean_weighted_degree,backbone_empty,n_documents,replicate,seed,tau,backbone_threshold,louvain_seed,vocabulary_size,runtime_total_seconds,runtime_embedding_seconds,runtime_graph_construction_seconds,runtime_metrics_seconds,peak_memory_rss_mib,baseline_memory_rss_mib,peak_memory_increase_mib,sample_file,sample_sha256
56635,109022,6.798013132227201e-05,19856,34316,106297,0.6059150701862805,0.3560443171946043,7,3.8499867573055537,6.47991524675554,0.20864639735849,408,608,2,0.0073228308522426,406,607,0.9950980392156864,2.980392156862745,188.84803921568627,False,52946,1,42,0.4,20,42,56635,92.44590820898884,75.40871529202559,9.477545417001238,7.509436291002203,858.90625,812.890625,46.015625,samples/n52946_r1_s42.csv,f0bc3f42eda13fd67af45f1d92c240929ad4c69b33e4161f32799c5f8cff2406
1604,1561,0.0012142133748597938,587,814,1323,0.5074812967581047,,0,1.9463840399002494,2.1359102244389025,0.24107353560072278,0,0,0,0.0,0,0,0.0,,,True,500,1,42,0.4,20,42,1604,2.4653387909929734,2.3528261669853237,0.09201074999873526,0.019190416001947597,869.984375,869.984375,0.0,samples/n500_r1_s42.csv,b4d8a9b8955fd41535cb96f7bc22de82270709b5c0df7f0114ec45bb1b91a14f
1577,1607,0.0012931769825763112,573,840,1402,0.5326569435637286,,0,2.038046924540266,2.246036778693722,0.2504689958713103,0,0,0,0.0,0,0,0.0,,,True,500,2,43,0.4,20,42,1577,2.1216644160158467,2.016745875007473,0.0859284580219537,0.01782616600394249,824.46875,818.875,5.59375,samples/n500_r2_s43.csv,31578931d0ecf06eea282a608ee2886c9e528055cbb15d92bfa5c78cca45c434
1602,1573,0.001226605406577194,592,841,1377,0.5249687890137328,,0,1.9637952559300873,2.146067415730337,0.24301406194938013,0,0,0,0.0,0,0,0.0,,,True,500,3,44,0.4,20,42,1602,2.329185750015313,2.224616999999853,0.085709290986415,0.01774650000152178,808.125,806.953125,1.171875,samples/n500_r3_s44.csv,445fb951fadbb528b53f0af0279bb300eb054854d584ff984b3dd36ecf85f478
1644,1500,0.0011106619100719264,645,749,1212,0.4555961070559611,,0,1.8248175182481752,1.9793187347931873,0.21891798918616592,0,0,0,0.0,0,0,0.0,,,True,500,4,45,0.4,20,42,1644,2.3590647499950137,2.2561272910097614,0.08492333398316987,0.016911833983613178,783.53125,782.046875,1.484375,samples/n500_r4_s45.csv,33b2c7b6d8f5f3b0a477f357804d4d0de206777da09dd7e4924df69b4ba7ab92
1622,1564,0.0011896874484170843,632,807,1346,0.49753390875462394,,0,1.9284833538840938,2.087546239210851,0.2492281805872198,0,0,0,0.0,0,0,0.0,,,True,500,5,46,0.4,20,42,1622,2.3929164159926586,2.2622431670024525,0.10911416701856069,0.02046020800480619,786.140625,783.703125,2.4375,samples/n500_r5_s46.csv,93a8569aa8caa8469c92182918f9166e204d7d99c669ed1eb86e718f38c094d5
1576,1573,0.0012674240593022318,579,813,1363,0.5158629441624365,,0,1.9961928934010151,2.1878172588832485,0.2256397390597278,0,0,0,0.0,0,0,0.0,,,True,500,6,47,0.4,20,42,1576,2.5182477080088574,2.4128732919925824,0.08642108298954554,0.01787195898941718,739.296875,739.296875,0.0,samples/n500_r6_s47.csv,2e77a7ee1538f15d6b514110f2464655372ae8100ca85873ff3d7b5dbcf327d7
1649,1571,0.001156187627688449,631,821,1334,0.49787750151607035,,0,1.9053972104305639,2.0970285021224986,0.23652486061665098,0,0,0,0.0,0,0,0.0,,,True,500,7,48,0.4,20,42,1649,2.5319547500112094,2.41114787501283,0.09946274998947047,0.020190042007016018,597.421875,578.890625,18.53125,samples/n500_r7_s48.csv,2c6895f1e78156d471baf374cc8210bb46eab0eb683a7df6b3240b57a4448e6c
1606,1627,0.0012623999565492333,576,840,1400,0.523038605230386,,0,2.0261519302615194,2.2216687422166874,0.25882241435088454,0,0,0,0.0,0,0,0.0,,,True,500,8,49,0.4,20,42,1606,2.7437021249788813,2.6151527919864748,0.10628820798592642,0.021121124998899177,605.46875,598.6875,6.78125,samples/n500_r8_s49.csv,3bb01238215f8b7566199ff906b30b6a22bd7014a0fe519d12496a01a97fed09
1634,1524,0.0011422909229096038,649,756,1250,0.46266829865361075,,0,1.865361077111383,2.0624235006119953,0.239085924935481,0,0,0,0.0,0,0,0.0,,,True,500,9,50,0.4,20,42,1634,2.5980465410102624,2.479768040997442,0.0971449580101762,0.020001458993647248,565.484375,546.71875,18.765625,samples/n500_r9_s50.csv,2c57729f9d57f42e512b6b3d7e0c0f3cac8f26c20133862ae4c951b35c17fa25
1625,1570,0.0011898446381205002,614,784,1308,0.48246153846153844,,0,1.9323076923076923,2.0984615384615384,0.24334054493898444,0,0,0,0.0,0,0,0.0,,,True,500,10,51,0.4,20,42,1625,2.473755292012356,2.3518489580019377,0.10109295800793916,0.01971591601613909,562.375,560.75,1.625,samples/n500_r10_s51.csv,25b4dada8c94fc3b7971b4017c60400a8720369c30622e560b6313e4538381f3
2838,3022,0.0007506763414986152,1054,1510,2711,0.5320648343904157,0.4997736532367587,2,2.1296687808315715,2.4615926708949964,0.24033006190719294,4,2,2,0.3333333333333333,2,1,0.5,1.0,23.5,False,1000,1,42,0.4,20,42,2838,5.016782125021564,4.7638382079894654,0.20486212501418777,0.046188083011657,565.796875,562.671875,3.125,samples/n1000_r1_s42.csv,596097997dd1aae698d1d7c87b324bbc0399a7917c81b4f79b7fc348b18d542b
2780,3075,0.0007960526145474408,1022,1490,2752,0.5359712230215827,0.49984610649430594,2,2.212230215827338,2.531654676258993,0.2581256976439145,4,2,2,0.3333333333333333,2,1,0.5,1.0,28.5,False,1000,2,43,0.4,20,42,2780,5.235660666017793,5.023650833987631,0.17193658300675452,0.03833316601230763,550.828125,520.828125,30.0,samples/n1000_r2_s43.csv,dcdd6a8c5b0176a5123d114bcb674eec4ba5fd283dd1a22745d50195eac0265e
2864,3179,0.0007754006521268271,1034,1557,2861,0.5436452513966481,0.0,1,2.219972067039106,2.5314245810055866,0.2467627003757798,2,1,1,1.0,2,1,1.0,1.0,20.0,False,1000,3,44,0.4,20,42,2864,4.378222416009521,4.132039165997412,0.20436520798830315,0.04006791699794121,555.328125,530.0,25.328125,samples/n1000_r3_s44.csv,d1679c3dc488c57f2a09bc43cd3b637e6032facb2e7008b91e607c24e2014914
2889,2966,0.0007109784079261387,1082,1489,2604,0.5154032537210107,0.0,1,2.053305642090689,2.363447559709242,0.22820748469096216,2,1,1,1.0,2,1,1.0,1.0,21.0,False,1000,4,45,0.4,20,42,2889,5.5601406669884454,5.313187541003572,0.20105029200203717,0.044169166998472065,581.03125,555.40625,25.625,samples/n1000_r4_s45.csv,f3d9202269f9b1dcedbd7a5d550353e68abd6d280bd55baa4f464e734cd3b7fd
2893,3112,0.0007439142222917053,1098,1448,2693,0.5005184929139301,0.0,1,2.1513999308676115,2.4535084687175943,0.23848998903482588,2,1,1,1.0,2,1,1.0,1.0,25.0,False,1000,5,46,0.4,20,42,2893,6.014612875005696,5.621288624999579,0.33243925002170727,0.058284750004531816,572.015625,553.15625,18.859375,samples/n1000_r5_s46.csv,be0522d102ae8121e73b4540917460d6371af1c43ac2ef0fc241fbc51a6bf075
2836,3046,0.0007577057882652617,1056,1503,2720,0.5299717912552891,0.4767397154940408,2,2.148095909732017,2.5014104372355432,0.2496106123290085,4,2,2,0.3333333333333333,2,1,0.5,1.0,25.5,False,1000,6,47,0.4,20,42,2836,4.712400417018216,4.477956584014464,0.19306312498520128,0.03861700001289137,558.40625,534.640625,23.765625,samples/n1000_r6_s47.csv,240b535c0fd60ba7c3facaaebb8026ecaca62bdfd0e5ad2f3553a50729a7e8ef
2884,3031,0.0007290814247564397,1097,1499,2708,0.5197642163661581,0.48,2,2.1019417475728157,2.4195561719833565,0.25111824167996594,4,2,2,0.3333333333333333,2,1,0.5,1.0,25.0,False,1000,7,48,0.4,20,42,2884,4.499280124990037,4.221019666991197,0.22291966699413024,0.053588250011671335,564.609375,555.484375,9.125,samples/n1000_r7_s48.csv,1d08d7ba7e3c9b5345594b4158a677d4b6021012bf4db9e27e8197e0e80fb995
2844,2904,0.0007183236344801281,1123,1414,2546,0.4971870604781997,0.0,1,2.042194092827004,2.338255977496484,0.22823435345455276,2,1,1,1.0,2,1,1.0,1.0,28.0,False,1000,8,49,0.4,20,42,2844,4.596673499996541,4.365091249987017,0.19276974999229424,0.03690350000397302,570.0625,556.546875,13.515625,samples/n1000_r8_s49.csv,32dc51915fd30e77237eb821e5df3413c7ff6d8123bc263a07d9fa83284f8210
2887,2960,0.0007105237448153971,1130,1454,2608,0.5036369934187738,0.47530864197530864,2,2.050571527537236,2.3186698995497057,0.23365615640073112,4,2,2,0.3333333333333333,2,1,0.5,1.0,27.0,False,1000,9,50,0.4,20,42,2887,4.528691249986878,4.291304000013042,0.1978789169806987,0.037774791999254376,578.296875,565.078125,13.21875,samples/n1000_r9_s50.csv,40e460d5ef866517f0815905ef6ed2f072529577450cfb3eacad054bcad0cf11
2945,2944,0.0006791171477079797,1143,1474,2570,0.500509337860781,0.4767397154940408,2,1.999320882852292,2.2743633276740236,0.21643076042767856,4,2,2,0.3333333333333333,2,1,0.5,1.0,25.5,False,1000,10,51,0.4,20,42,2945,4.674282000021776,4.464811665995512,0.16938987499452196,0.03834633299265988,584.25,576.5625,7.6875,samples/n1000_r10_s51.csv,264b5ecb3f220c1148a6835c78f4736d67f0aad759ed5d9bc1dba2cf6a2ad36a
10249,13247,0.0002522475298707766,3775,5692,12353,0.5553712557322665,0.34011616342443407,3,2.5850326861157185,3.355059030149283,0.21624480485597494,31,35,1,0.07526881720430108,31,35,1.0,2.2580645161290325,77.2258064516129,False,5000,1,42,0.4,20,42,10249,16.9610838330118,15.783998416998656,0.8714717919938266,0.29883183300262317,590.125,583.546875,6.578125,samples/n5000_r1_s42.csv,de282b2618be149ba65ffcfac9b819466a7ac887acf1ed2ce850258b0505495c
10241,13485,0.00025718084781759594,3735,5651,12506,0.5518015818767699,0.36299109428261045,3,2.6335318816521824,3.402011522312274,0.22743906918412177,30,34,1,0.07816091954022988,30,34,1.0,2.2666666666666666,75.46666666666667,False,5000,2,43,0.4,20,42,10241,18.067235708003864,16.879191832995275,0.8648699170153122,0.31336170897702686,572.34375,557.109375,15.234375,samples/n5000_r2_s43.csv,9af3b8ca667e511d92b0d16df710a44d6db9f7b9cafb2c33eacd8308ad823f2d
10305,13331,0.00025109547014806177,3748,5807,12486,0.5635128578360019,0.2853159970781593,3,2.5872877244056283,3.3133430373605046,0.2146962850785225,26,27,1,0.08307692307692308,26,27,1.0,2.076923076923077,71.15384615384616,False,5000,3,44,0.4,20,42,10305,16.47799208300421,15.299694291985361,0.8603384580055717,0.31098083301912993,569.4375,563.734375,5.703125,samples/n5000_r3_s44.csv,f6afaef0e6eaf1fd3b3c41fbee61d7b3c2c0438473c6db1b3e1a5872250e94ac
10176,13284,0.00025659450187752073,3700,5772,12488,0.5672169811320755,0.30237031825911964,3,2.6108490566037736,3.398191823899371,0.21760688878867496,31,34,1,0.07311827956989247,31,34,1.0,2.193548387096774,74.25806451612904,False,5000,4,45,0.4,20,42,10176,15.26596658298513,14.100404416007223,0.858670790999895,0.3000012910051737,597.046875,577.609375,19.4375,samples/n5000_r4_s45.csv,b393cdd35d75506360863284fe0af96cfbc38c4c2148de2a40860a2b70bfe249
10323,13336,0.00025031438048420254,3885,5661,12471,0.5483870967741935,0.2763743518640942,3,2.5837450353579388,3.3517388356098032,0.21898750621197993,28,30,1,0.07936507936507936,28,30,1.0,2.142857142857143,75.57142857142857,False,5000,5,46,0.4,20,42,10323,14.7775270419952,13.615602709003724,0.8534225419862196,0.3015448339865543,601.203125,549.078125,52.125,samples/n5000_r5_s46.csv,ab32a04755f99ee25f88f462938c782c62f5da5194daac81d150d53669f8ebbd
10340,13619,0.0002547863407282298,3697,5866,12740,0.5673114119922631,0.3222107606515462,3,2.634235976789168,3.3678916827852996,0.22741571589563928,29,31,1,0.07635467980295567,29,31,1.0,2.1379310344827585,73.44827586206897,False,5000,6,47,0.4,20,42,10340,14.822782707982697,13.627922582993051,0.8550578749855049,0.3335056659998372,618.4375,589.515625,28.921875,samples/n5000_r6_s47.csv,50419a2c21cb25c42591df75fd954fbd03e9a60762eedd8c1cfc3e483f935cd7
