language,documents,share
en,49622,0.9372013522956919
es,1112,0.02100213420968138
de,565,0.010671048406897464
pt,504,0.00951895291517933
too_short,256,0.004835023702948232
fr,172,0.0032485315504183427
tr,125,0.0023608514174551913
it,81,0.0015298317185109638
ru,77,0.0014542844731523976
nl,48,0.0009065669443027933
hr,48,0.0009065669443027933
ro,45,0.0008499065102838688
ca,37,0.0006988120195667365
sl,32,0.000604377962868529
bg,27,0.0005099439061703213
id,25,0.0004721702834910382
da,24,0.00045328347215139666
af,23,0.0004343966608117552
lt,17,0.00032107579277390597
vi,15,0.00028330217009462294
tl,15,0.00028330217009462294
cs,13,0.00024552854741533985
pl,13,0.00024552854741533985
no,10,0.00018886811339641527
uk,7,0.0001322076793774907
sv,7,0.0001322076793774907
hu,6,0.00011332086803784917
sk,6,0.00011332086803784917
cy,4,7.554724535856612e-05
so,4,7.554724535856612e-05
sw,2,3.777362267928306e-05
fi,2,3.777362267928306e-05
et,2,3.777362267928306e-05
lv,1,1.888681133964153e-05
