source,documents,share
conference paper,5139,0.09705932347441781
Book chapter,3365,0.06355412015789375
"ASEE Annual Conference and Exposition, Conference Proceedings",1943,0.03669707443292349
Journal of Physics: Conference Series,1785,0.03371295824126013
Book,1154,0.021795380285946325
ZDM - International Journal on Mathematics Education,810,0.015298317185109638
AIP Conference Proceedings,751,0.014183995316070787
"Proceedings - Frontiers in Education Conference, FIE",610,0.011520954917181333
Lecture Notes in Computer Science,559,0.010557727538859614
Educational Studies in Mathematics,551,0.010406633048142482
International Journal of Mathematical Education in Science and Technology,536,0.01012333087804786
Bolema - Mathematics Education Bulletin,509,0.009613386971877538
Education Sciences,471,0.00889568814097116
"Eurasia Journal of Mathematics, Science and Technology Education",440,0.008310196989442272
International Journal of Science and Mathematics Education,413,0.007800253083271951
Journal of Mathematics Teacher Education,381,0.0071958751204034225
ACM International Conference Proceeding Series,371,0.007007007007007007
Mathematics Education Research Journal,309,0.005836024703949233
Communications in Computer and Information Science,296,0.005590496156533892
"IEEE Global Engineering Education Conference, EDUCON",292,0.005514948911175327
CEUR Workshop Proceedings,288,0.00543940166581676
Frontiers in Education,287,0.005420514854477119
School Science and Mathematics,266,0.005023891816344646
CBE Life Sciences Education,262,0.004948344570986081
Sustainability (Switzerland),228,0.004306192985438269
Journal of Mathematical Behavior,225,0.004249532551419344
Proceedings of the International Group for the Psychology of Mathematics Education,223,0.004211758928740061
Frontiers in Psychology,212,0.004004004004004004
Advances in Intelligent Systems and Computing,205,0.0038717963246265134
Journal for Research in Mathematics Education,202,0.003815135890607589
PRIMUS,200,0.0037773622679283057
Lecture Notes in Networks and Systems,198,0.0037395886452490225
"Canadian Journal of Science, Mathematics and Technology Education",190,0.0035884941545318906
Science,189,0.0035696073431922487
PLOS ONE,188,0.0035507205318526074
Journal on Mathematics Education,178,0.0033618524184561922
Acta Scientiae,175,0.0033051919844372677
"Proceedings of the International Astronautical Congress, IAC",171,0.0032296447390787013
Mathematics,167,0.0031540974937201353
New ICMI Study Series,166,0.0031352106823804935
