year,documents,share
2000,306,0.005779364269930308
2001,364,0.006874799327629516
2002,403,0.007611384969875536
2003,559,0.010557727538859614
2004,520,0.009821141896613594
2005,713,0.01346629648516441
2006,753,0.014221768938750072
2007,900,0.016998130205677375
2008,1025,0.019358981623132567
2009,1188,0.022437531871494134
2010,1461,0.02759363136721627
2011,1527,0.028840160915632615
2012,1623,0.0306532948042382
2013,1949,0.03681039530096134
2014,1939,0.03662152718756492
2015,2159,0.04077662568228606
2016,2245,0.04240089145749523
2017,2720,0.05137212684382496
2018,2960,0.055904961565338925
2019,3699,0.06986231514533402
2020,4135,0.07809696488941772
2021,3911,0.07386631914933801
2022,3654,0.06901240863505015
2023,3895,0.07356413016790375
2024,4951,0.0935086029425652
2025,3370,0.06364855421459195
2026,18,0.0003399626041135475
