source,target,weight,sim_count,sim_mean
academic achievement,academic performance,20,20,0.84488844871521
academic achievement,higher education,21,21,0.7347135543823242
academic achievement,mathematics,46,46,0.42243650555610657
academic achievement,mathematics education,241,241,0.500244140625
academic achievement,primary education,21,21,0.552008330821991
academic achievement,school performance,21,21,0.6229652762413025
academic achievement,stem education,28,28,0.5096644163131714
academic achievement,student performance,22,22,0.723707914352417
academic performance,educational data mining,20,20,0.40485185384750366
academic performance,primary education,37,37,0.48940736055374146
academic performance,student performance,20,20,0.8647408485412598
active learning,stem education,83,83,0.4527601897716522
active learning,student engagement,21,21,0.42876189947128296
adaptive learning,artificial intelligence,22,22,0.6047826409339905
algorithmic thinking,computational thinking,25,25,0.7518166303634644
artificial intelligence,computational thinking,23,23,0.5243421792984009
career choice,stem education,23,23,0.43085038661956787
career development,stem education,52,52,0.6105931401252747
community college,stem education,36,36,0.43363577127456665
computer science,computational thinking,41,41,0.5428556799888611
computer science,programming,24,24,0.5802943706512451
computer science,software engineering,26,26,0.6027165651321411
critical thinking,creative thinking,22,22,0.5542824268341064
critical thinking,higher education,34,34,0.40586382150650024
curricula,computer science,22,22,0.4642546772956848
curricula,stem education,35,35,0.481198787689209
curriculum,pedagogy,23,23,0.8605623841285706
curriculum design,stem education,43,43,0.540308952331543
curriculum development,engineering education,47,47,0.5726177096366882
curriculum development,science education,20,20,0.6188386678695679
curriculum development,stem education,51,51,0.6548197269439697
data mining,machine learning,32,32,0.4301387667655945
deep learning,artificial intelligence,26,26,0.48350903391838074
deep learning,machine learning,41,41,0.6790673136711121
distance education,online learning,21,21,0.4736751914024353
diversity,stem,23,23,0.40339523553848267
early childhood education,professional development,20,20,0.5144696235656738
early childhood education,stem education,25,25,0.5778104066848755
education,achievement,31,31,0.5739368796348572
education,assessment,38,38,0.5495272278785706
education,children,42,42,0.5454651117324829
education,cognition,25,25,0.4896170496940613
education,creativity,25,25,0.4129289388656616
education,curricula,30,30,0.7225056290626526
education,curriculum,136,136,0.8557944297790527
education,development,34,34,0.6217000484466553
education,diversity,32,32,0.4139527678489685
education,e-learning,24,24,0.5546367168426514
education,engineering,233,233,0.5511412620544434
education,gamification,25,25,0.410942405462265
education,history,53,53,0.45469218492507935
education,informatics,32,32,0.5032801628112793
education,innovation,36,36,0.4358384609222412
education,interdisciplinary,28,28,0.549777626991272
education,language,20,20,0.511745274066925
education,learning,111,111,0.7885521650314331
education,literacy,41,41,0.6139203906059265
education,motivation,37,37,0.44132113456726074
education,numeracy,27,27,0.540336549282074
education,pedagogy,40,40,0.8883520364761353
education,philosophy,48,48,0.4611763060092926
education,physics,70,70,0.4253082275390625
education,programming,56,56,0.4948155879974365
education,research,105,105,0.6125916838645935
education,science,191,191,0.49555861918714034
education,statistics,50,50,0.40904700756073
education,stem,182,182,0.4686979651451111
education,stem education,30,30,0.7177361845970154
education,students,141,141,0.7348861694335938
education,teacher,23,23,0.774858832359314
education,teachers,63,63,0.7611624002456665
education,teaching,89,89,0.8030154705047607
education,technology,137,137,0.4728536599308905
education,training,20,20,0.6341047286987305
education,university,53,53,0.7272149324417114
educational technology,artificial intelligence,26,26,0.4829498529434204
educational technology,stem education,42,42,0.6168361902236938
elementary education,preservice teachers,25,25,0.641859233379364
elementary education,stem education,26,26,0.6470200419425964
elementary education,teacher education,28,28,0.8108731508255005
elementary school,stem education,20,20,0.5383535623550415
elementary school,teacher education,20,20,0.7160806059837341
engineering,calculus,21,21,0.4069293141365051
engineering,curriculum,27,27,0.43950700759887695
engineering,physics,23,23,0.6229492425918579
engineering,robotics,22,22,0.5267919301986694
engineering,science,80,80,0.6420218959450722
engineering,stem education,36,36,0.45152783393859863
engineering,students,32,32,0.46847838163375854
engineering,technology,55,55,0.7190164360133084
engineering careers,stem education,23,23,0.48905742168426514
engineering education,academic performance,41,41,0.46160367131233215
engineering education,civil engineering,24,24,0.6407483816146851
engineering education,computer programming,27,27,0.4003017246723175
engineering education,computer science,43,43,0.4309774339199066
engineering education,curricula,67,67,0.46705472469329834
engineering education,curriculum design,30,30,0.5629185438156128
engineering education,electrical engineering,33,33,0.6353399753570557
engineering education,engineering design,40,40,0.689146101474762
engineering education,engineering design process,22,22,0.6056362390518188
engineering education,engineering mathematics,33,33,0.6139516830444336
engineering education,engineering students,42,42,0.8686865568161011
engineering education,experiential learning,29,29,0.43240511417388916
engineering education,higher education,56,56,0.6297634840011597
engineering education,inquiry-based learning,20,20,0.4050138294696808
engineering education,mechanical engineering,42,42,0.6293046474456787
engineering education,online learning,25,25,0.41447913646698
engineering education,professional development,40,40,0.5357871651649475
engineering education,project based learning,35,35,0.44120025634765625
engineering education,project-based learning,53,53,0.41072189807891846
engineering education,science education,126,126,0.6954522132873535
engineering education,science technology engineering mathematics,30,30,0.5160093903541565
engineering education,stem careers,28,28,0.5119277238845825
engineering education,stem disciplines,23,23,0.5316081047058105
engineering education,stem education,633,633,0.6089835166931152
engineering education,stem learning,24,24,0.4956164062023163
engineering education,student engagement,23,23,0.4701719284057617
engineering education,student learning,44,44,0.5565562844276428
engineering education,student motivation,30,30,0.4747772216796875
engineering education,student perceptions,20,20,0.47720932960510254
engineering education,student performance,28,28,0.4343101382255554
engineering education,student success,26,26,0.4622231721878052
engineering education,students,27,27,0.5212090611457825
engineering education,teacher professional development,26,26,0.5036148428916931
engineering education,teacher training,28,28,0.49739158153533936
engineering education,technology education,28,28,0.7222861051559448
engineering education,undergraduate students,70,70,0.5468056780951364
engineering education,women in engineering,31,31,0.6101868152618408
engineering students,stem education,25,25,0.5149044394493103
engineering technology,stem education,22,22,0.4019260108470917
equity,inclusion,26,26,0.4141595959663391
experiential learning,stem education,52,52,0.446108341217041
faculty development,stem education,29,29,0.47825178503990173
gender,stem,47,47,0.5460404753684998
geometry,augmented reality,24,24,0.4028013348579407
graduate students,stem education,42,42,0.5603475570678711
high school,stem education,33,33,0.493896484375
high school students,stem education,114,114,0.4028811752796173
higher education,academic performance,34,34,0.6571417450904846
higher education,online learning,33,33,0.47164860367774963
higher education,pedagogy,21,21,0.7161285281181335
higher education,stem education,244,244,0.6792309284210205
higher education,student engagement,29,29,0.6186877489089966
instructional design,stem education,24,24,0.49023646116256714
interdisciplinary learning,stem education,48,48,0.431352436542511
learning,technology,20,20,0.43662503361701965
learning outcomes,stem education,41,41,0.5146375298500061
machine learning,artificial intelligence,101,101,0.6303005218505859
mathematical problem solving,mathematics education,72,72,0.5000835657119751
mathematics,achievement,44,44,0.4086599349975586
mathematics,algebra,31,31,0.7455497980117798
mathematics,artificial intelligence,23,23,0.44651445746421814
mathematics,calculus,51,51,0.7724654674530029
mathematics,cognition,25,25,0.46880847215652466
mathematics,curriculum,102,102,0.42720162868499756
mathematics,education,1061,1061,0.43405961984738667
mathematics,engineering,176,176,0.44973593984137883
mathematics,geometry,79,79,0.6380597352981567
mathematics,language,34,34,0.41303569078445435
mathematics,learning,88,88,0.4274612367153168
mathematics,literacy,30,30,0.40080755949020386
mathematics,math education,20,20,0.8198292851448059
mathematics,mathematical education,21,21,0.8343245387077332
mathematics,mathematics education,218,218,0.8532738089561462
mathematics,numeracy,34,34,0.5083661675453186
mathematics,philosophy,38,38,0.43701228499412537
mathematics,physics,107,107,0.5527163743972778
mathematics,problem solving,43,43,0.4232495427131653
mathematics,programming,23,23,0.476677805185318
mathematics,research,63,63,0.4495055675506592
mathematics,science,240,240,0.5151055452724298
mathematics,science education,32,32,0.4053967297077179
mathematics,statistics,42,42,0.4676714539527893
mathematics,students,94,94,0.4769337773323059
mathematics,teacher,25,25,0.4584616720676422
mathematics,teachers,45,45,0.404004842042923
mathematics,teaching,81,81,0.4411783814430237
mathematics,technology,86,86,0.40895846278168435
mathematics,university,38,38,0.4331556558609009
mathematics education,abstract algebra,20,20,0.5390355587005615
mathematics education,academic performance,230,230,0.4508103132247925
mathematics education,academic success,37,37,0.48057830333709717
mathematics education,adult education,23,23,0.4408714175224304
mathematics education,algebra,162,162,0.6375569105148315
mathematics education,algebraic thinking,43,43,0.5804814696311951
mathematics education,artificial intelligence,208,208,0.41282331943511963
mathematics education,basic education,30,30,0.6030749082565308
mathematics education,bilingual education,30,30,0.483999103307724
mathematics education,blended learning,115,115,0.4231085181236267
mathematics education,calculus,182,182,0.6665990352630615
mathematics education,classroom assessment,20,20,0.4961494505405426
mathematics education,classroom discourse,33,33,0.4157852530479431
mathematics education,classroom environment,20,20,0.4790811240673065
mathematics education,classroom management,29,29,0.48951685428619385
mathematics education,classroom practice,39,39,0.5154061317443848
mathematics education,classroom practices,31,31,0.5188634395599365
mathematics education,classroom teaching,33,33,0.5943512916564941
mathematics education,cognition,42,42,0.42001083493232727
mathematics education,cognitive science,32,32,0.45013168454170227
mathematics education,cognitive skills,38,38,0.4230496287345886
mathematics education,college students,34,34,0.4372505247592926
mathematics education,computational thinking,209,209,0.4029476046562195
mathematics education,computer aided instruction,22,22,0.43232420086860657
mathematics education,computer algebra,20,20,0.5830693244934082
mathematics education,computer algebra system,23,23,0.5609976649284363
mathematics education,computer algebra systems,31,31,0.5617246627807617
mathematics education,computer science education,28,28,0.4547920525074005
mathematics education,computer-assisted instruction,25,25,0.42761069536209106
mathematics education,conceptual knowledge,42,42,0.4334578514099121
mathematics education,conceptual understanding,99,99,0.40175384283065796
mathematics education,critical mathematics,25,25,0.7940652370452881
mathematics education,critical mathematics education,27,27,0.9392168521881104
mathematics education,critical pedagogy,24,24,0.46356481313705444
mathematics education,curricula,67,67,0.5990409255027771
mathematics education,curriculum,185,185,0.613248348236084
mathematics education,curriculum change,21,21,0.4346162676811218
mathematics education,curriculum design,121,121,0.5525831580162048
mathematics education,curriculum development,137,137,0.5450570583343506
mathematics education,curriculum implementation,26,26,0.5275812149047852
mathematics education,curriculum materials,22,22,0.5771224498748779
mathematics education,curriculum reform,123,123,0.4666440784931183
mathematics education,curriculum standards,21,21,0.510699450969696
mathematics education,didactics,22,22,0.4049502909183502
mathematics education,differential calculus,32,32,0.5099862813949585
mathematics education,discrete mathematics,43,43,0.6111661195755005
mathematics education,early childhood education,94,94,0.4739297032356262
mathematics education,education,186,186,0.6101576685905457
mathematics education,education policy,37,37,0.40623167157173157
mathematics education,education reform,31,31,0.4106767773628235
mathematics education,educational context,33,33,0.5402172803878784
mathematics education,educational games,22,22,0.45628371834754944
mathematics education,educational innovation,21,21,0.491300106048584
mathematics education,educational outcomes,22,22,0.4750024676322937
mathematics education,educational process,21,21,0.5457972884178162
mathematics education,educational reform,41,41,0.41133078932762146
mathematics education,educational research,51,51,0.5526203513145447
