keyword,community,degree_backbone,weighted_degree_backbone
mathematics education,0,313,23701.0
teacher education,0,27,2833.0
teacher training,0,11,1026.0
preservice teachers,0,6,530.0
pedagogy,0,7,481.0
academic performance,0,8,428.0
academic achievement,0,8,420.0
primary education,0,6,417.0
teacher preparation,0,5,379.0
geometry,0,3,342.0
teacher knowledge,0,4,340.0
teaching methods,0,2,322.0
secondary education,0,4,314.0
student achievement,0,2,287.0
prospective teachers,0,2,285.0
mathematical knowledge,0,1,284.0
student performance,0,4,277.0
educational technology,0,4,270.0
elementary school,0,3,261.0
mathematics teaching,0,2,260.0
mathematical thinking,0,2,254.0
elementary education,0,4,242.0
pre-service teachers,0,4,239.0
lesson study,0,3,232.0
primary school,0,1,205.0
teacher learning,0,3,204.0
algebra,0,2,193.0
mathematics teachers,0,2,191.0
mathematical modelling,0,1,186.0
mathematics teacher,0,2,180.0
mathematical modeling,0,1,175.0
special education,0,2,173.0
pedagogical content knowledge,0,4,172.0
learning outcomes,0,2,164.0
teacher educators,0,2,161.0
mathematical concepts,0,1,158.0
mathematics learning,0,1,152.0
mathematical reasoning,0,1,149.0
teacher beliefs,0,1,143.0
teaching practices,0,2,141.0
realistic mathematics education,0,1,141.0
blended learning,0,2,135.0
university students,0,2,133.0
mathematics achievement,0,1,131.0
high school,0,2,129.0
secondary school,0,1,125.0
mathematical literacy,0,1,124.0
curriculum reform,0,1,123.0
pedagogical knowledge,0,2,110.0
instructional design,0,2,108.0
secondary schools,0,2,100.0
history of mathematics,0,1,100.0
inclusive education,0,1,100.0
teaching practice,0,1,100.0
conceptual understanding,0,1,99.0
flipped classroom,0,1,92.0
student teachers,0,2,87.0
linear algebra,0,1,87.0
statistics education,0,2,85.0
teacher noticing,0,1,85.0
elementary teachers,0,2,80.0
student attitudes,0,2,80.0
mathematical learning,0,1,78.0
learning process,0,1,73.0
mathematical problem solving,0,1,72.0
teaching and learning,0,1,72.0
mathematics anxiety,0,1,70.0
teaching strategies,0,1,67.0
instructional practices,0,1,63.0
mathematical understanding,0,1,63.0
mathematics education research,0,1,61.0
primary schools,0,1,61.0
gifted students,0,1,60.0
math anxiety,0,1,60.0
mathematical skills,0,1,60.0
textbooks,0,1,60.0
elementary schools,0,1,59.0
elementary students,0,1,59.0
mathematical creativity,0,1,59.0
mathematics curriculum,0,1,59.0
mathematical competence,0,1,57.0
mathematical techniques,0,1,57.0
primary school teachers,0,1,57.0
mathematical problems,0,1,56.0
teacher identity,0,1,56.0
primary school students,0,1,54.0
primary teachers,0,1,54.0
teacher candidates,0,1,53.0
school mathematics,0,1,52.0
secondary school students,0,1,52.0
educational research,0,1,51.0
teaching learning,0,1,51.0
school performance,0,2,48.0
student outcomes,0,1,47.0
teacher competence,0,1,46.0
interactive learning,0,1,45.0
mathematical proof,0,1,45.0
teaching quality,0,1,45.0
instructional quality,0,1,44.0
online teaching,0,1,44.0
algebraic thinking,0,1,43.0
discrete mathematics,0,1,43.0
mathematical communication,0,1,43.0
secondary mathematics,0,1,43.0
educational reform,0,1,41.0
teacher practices,0,1,41.0
urban education,0,1,41.0
elementary school students,0,1,40.0
learning environment,0,1,40.0
pedagogical practices,0,1,40.0
classroom practice,0,1,39.0
intelligent tutoring systems,0,1,39.0
learning achievement,0,1,39.0
mathematical ability,0,1,39.0
teacher collaboration,0,1,39.0
cognitive skills,0,1,38.0
mathematical competencies,0,1,38.0
mathematical practice,0,1,38.0
vocational education,0,1,38.0
academic success,0,1,37.0
education policy,0,1,37.0
elementary mathematics,0,1,37.0
intelligent tutoring system,0,1,37.0
mathematical achievement,0,1,37.0
mathematics performance,0,1,37.0
teacher attitudes,0,1,37.0
teacher quality,0,1,37.0
mathematics instruction,0,1,36.0
learning strategies,0,1,35.0
mathematicians,0,1,35.0
teacher perceptions,0,1,35.0
tertiary education,0,1,35.0
college students,0,1,34.0
student thinking,0,1,34.0
classroom discourse,0,1,33.0
classroom teaching,0,1,33.0
educational context,0,1,33.0
kindergarten,0,1,33.0
learning difficulties,0,1,33.0
learning disabilities,0,1,33.0
mathematical models,0,1,33.0
mathematical practices,0,1,33.0
statistical literacy,0,1,33.0
teaching materials,0,1,33.0
cognitive science,0,1,32.0
differential calculus,0,1,32.0
rational numbers,0,1,32.0
student participation,0,1,32.0
classroom practices,0,1,31.0
computer algebra systems,0,1,31.0
education reform,0,1,31.0
learning environments,0,1,31.0
mathematical discourse,0,1,31.0
mathematical proficiency,0,1,31.0
online education,0,1,31.0
teacher support,0,1,31.0
textbook analysis,0,1,31.0
basic education,0,1,30.0
bilingual education,0,1,30.0
elementary school teachers,0,1,30.0
integral calculus,0,1,30.0
learning styles,0,1,30.0
novice teachers,0,1,30.0
philosophy of mathematics,0,1,30.0
preservice teacher education,0,1,30.0
teacher practice,0,1,30.0
teacher role,0,1,30.0
classroom management,0,1,29.0
learning mathematics,0,1,29.0
mathematics classroom,0,1,29.0
rural education,0,1,29.0
situated learning,0,1,29.0
student understanding,0,1,29.0
computer science education,0,1,28.0
educational software,0,1,28.0
female students,0,1,28.0
geometry education,0,1,28.0
mathematical development,0,1,28.0
mathematical performance,0,1,28.0
critical mathematics education,0,1,27.0
english language learners,0,1,27.0
mathematical tasks,0,1,27.0
mathematics teacher education,0,1,27.0
quantitative literacy,0,1,27.0
student learning outcomes,0,1,27.0
undergraduate mathematics,0,1,27.0
university mathematics,0,1,27.0
curriculum implementation,0,1,26.0
effective teaching,0,1,26.0
financial literacy,0,1,26.0
flipped learning,0,1,26.0
geometry learning,0,1,26.0
lesson planning,0,1,26.0
math skills,0,1,26.0
mathematical connections,0,1,26.0
mathematics research,0,1,26.0
mathematization,0,1,26.0
multiplication,0,1,26.0
secondary teachers,0,1,26.0
technology-enhanced learning,0,1,26.0
computer-assisted instruction,0,1,25.0
critical mathematics,0,1,25.0
mathematical abilities,0,1,25.0
mathematical content,0,1,25.0
mathematical objects,0,1,25.0
teacher educator,0,1,25.0
teacher effectiveness,0,1,25.0
understanding,0,1,25.0
critical pedagogy,0,1,24.0
learning models,0,1,24.0
learning style,0,1,24.0
math achievement,0,1,24.0
mathematical cognition,0,1,24.0
mathematical problem-solving,0,1,24.0
secondary students,0,1,24.0
university level,0,1,24.0
adult education,0,1,23.0
computer algebra system,0,1,23.0
gifted education,0,1,23.0
mathematical activity,0,1,23.0
mathematics classrooms,0,1,23.0
physical education,0,1,23.0
reading comprehension,0,1,23.0
teacher reflection,0,1,23.0
technology enhanced learning,0,1,23.0
computer aided instruction,0,1,22.0
curriculum materials,0,1,22.0
didactics,0,1,22.0
educational games,0,1,22.0
educational outcomes,0,1,22.0
equity in education,0,1,22.0
future teachers,0,1,22.0
numeracy skills,0,1,22.0
preschool teachers,0,1,22.0
quality education,0,1,22.0
teachers beliefs,0,1,22.0
teaching method,0,1,22.0
undergraduate,0,1,22.0
university education,0,1,22.0
curriculum change,0,1,21.0
curriculum standards,0,1,21.0
educational innovation,0,1,21.0
educational process,0,1,21.0
general education,0,1,21.0
instructional strategies,0,1,21.0
mathematics attitudes,0,1,21.0
mathematics reform,0,1,21.0
numerical cognition,0,1,21.0
pedagogical strategies,0,1,21.0
realistic mathematics,0,1,21.0
student perception,0,1,21.0
teacher efficacy,0,1,21.0
teacher self-efficacy,0,1,21.0
technical universities,0,1,21.0
abstract algebra,0,1,20.0
classroom assessment,0,1,20.0
classroom environment,0,1,20.0
computer algebra,0,1,20.0
educational data mining,0,1,20.0
geometry teaching,0,1,20.0
instructional practice,0,1,20.0
learning theory,0,1,20.0
mathematical argumentation,0,1,20.0
mathematical beliefs,0,1,20.0
mathematical identity,0,1,20.0
mathematical sciences,0,1,20.0
middle school teachers,0,1,20.0
numerical methods,0,1,20.0
pedagogical approach,0,1,20.0
primary students,0,1,20.0
student assessment,0,1,20.0
teacher perspectives,0,1,20.0
teaching approaches,0,1,20.0
urban schools,0,1,20.0
education,1,39,3605.0
mathematics,1,31,3040.0
engineering,1,10,705.0
science,1,4,579.0
curriculum,1,5,473.0
students,1,7,470.0
learning,1,6,387.0
technology,1,5,366.0
teaching,1,4,314.0
calculus,1,3,254.0
stem,1,3,252.0
numeracy,1,5,214.0
physics,1,3,200.0
teachers,1,4,197.0
research,1,2,168.0
literacy,1,4,154.0
statistics,1,3,122.0
philosophy,1,3,118.0
university,1,3,111.0
cognition,1,3,92.0
achievement,1,2,75.0
motivation,1,2,64.0
mathematical education,1,2,58.0
diversity,1,2,55.0
language,1,2,54.0
history,1,1,53.0
teacher,1,2,48.0
gender,1,1,47.0
children,1,1,42.0
assessment,1,1,38.0
innovation,1,1,36.0
development,1,1,34.0
informatics,1,1,32.0
probability,1,1,30.0
interdisciplinary,1,1,28.0
self-efficacy,1,1,27.0
creativity,1,1,25.0
gamification,1,1,25.0
e-learning,1,1,24.0
health literacy,1,1,20.0
math education,1,1,20.0
training,1,1,20.0
stem education,2,74,4512.0
engineering education,2,39,2327.0
science education,2,22,1795.0
higher education,2,11,912.0
professional development,2,11,609.0
student learning,2,5,350.0
student engagement,2,5,308.0
teacher development,2,5,307.0
undergraduate students,2,3,302.0
teacher professional development,2,4,278.0
curriculum development,2,4,255.0
curricula,2,5,221.0
engineering students,2,3,213.0
middle school,2,3,195.0
curriculum design,2,3,194.0
technology education,2,4,168.0
student motivation,2,3,168.0
online learning,2,5,157.0
high school students,2,2,141.0
early childhood education,2,3,139.0
student success,2,3,114.0
middle school students,2,2,107.0
physics education,2,2,105.0
active learning,2,2,104.0
experiential learning,2,2,81.0
educational robotics,2,2,80.0
stem careers,2,3,70.0
k-12 education,2,2,63.0
student perceptions,2,2,62.0
critical thinking,2,2,56.0
engineering mathematics,2,2,54.0
project-based learning,2,1,53.0
career development,2,1,52.0
early childhood,2,2,51.0
undergraduate education,2,2,50.0
undergraduate research,2,1,49.0
interdisciplinary learning,2,1,48.0
science teaching,2,2,47.0
inquiry-based learning,2,2,42.0
graduate students,2,1,42.0
mechanical engineering,2,1,42.0
engineering design,2,1,40.0
community college,2,1,36.0
mentoring,2,1,35.0
project based learning,2,1,35.0
electrical engineering,2,1,33.0
women in stem,2,1,33.0
women in engineering,2,1,31.0
science technology engineering mathematics,2,1,30.0
faculty development,2,1,29.0
steam education,2,1,29.0
interdisciplinary education,2,1,28.0
science teachers,2,1,28.0
computer programming,2,1,27.0
science learning,2,1,27.0
mobile learning,2,1,25.0
civil engineering,2,1,24.0
stem learning,2,1,24.0
career choice,2,1,23.0
engineering careers,2,1,23.0
informal learning,2,1,23.0
stem disciplines,2,1,23.0
creative thinking,2,1,22.0
engineering design process,2,1,22.0
engineering technology,2,1,22.0
research experience,2,1,22.0
career interest,2,1,21.0
distance education,2,1,21.0
outreach programs,2,1,21.0
professional growth,2,1,21.0
workforce development,2,1,21.0
space education,2,1,20.0
conceptual knowledge,3,2,77.0
procedural knowledge,3,1,35.0
artificial intelligence,4,8,461.0
computational thinking,4,8,439.0
programming,4,5,189.0
machine learning,4,3,174.0
computer science,4,5,156.0
problem solving,4,3,128.0
deep learning,4,2,67.0
robotics,4,2,48.0
data mining,4,1,32.0
personalized learning,4,1,32.0
software engineering,4,1,26.0
algorithmic thinking,4,1,25.0
problem-solving,4,1,23.0
adaptive learning,4,1,22.0
augmented reality,5,2,59.0
virtual reality,5,1,35.0
equity,6,1,26.0
inclusion,6,1,26.0
