EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-0033669846,assigned,0.0,1,5,1,0.929523095311799,8,0.9096070028986402,8,0.7244940646697514,8,0.8312142901290536,8,0.4500014140165742,8,0.4398766044569724,8,0.5075786123441949
2-s2.0-0033660524,assigned,1.0,1,5,1,0.8573445526935278,8,0.9310288081665984,8,0.6007533348151477,8,0.8829292987380705,8,0.58329103993161,8,0.45954392786164655,8,0.7515010799547218
2-s2.0-0033653172,unassigned,,0,5,1,0.7671479614998952,8,0.8635874536454807,5,0.657936581357585,8,0.6192373621996557,27,0.7069534377957339,27,0.49110255834475597,8,0.34887042984977346
2-s2.0-0033653169,unassigned,,0,5,1,0.5865349234580246,8,0.6983966471232911,5,0.6534397153124989,8,0.4714317484563996,27,0.6525324035086888,27,0.5128154965723841,39,0.36780998627650974
2-s2.0-0033652463,unassigned,,0,5,1,0.7608345833218174,8,0.7394489357005559,5,0.7011025287896265,15,0.47853743671602006,27,0.48846793180484066,27,0.30673977220178084,39,0.36996678424399027
2-s2.0-0033646769,assigned,0.0,2,5,1,0.4574791800243151,8,0.4377399853423585,11,0.2779947998688246,8,0.36873362898103135,27,0.2766907281369966,11,0.18966946789978337,8,0.19128120157853126
2-s2.0-0034623828,assigned,1.0,3,5,4,0.712611554281865,4,0.7010577282399892,4,0.9151513968346356,4,0.9136363629716399,26,0.5054961219304546,26,0.3761472260776304,43,0.41260649328682913
2-s2.0-8644291002,unassigned,,0,5,0,0.8847443414594809,0,0.7804437265402486,9,0.7810614082307112,0,0.34655828250774967,0,0.5198737439663959,37,0.30882050397743405,35,0.34511139059357915
2-s2.0-8644285431,assigned,2.0,3,5,0,0.36319850936076226,0,0.3360134079222813,9,0.37541497763173726,7,0.3852876638020522,3,0.4983496120348599,3,0.48175795993671916,3,0.5065559295793703
2-s2.0-8644280479,assigned,1.0,4,5,3,0.5973229652397793,3,0.6346431890879397,3,0.4143569014199252,3,0.49115512746894696,3,0.6332599656111324,3,0.5975649990491936,3,0.4528358366514676
2-s2.0-8644277146,assigned,1.0,4,5,3,0.8702682165870473,3,0.8810595380587836,3,0.8089489370340456,3,0.5476450110636912,25,0.5456883692098687,25,0.6171988106863943,42,0.47674705812449925
2-s2.0-8644274687,ambiguous,,4,5,2,0.5575809178117623,6,0.5220662706965395,6,0.4505326386139889,6,0.48350848770109983,3,0.3916128011081149,3,0.3985843850994033,3,0.34624870118492657
2-s2.0-8644274072,assigned,2.0,2,5,3,0.993801329000717,3,0.8800664784572355,3,0.8810966829769749,3,0.7995433766817198,3,0.5160125335367218,3,0.4304277345907524,42,0.4061704212028963
2-s2.0-8644271674,ambiguous,,2,5,3,0.5354424094618365,3,0.5782028343260539,9,0.44132923207512825,3,0.2884531577343919,10,0.3646880653146301,37,0.2617394322617325,35,0.23432993685758524
2-s2.0-8644265989,assigned,0.0,1,5,3,0.6150240054840066,3,0.6661108952903776,3,0.3458899972287375,3,0.30461465104677643,3,0.3680179399615967,3,0.4077592735218258,3,0.2977920211397785
2-s2.0-8644261519,assigned,2.0,2,5,0,0.7965278522368224,0,0.8124689228416587,9,0.4623715701790304,12,0.4018847564623985,12,0.5172651740894123,12,0.5378416116055396,12,0.4501876863188187
2-s2.0-8644260091,assigned,2.0,3,5,3,0.9291057819720874,3,0.8855151849269546,3,0.6244812985298093,3,0.5896686065258778,25,0.5514606466068981,25,0.46973782347443155,42,0.32913044472472797
2-s2.0-8644252721,assigned,2.0,4,5,3,0.991758234971037,3,0.829516820204135,3,0.8506090208542899,3,0.4977041477076522,25,0.4262064001467728,21,0.38582045449304403,42,0.531029763606281
2-s2.0-8644250535,ambiguous,,2,5,3,0.99515642156727,3,0.8383996759717462,3,0.8549824151448824,3,0.8050210162337497,3,0.4866485379153576,3,0.400009082524675,42,0.4832882704816394
2-s2.0-8644249814,assigned,2.0,1,5,3,0.7806097049019494,3,0.7949796036640578,3,0.6682371920455941,3,0.6133454875508039,3,0.5053028835479484,3,0.5082580485416879,3,0.4787321109925386
2-s2.0-8644246700,ambiguous,,2,5,3,0.8782802915283331,3,0.7589683529640437,3,0.4067334468124154,3,0.40384536969965623,10,0.2660409024114798,3,0.2871861533110793,42,0.25718242254107143
2-s2.0-8644243858,ambiguous,,2,5,0,0.5113359671630279,3,0.6042835250692516,9,0.4303195792925733,3,0.39429974380901933,3,0.49030551140458684,3,0.47915598539279186,3,0.42886728876545904
2-s2.0-8644241742,assigned,2.0,3,5,3,0.7881027397396833,3,0.6490970385631353,3,0.5699987705735484,3,0.6050343046750173,3,0.3876636016868476,3,0.35465550913449584,3,0.3495245980024303
2-s2.0-8644233363,assigned,2.0,2,5,3,0.5618540722443165,3,0.49371817303947596,3,0.44098571058990227,3,0.455440478637486,3,0.3951487481492162,3,0.45376251709243715,3,0.32296051433437245
2-s2.0-8644224928,ambiguous,,2,5,4,0.44343635925715813,0,0.3593979385232281,0,0.44759528406361687,19,0.44412285059313344,10,0.30966313145964386,10,0.21444324651715577,36,0.33109992223974666
2-s2.0-8644223322,assigned,1.0,3,4,3,0.9793605453643749,3,0.7354389411713149,3,0.7210572902205417,3,0.6598676088240853,25,0.2946141578227905,3,0.2550265100176888,42,0.31307240012885257
2-s2.0-8644220516,ambiguous,,2,5,3,0.7443136455975679,3,0.7040104144641367,3,0.5063647148898618,3,0.6003866996321942,3,0.5418250467210197,3,0.4940884818715304,3,0.4324709523124481
2-s2.0-8644219628,assigned,1.0,3,5,0,0.8535154367791449,0,0.7249662250280691,9,0.3655975107780967,0,0.4776825638797586,3,0.26979634924906937,9,0.31753563157000547,3,0.322476310137001
2-s2.0-85181224824,assigned,0.0,4,5,4,0.6001236980685222,4,0.5576809296079367,4,0.4322331040336246,19,0.28187004975181956,6,0.1753346381194924,6,0.19661349854314397,17,0.21097091707367283
2-s2.0-85065364308,assigned,2.0,1,5,4,0.6905524209241567,4,0.5543651785425483,4,0.3428694219996711,19,0.440891221011704,20,0.2708720205726594,36,0.4871172756405368,36,0.2295235040947453
2-s2.0-85040416124,assigned,2.0,3,5,4,0.38383363522155384,7,0.35138155201414967,11,0.4270449199730171,11,0.3924927943195743,25,0.40371461448669,19,0.3290642544421174,19,0.31804206001672447
2-s2.0-85007591202,assigned,1.0,1,5,4,0.5927836577619682,4,0.4471967856670718,4,0.6223514797370346,4,0.5157828998084184,25,0.21017256657428043,25,0.2902784604329867,25,0.4192702622330137
2-s2.0-84893628559,assigned,0.0,3,5,0,0.6595263058245648,7,0.41689104786875175,9,0.4842243640882516,0,0.4258813314043965,0,0.3224064550908445,35,0.6060289995091216,35,0.5688401790381205
2-s2.0-84893412380,assigned,2.0,3,5,0,0.6385598376312268,0,0.5429888159570372,10,0.41921976655323767,0,0.39026918005361466,3,0.2903329034048591,3,0.3057430725466822,3,0.3188646662525202
2-s2.0-84867432310,ambiguous,,2,5,4,0.6192154682466777,4,0.4454185498646375,4,0.4014032247982391,4,0.297182571600036,6,0.32573509942651757,6,0.33612255026327115,23,0.20405388423691698
2-s2.0-84861099311,assigned,0.0,3,5,0,0.6582300412110255,0,0.44990823710745526,10,0.3331278869776997,0,0.3670724887567056,9,0.23359805469311687,22,0.2524174093877396,35,0.2549007351694842
2-s2.0-79959734206,assigned,0.0,1,5,4,0.895693334677786,4,0.6423963228234714,4,0.6000922323055403,19,0.3937255960171017,20,0.2964042978172709,19,0.17260786552361085,19,0.231278628036647
2-s2.0-79953050978,assigned,0.0,1,5,4,0.5273145824504345,3,0.416375007427639,4,0.46682106143669483,4,0.3155742357190893,25,0.2004208477680962,25,0.3262098137968764,25,0.4678278276274559
2-s2.0-79951828623,assigned,0.0,3,5,1,0.4979375062391784,8,0.8213588955204972,8,0.768917394363102,8,0.6710904691828495,8,0.28429535004720835,34,0.2639667117203006,48,0.31617300062722653
2-s2.0-61149708367,unassigned,,0,5,4,0.6867063708180416,4,0.5542797068685158,4,0.40378875989163693,19,0.4108500920434275,19,0.2701977262760044,19,0.27686232104926795,19,0.3022699301426498
2-s2.0-3943084162,assigned,0.0,4,5,2,0.711846862667127,6,0.8165667951196274,6,0.5134901473589051,6,0.5608676414387116,6,0.43075454499832216,23,0.2659705007477812,49,0.4178744872857496
2-s2.0-37549002580,assigned,0.0,2,5,2,0.9733443878332682,6,0.9326358975623777,6,0.7321545489581044,6,0.4256764569838433,23,0.5464893377963556,23,0.5154677973136508,49,0.3182234462544191
2-s2.0-33749127669,assigned,1.0,3,5,0,0.47101376930958305,0,0.4821876891890875,10,0.3280508570899374,10,0.32213477276911234,9,0.4949378618138255,9,0.493409764276106,9,0.3810455050250663
2-s2.0-3242785671,assigned,0.0,3,5,3,0.6646328256704732,3,0.5465103796961125,1,0.3447580592764384,10,0.29713768212957303,10,0.30861886339484984,10,0.322437788718385,10,0.33503910994258684
2-s2.0-28944455653,assigned,1.0,2,5,4,0.7643113841201151,4,0.6249515251581993,4,0.5498979973498739,19,0.33493378372777666,20,0.4730581936957884,25,0.33479527211342386,25,0.7275890666748945
2-s2.0-23044520334,ambiguous,,2,5,4,0.3920850376302198,5,0.28030758411732065,10,0.3183439785412837,10,0.269205053346626,12,0.23855358311436065,22,0.16966401355896893,10,0.24888551785968702
2-s2.0-1842637776,assigned,2.0,1,5,0,0.859029975530138,0,0.7002634665429478,9,0.6363249510037762,0,0.4408093463256335,9,0.33921591726795797,9,0.3018038325217976,9,0.20825019018354743
2-s2.0-17044444083,assigned,2.0,3,5,3,0.6689039306557695,3,0.6579604823669888,10,0.34482262065783037,3,0.42020799572081363,3,0.29651649927756,3,0.35879953740015424,3,0.31287863020747353
2-s2.0-1642312610,assigned,0.0,1,5,0,0.947957945979919,7,0.49747473555780264,9,0.31434611591530914,11,0.3636780463640499,0,0.5426625265236654,35,0.3484540060633581,35,0.4749312399685934
2-s2.0-1542272649,assigned,1.0,3,5,0,0.44209666147442644,3,0.4396601164450313,9,0.4799423110586043,3,0.36297798705010553,0,0.3806664246140658,0,0.28411704243925306,25,0.35207927365864955
2-s2.0-0346383936,ambiguous,,2,5,4,0.4893975917212004,4,0.4403533722350049,14,0.5757492965663977,14,0.5936105831218503,14,0.5243987446288685,14,0.4667197558103508,14,0.36560568222562456
2-s2.0-0034546460,assigned,1.0,3,5,3,0.6361475769783932,3,0.551839278794475,3,0.6149337047660438,11,0.38293662746529694,25,0.45739729827246506,25,0.2387373660913185,25,0.3017931977280899
2-s2.0-0034542419,assigned,1.0,1,5,4,0.645771854297157,4,0.5016667698072412,4,0.548222112440138,4,0.38447571449173074,4,0.28443860804873355,7,0.3819840855014714,21,0.3142531577049932
2-s2.0-0034511382,unassigned,,0,5,0,0.8344925072060554,0,0.7920528577565132,9,0.6325592750027644,9,0.3563339028731671,9,0.45194103201364255,9,0.42645428792615775,9,0.3407751131714486
2-s2.0-0034480208,assigned,0.0,3,5,0,0.547491679462016,5,0.3479074738431711,11,0.32277857001120563,11,0.2940807535398457,11,0.28032669681408606,11,0.21196745027314562,29,0.1595288099598518
2-s2.0-0034474519,assigned,0.0,4,5,0,0.613825380848803,3,0.27795659265641853,13,0.30829116635523884,15,0.3370256852699677,24,0.3085674927127156,24,0.253588336774427,24,0.24443229226500932
2-s2.0-0034474311,assigned,2.0,4,5,3,0.8343931669423408,3,0.8574231233820699,3,0.8401645364608263,3,0.8000943317203814,16,0.3689915979598703,25,0.33674395881678043,16,0.3009960821483948
2-s2.0-0034474051,ambiguous,,2,5,0,0.6900864811603149,0,0.3455148265083945,12,0.29074493504098253,11,0.25344775998952224,11,0.29060115966681654,11,0.25701943076954986,9,0.19756812491045803
2-s2.0-0034473636,assigned,2.0,1,5,3,0.5436138481777951,3,0.5036926103280823,3,0.4930765884543052,3,0.4544316343504393,3,0.3330848094509648,3,0.3835510488508316,3,0.3110467989029349
2-s2.0-0034472448,ambiguous,,2,5,3,0.6295707173987336,3,0.49931018363415686,3,0.5846036955686504,3,0.5297990839109565,25,0.2837496658678868,35,0.26554316504746683,25,0.22632325723613614
2-s2.0-0034471187,assigned,2.0,1,5,0,0.7243944189771776,0,0.696438027878059,9,0.7698214646957767,0,0.5471056171993115,9,0.3747881154119495,9,0.4552350705080152,3,0.4151612603831345
2-s2.0-0034471117,assigned,2.0,3,5,3,0.7787831225364327,3,0.7975881988057393,3,0.6242059446432415,3,0.6499993314231558,3,0.6553140929858188,3,0.5549385167697931,3,0.4554090549738315
2-s2.0-0034470904,assigned,1.0,5,5,3,0.9331587376622015,3,0.8372329219857776,10,0.6974151337306965,10,0.6292016876583525,10,0.3693196141411754,10,0.3595524668895015,10,0.358620878633505
2-s2.0-0034470860,ambiguous,,2,5,3,0.5704640259367536,3,0.5321619589245268,3,0.27327682665376124,7,0.21667864845304247,23,0.21811225183131133,23,0.15346353095404133,47,0.19180040411407936
2-s2.0-0034470794,ambiguous,,4,5,3,0.6972398587427331,3,0.6243427906773718,3,0.44474882865783794,3,0.454344431647333,3,0.4282904884328842,3,0.36488285625616906,3,0.4360796384408854
2-s2.0-0034429301,unassigned,,0,5,0,0.6879405261329448,0,0.7679673977367818,9,0.7433536409981778,9,0.5214763088944137,0,0.4966940390689601,9,0.33455594906145647,0,0.321422611414453
2-s2.0-0033872249,unassigned,,0,5,0,0.5858657994793245,0,0.6895907331544029,12,0.37455203582640395,12,0.3784706669282282,9,0.3714534798344154,9,0.48581052950492587,0,0.28807413531017423
2-s2.0-0010775015,unassigned,,0,5,0,0.4978084966166004,0,0.726553222991296,0,0.3694727697271024,0,0.3286233008640796,12,0.29538383547625163,12,0.23516056131690724,32,0.2662487877354141
2-s2.0-0034634359,assigned,1.0,2,5,4,0.7319675721665353,4,0.6999816749367381,4,0.6888887439300816,19,0.6833333324139977,20,0.6777777777765918,36,0.6749999999996473,15,0.673333333332762
2-s2.0-0033782866,unassigned,,0,5,1,0.8962315985285483,8,0.968250362428879,5,0.7059579519580976,8,0.7889331745372016,27,0.612574826517037,27,0.6513800181032794,27,0.4223771011058672
2-s2.0-85167397859,assigned,0.0,3,5,2,0.5316142965045276,1,0.48342301583048064,1,0.39437408185218886,1,0.27323153693016033,28,0.25352454360465904,28,0.19989303570138572,49,0.2475191172266253
2-s2.0-33751240543,assigned,0.0,4,5,2,0.5909986052049144,6,0.4632129947833501,6,0.4035420748034602,6,0.4067250380592016,23,0.3303418534309089,34,0.1977012253166333,34,0.17278289601821617
2-s2.0-0034317510,assigned,4.0,4,5,0,0.3977669894910879,0,0.4935213937379348,9,0.47822830874050354,0,0.4559564002431826,3,0.3172991963764353,3,0.2534579600864343,3,0.45918066672364266
2-s2.0-0034718894,assigned,1.0,3,5,0,0.7298435980471558,5,0.699967914245092,12,0.6888887726849684,12,0.6833333326527954,12,0.6777777777776774,12,0.6749999999999529,41,0.6733333333332915
2-s2.0-0034718890,assigned,1.0,2,5,3,0.7314453726933395,3,0.6682115442072397,3,0.694648385287988,3,0.38979773795000666,25,0.562278697633322,38,0.6087559246754537,25,0.8013333333331554
2-s2.0-0034644641,assigned,0.0,1,5,3,0.5351138253374162,2,0.8714110099795611,7,0.5626515623059579,19,0.37374027123936454,19,0.5761904761903164,19,0.3695900690931257,19,0.5725962787367018
2-s2.0-0034644591,assigned,0.0,4,5,3,0.5080676988531589,3,0.37435644961297343,3,0.31453896861290337,14,0.37867594799763904,23,0.4965717443812563,23,0.36663632193725004,47,0.44164275577602735
2-s2.0-0034644566,assigned,1.0,2,5,0,0.7323612838727988,7,0.6999808087770215,9,0.6888888488122102,9,0.6833333328620155,0,0.6777777777775933,37,0.6749999999998959,30,0.6733333333331329
2-s2.0-0005041723,assigned,0.0,1,5,3,0.778332478858741,2,0.5070836708968449,2,0.4550213267810405,16,0.6420377341508515,22,0.38629075350481745,21,0.5100962278114436,44,0.5308316017614091
2-s2.0-79951830040,assigned,0.0,3,5,4,0.49409092345154954,4,0.43673686897316283,4,0.3767841724723596,19,0.3053897507887414,25,0.32171169993407267,25,0.37981608297029135,25,0.44621969911204434
2-s2.0-34547439522,assigned,0.0,3,5,3,0.41103476335693306,3,0.4908263346300129,3,0.4028915078730151,3,0.41712535688706437,25,0.377042122599771,25,0.4080139201525757,25,0.45216742746641325
2-s2.0-0037995948,assigned,2.0,2,5,3,0.6640700453679248,3,0.6463221823935938,3,0.544808866870817,3,0.5363052440230431,25,0.637708803225133,25,0.7078295049296386,25,0.7182822145284872
2-s2.0-0034302751,ambiguous,,2,5,4,0.7532092748887677,4,0.570398074280187,4,0.653905919022214,4,0.5908883715923136,7,0.32319597313472714,38,0.2843302164238902,25,0.42240547275768203
2-s2.0-0013238159,ambiguous,,2,5,3,0.9234646405921715,3,0.6249603136215538,3,0.6124158462029884,3,0.7328594179259867,0,0.35436260843220135,25,0.6185066648620642,25,0.7242975968138122
2-s2.0-0033824067,unassigned,,0,5,1,0.8984492200149402,8,0.6694198246397621,5,0.668999539260118,8,0.5218336859636232,27,0.45728613582184324,27,0.4034546143812161,8,0.3125208105371622
2-s2.0-85181189739,assigned,2.0,1,5,4,0.5574891254526813,4,0.3804177745546243,9,0.39988662810194847,9,0.4781493825276403,25,0.32248799742097095,9,0.2853695777611494,9,0.3284399188263297
2-s2.0-3042664045,assigned,2.0,2,5,3,0.694496791012019,3,0.5534985687409137,10,0.36786823667446233,10,0.3830706299699506,10,0.34877086339873603,25,0.3094400985464365,42,0.3144183815495433
2-s2.0-20444489467,assigned,1.0,1,5,1,0.6949485453681572,5,0.6142633348488714,10,0.5240480961054931,15,0.6243358089447862,27,0.45607096201649877,27,0.4954358314818739,27,0.458491287461946
2-s2.0-0346123728,assigned,0.0,2,5,0,0.5959328283975088,0,0.5422066903398657,9,0.461802012700994,0,0.3099063047143058,0,0.3442320554962114,35,0.25886045562428023,35,0.30208102725893954
2-s2.0-0034284969,assigned,0.0,3,5,3,0.4293772722274326,3,0.41441724549009906,3,0.44126026716824757,18,0.3585813780137227,18,0.37687870752966857,18,0.42380897549435176,18,0.44184120954640077
2-s2.0-84952651568,assigned,0.0,2,5,3,0.6174098710285042,3,0.5466710752393372,4,0.5108414438178016,4,0.35794253003611354,10,0.3277569515501963,36,0.2836732441785653,10,0.2755106818298061
2-s2.0-85164500141,unassigned,,0,5,1,0.7650740257944124,8,0.4360298360317719,8,0.3884916445205112,8,0.2451090174648716,22,0.5574677899138921,22,0.44854693863110207,16,0.22877744535938016
2-s2.0-85007838156,assigned,1.0,5,5,1,0.5522326791713508,3,0.3914411709391404,3,0.32121104364185726,1,0.23961356978097476,16,0.30468128529433647,22,0.22296476178448196,16,0.19292189033723278
2-s2.0-1542610676,assigned,1.0,2,5,3,0.5324293301170558,3,0.532977263261597,8,0.4762539059860945,8,0.4471506371672126,25,0.4695993872019054,25,0.2789315017149296,44,0.28278559693742156
2-s2.0-0042687934,assigned,0.0,2,5,2,0.7898279659119589,6,0.8280094016312894,6,0.5192858753854527,6,0.49398913044644077,19,0.5632005453939402,19,0.3872940690355576,49,0.3123608086181952
2-s2.0-0042186862,assigned,0.0,1,5,0,0.6958453926260072,0,0.448069559179915,0,0.30200546883978385,15,0.38366278371914725,15,0.32323816315046844,32,0.3631235522203245,32,0.34015133228137584
2-s2.0-0034198169,assigned,0.0,1,5,1,0.959705955574797,1,0.560062600612805,8,0.5469362230108653,8,0.34897475077256335,22,0.29791328322996746,22,0.5272426631822424,28,0.34702082584935273
