crs_community,lda_topic_k50,n_documents,proportion_within_crs_community
0,0,101,0.004113550278988311
0,1,801,0.03262330468781819
0,2,290,0.011811183969372379
0,3,110,0.004480104264244695
0,4,102,0.004154278499572354
0,5,139,0.005661222661181933
0,6,98,0.003991365617236183
0,7,410,0.0166985704394575
0,8,506,0.020608479615525598
0,9,265,0.01079297845477131
0,10,670,0.0272879077913086
0,11,254,0.010344968028346842
0,12,414,0.01686148332179367
0,13,71,0.0028917036614670307
0,14,1759,0.07164094000733108
0,15,469,0.01910153545391602
0,16,260,0.010589337351851098
0,17,222,0.009041664969657475
0,18,223,0.009082393190241518
0,19,2785,0.11342809432655887
0,20,542,0.022074695556551133
0,21,80,0.0032582576467234145
0,22,66,0.002688062558546817
0,23,874,0.03559646479045331
0,24,396,0.016128375351280904
0,25,399,0.01625056001303303
0,26,282,0.011485358204700038
0,27,135,0.005498309778845762
0,28,1239,0.050462265303628885
0,29,99,0.004032093837820226
0,30,36,0.0014662159410255367
0,31,1049,0.04272390339266077
0,32,1048,0.04268317517207673
0,33,227,0.009245306072577689
0,34,198,0.008064187675640452
0,35,899,0.03661467030505437
0,36,132,0.005376125117093634
0,37,816,0.03323422799657883
0,38,143,0.005824135543518104
0,39,291,0.011851912189956421
0,40,169,0.006883069278703214
0,41,141,0.005742679102350019
0,42,167,0.006801612837535128
0,43,711,0.02895776483525435
0,44,235,0.00957113183725003
0,45,333,0.013562497454486214
0,46,418,0.017024396204129842
0,47,663,0.0270028102472203
0,48,375,0.015273082719016007
0,49,2441,0.09941758644564819
1,0,44,0.010052547406899703
1,1,78,0.01782042494859493
1,2,38,0.008681745487777016
1,3,113,0.0258167694768106
1,4,46,0.0105094813799406
1,5,24,0.0054832076764907475
1,6,14,0.003198537811286269
1,7,135,0.030843043180260453
1,8,154,0.03518391592414896
1,9,185,0.04226639250628284
1,10,175,0.03998172264107836
1,11,12,0.0027416038382453737
1,12,92,0.0210189627598812
1,13,8,0.0018277358921635824
1,14,209,0.04774960018277359
1,15,56,0.012794151245145076
1,16,34,0.007767877541695225
1,17,11,0.002513136851724926
1,18,24,0.0054832076764907475
1,19,408,0.0932145305003427
1,20,89,0.020333561800319852
1,21,83,0.018962759881197166
1,22,14,0.003198537811286269
1,23,40,0.009138679460817912
1,24,27,0.00616860863605209
1,25,430,0.09824080420379255
1,26,22,0.005026273703449852
1,27,45,0.01028101439342015
1,28,154,0.03518391592414896
1,29,38,0.008681745487777016
1,30,20,0.004569339730408956
1,31,54,0.01233721727210418
1,32,86,0.01964816084075851
1,33,39,0.008910212474297465
1,34,6,0.0013708019191226869
1,35,187,0.04272332647932374
1,36,151,0.03449851496458762
1,37,122,0.02787297235549463
1,38,25,0.0057116746630111945
1,39,66,0.015078821110349555
1,40,37,0.008453278501256569
1,41,60,0.013708019191226868
1,42,185,0.04226639250628284
1,43,83,0.018962759881197166
1,44,222,0.05071967100753941
1,45,22,0.005026273703449852
1,46,55,0.01256568425862463
1,47,23,0.0052547406899703
1,48,85,0.019419693854238064
1,49,47,0.010737948366461046
2,0,75,0.008014533019876043
2,1,143,0.015281042957896987
2,2,172,0.01837999572558239
2,3,850,0.0908313742252618
2,4,48,0.005129301132720667
2,5,34,0.0036332549690104724
2,6,9,0.0009617439623851251
2,7,639,0.06828382132934388
2,8,8,0.0008548835221201111
2,9,164,0.017525112203462277
2,10,467,0.049903825603761484
2,11,116,0.012395811070741612
2,12,96,0.010258602265441334
2,13,1,0.00010686044026501389
2,14,213,0.02276127377644796
2,15,31,0.0033126736482154305
2,16,71,0.007587091258815987
2,17,10,0.0010686044026501388
