K,topic,npmi,top_words
5,0,0.07244009483460082,"['learning', 'students', 'based', 'mathematical', 'problem', 'teaching', 'using', 'education', 'research', 'solving']"
5,1,0.11509438108689343,"['students', 'study', 'school', 'performance', 'results', 'achievement', 'children', 'academic', 'test', 'data']"
5,2,0.0799388763951686,"['teachers', 'teaching', 'teacher', 'study', 'learning', 'education', 'knowledge', 'students', 'classroom', 'research']"
5,3,0.3401348542962259,"['stem', 'engineering', 'students', 'science', 'technology', 'education', 'program', 'science technology', 'technology engineering', 'engineering mathematics']"
5,4,0.02780851373937439,"['education', 'research', 'mathematics education', 'science', 'educational', 'mathematical', 'development', 'studies', 'social', 'article']"
10,0,0.0588084835517883,"['mathematical', 'students', 'teaching', 'computer', 'paper', 'problems', 'use', 'concepts', 'using', 'based']"
10,1,0.08823243455274721,"['students', 'study', 'self', 'results', 'performance', 'student', 'group', 'school', 'learning', 'academic']"
10,2,0.40109730499564183,"['stem', 'science', 'education', 'science technology', 'stem education', 'technology', 'technology engineering', 'engineering mathematics', 'engineering', 'gender']"
10,3,0.11383750758994952,"['engineering', 'students', 'science', 'program', 'university', 'course', 'school', 'student', 'courses', 'project']"
10,4,0.021981817750018298,"['education', 'research', 'mathematics education', 'science', 'educational', 'studies', 'article', 'mathematical', 'curriculum', 'analysis']"
10,5,0.0503027386704423,"['assessment', 'data', 'learning', 'based', 'spatial', 'model', 'student', 'ai', 'cognitive', 'knowledge']"
10,6,0.1122233422148413,"['teachers', 'teacher', 'teaching', 'study', 'knowledge', 'education', 'learning', 'classroom', 'professional', 'service']"
10,7,0.06766890355410514,"['learning', 'education', 'technology', 'teaching', 'based', 'educational', 'students', 'digital', 'design', 'use']"
10,8,0.09080639036547225,"['children', 'school', 'achievement', 'early', 'education', 'academic', 'study', 'performance', 'language', 'schools']"
10,9,0.13360239134588317,"['students', 'learning', 'problem', 'solving', 'research', 'mathematical', 'thinking', 'study', 'problem solving', 'based']"
15,0,0.04660220070813193,"['mathematical', 'education', 'mathematics education', 'research', 'theory', 'students', 'understanding', 'knowledge', 'paper', 'concepts']"
15,1,0.11576301140973137,"['students', 'study', 'self', 'results', 'school', 'group', 'achievement', 'performance', 'significant', 'efficacy']"
15,2,0.09220303406523084,"['stem', 'gender', 'women', 'science', 'study', 'social', 'education', 'research', 'students', 'career']"
15,3,0.14672821977723194,"['engineering', 'students', 'program', 'science', 'school', 'stem', 'project', 'research', 'programs', 'technology']"
15,4,0.06284331828768407,"['education', 'research', 'science', 'mathematics education', 'international', 'curriculum', 'studies', 'countries', 'national', 'review']"
15,5,0.06361490971708933,"['language', 'skills', 'cognitive', 'spatial', 'number', 'children', 'mathematical', 'test', 'assessment', 'knowledge']"
15,6,0.1521150654953493,"['teachers', 'teacher', 'teaching', 'study', 'knowledge', 'education', 'service', 'mathematics teachers', 'professional', 'pre']"
15,7,0.2883107717151863,"['stem', 'education', 'science', 'technology', 'stem education', 'science technology', 'engineering', 'technology engineering', 'skills', 'learning']"
15,8,0.10529797458198738,"['children', 'school', 'achievement', 'academic', 'early', 'performance', 'schools', 'education', 'reading', 'study']"
