EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-0033669846,assigned,0.0,1,5,0,0.9287885530276094,7,0.6313345790417078,7,0.8172061372241969,19,0.4327896156330029,7,0.36967347351520286,7,0.3178443209676215,33,0.3722350326372197
2-s2.0-0033660524,assigned,1.0,1,5,0,0.9342127735116602,7,0.921661310441548,7,0.9220813092357885,19,0.571250701711216,15,0.6396091019523049,39,0.3270804515597853,33,0.26062855357000436
2-s2.0-0033653172,unassigned,,0,5,0,0.8989041201305132,7,0.7918869195873159,7,0.7568601448677024,19,0.49231373624453845,19,0.45025741691467985,39,0.5582581918264453,39,0.3341294281254025
2-s2.0-0033653169,unassigned,,0,5,0,0.8684004976574586,7,0.8301639755858133,7,0.6969754846766093,19,0.4747528888808855,19,0.4607291766289274,39,0.5537564685357228,39,0.3893708775231508
2-s2.0-0033652463,unassigned,,0,5,0,0.6667385361714606,7,0.8712967622300414,7,0.8350972843336926,19,0.6497674904872619,19,0.3759902279534444,39,0.5851646607856114,39,0.3893452033792147
2-s2.0-0033646769,assigned,0.0,2,5,0,0.3781914713962223,7,0.4741772319358715,2,0.4560780046830982,2,0.2725097944244097,2,0.2835095792363642,39,0.2756256304561625,2,0.15036201388528234
2-s2.0-0034623828,assigned,1.0,3,5,1,0.909480206790224,1,0.8098309745020468,6,0.5191275990259714,1,0.3887031114930706,12,0.3521535097791046,1,0.34642772407854644,1,0.38147482742651556
2-s2.0-8644291002,unassigned,,0,5,1,0.6844245793754945,6,0.9865645244928934,14,0.8737254204403194,14,0.928633475893278,14,0.6878607048947508,14,0.41343386109154073,14,0.25130355184362757
2-s2.0-8644285431,assigned,2.0,3,5,1,0.7594483066210738,4,0.31032721387379997,13,0.4019439300695107,8,0.2792139600459585,29,0.406533391342236,8,0.3977508283273745,47,0.2896950491278973
2-s2.0-8644280479,assigned,1.0,4,5,1,0.5676847561048857,9,0.5905424985024639,13,0.6017983276402714,8,0.34405647371377307,29,0.33397889416896953,24,0.22776111263342944,48,0.3951390123069121
2-s2.0-8644277146,assigned,1.0,4,5,1,0.6269535319013639,9,0.8602511376054924,9,0.5095202605241647,13,0.6605402635595669,23,0.3495574089322767,25,0.2610090043685686,48,0.2852453895551217
2-s2.0-8644274687,ambiguous,,4,5,2,0.5790016279406769,2,0.517670305858534,13,0.468219150434313,13,0.3077810191645753,27,0.43750792904027513,24,0.2801892948589276,48,0.19509194925995585
2-s2.0-8644274072,assigned,2.0,2,5,1,0.5811372092510732,9,0.8474159770931592,13,0.9314086445767252,13,0.6897670606807708,24,0.5509770557490052,24,0.5371899751884439,24,0.4134642904328
2-s2.0-8644271674,ambiguous,,2,5,1,0.9010128137826227,9,0.5430409746164662,11,0.36410603045765433,14,0.3995933567561687,29,0.5001334237926384,29,0.3236744864681671,48,0.414744285539923
2-s2.0-8644265989,assigned,0.0,1,5,1,0.5901523623098376,9,0.5456870645802382,13,0.40916879880678825,13,0.25250018084549275,29,0.3293550411659388,29,0.20976316249458188,48,0.3531571642385072
2-s2.0-8644261519,assigned,2.0,2,5,1,0.5921087110250095,6,0.8703552378662407,14,0.8035097634713846,14,0.8162647043357557,14,0.6265255148284955,14,0.48587825853368355,14,0.400930987711627
2-s2.0-8644260091,assigned,2.0,3,5,1,0.8197745754516802,9,0.8590255050981866,9,0.4041296647551608,13,0.4607709735569477,23,0.4643755632745895,23,0.4463954638008525,48,0.6085495088343247
2-s2.0-8644252721,assigned,2.0,4,5,1,0.8775719204982886,9,0.8690107904373268,9,0.5898484406365129,13,0.717658898634138,23,0.607351156008713,23,0.3959514416120989,48,0.4661326941811317
2-s2.0-8644250535,ambiguous,,2,5,1,0.754013167599709,9,0.8782900904672799,13,0.899808018523995,13,0.6946003807189391,24,0.4371274361322827,24,0.4397471245890468,48,0.5499726759156011
2-s2.0-8644249814,assigned,2.0,1,5,1,0.7819719443911956,9,0.7925513982444701,13,0.8462552662675911,13,0.6364090235636868,24,0.432399290525405,23,0.36379338634563124,48,0.49803566411657063
2-s2.0-8644246700,ambiguous,,2,5,1,0.8150128346619981,9,0.7984023806658849,13,0.5104523415729011,13,0.6586515818548788,23,0.39960676877019086,23,0.32647887977666884,48,0.4934088027036175
2-s2.0-8644243858,ambiguous,,2,5,1,0.7189718891795964,9,0.44588202768054447,13,0.5759000248159925,13,0.39927478006155964,29,0.38238026990694424,29,0.26248330314084944,48,0.49708246949816065
2-s2.0-8644241742,assigned,2.0,3,5,1,0.5385698191216617,9,0.5400951721904558,13,0.6120839831676017,13,0.5567382549914098,23,0.5536466432857369,23,0.5654196734986883,48,0.5810488403474768
2-s2.0-8644233363,assigned,2.0,2,5,1,0.5114297065097488,9,0.5047751699032602,13,0.5275747080054151,13,0.25882551125906206,29,0.24001786444820675,23,0.27093631944311763,48,0.27252117350980454
2-s2.0-8644224928,ambiguous,,2,5,1,0.7153920423566607,1,0.4222641128398155,1,0.4521835609747805,11,0.43115627392658556,29,0.3999257558516411,37,0.35067757480351314,37,0.27119425358038074
2-s2.0-8644223322,assigned,1.0,3,4,1,0.5387237604372536,9,0.7360244681723164,13,0.65978916946404,13,0.5760992912206082,24,0.35511603175895334,24,0.3158732381655295,48,0.38795748311136913
2-s2.0-8644220516,ambiguous,,2,5,1,0.7740376436885588,9,0.7817429342985152,13,0.5575024930586283,13,0.46643881158295597,23,0.5110356757769303,23,0.5354040492362597,48,0.688648227245124
2-s2.0-8644219628,assigned,1.0,3,5,1,0.614604266691514,3,0.35843524952894557,11,0.34697635598828214,11,0.45790465197622615,29,0.5397951283243961,38,0.36289759160444157,38,0.3537934867842839
2-s2.0-85181224824,assigned,0.0,4,5,2,0.5448777831313655,3,0.23650472560860608,6,0.20178129998885302,9,0.23557819596387936,9,0.20944022162911316,32,0.18406043328460522,32,0.16817817245227568
2-s2.0-85065364308,assigned,2.0,1,5,1,0.994102731903629,1,0.6514002778287988,1,0.533450497779829,1,0.3526902692018753,1,0.25209092942380257,37,0.5306044068836231,37,0.5444523471389285
2-s2.0-85040416124,assigned,2.0,3,5,1,0.3779967453658291,1,0.29665862642379176,2,0.5380513258389207,2,0.34431567454008866,18,0.23958490652592715,4,0.2416509667631871,4,0.25311274626544483
