crs_community,lda_topic_k50,n_documents,proportion_within_crs_community
0,0,291,0.011851912189956421
0,1,535,0.021789598012462837
0,2,1591,0.0647985989492119
0,3,1077,0.04386429356901397
0,4,509,0.020730664277277724
0,5,215,0.008756567425569177
0,6,377,0.015354539160184092
0,7,1646,0.06703865108133426
0,8,187,0.007616177249215982
0,9,88,0.003584083411395756
0,10,236,0.009611860057834072
0,11,430,0.017513134851138354
0,12,182,0.007412536146295768
0,13,310,0.012625748381053232
0,14,483,0.019671730542092616
0,15,133,0.005416853337677677
0,16,50,0.0020364110292021343
0,17,238,0.009693316499002158
0,18,207,0.008430741660896836
0,19,240,0.009774772940170245
0,20,10,0.0004072822058404268
0,21,221,0.009000936749073433
0,22,500,0.020364110292021342
0,23,125,0.005091027573005336
0,24,172,0.0070052539404553416
0,25,224,0.00912312141082556
0,26,164,0.006679428175783
0,27,1875,0.07636541359508003
0,28,310,0.012625748381053232
0,29,392,0.015965462468944733
0,30,1656,0.06744593328717469
0,31,480,0.01954954588034049
0,32,2050,0.0834928521972875
0,33,408,0.016617113998289416
0,34,75,0.0030546165438032013
0,35,369,0.015028713395511751
0,36,328,0.013358856351566
0,37,810,0.03298985867307457
0,38,523,0.021300859365454325
0,39,377,0.015354539160184092
0,40,30,0.0012218466175212806
0,41,124,0.005050299352421293
0,42,401,0.016332016454201116
0,43,982,0.039995112613529914
0,44,129,0.005253940455341506
0,45,664,0.027043538467804343
0,46,1127,0.0459007045982161
0,47,207,0.008430741660896836
0,48,186,0.007575449028631939
0,49,609,0.024803486335681996
1,0,20,0.004569339730408956
1,1,385,0.0879597898103724
1,2,117,0.026730637422892393
1,3,103,0.023532099611606124
1,4,149,0.03404158099154672
1,5,25,0.0057116746630111945
1,6,73,0.01667809001599269
1,7,133,0.030386109207219555
1,8,54,0.01233721727210418
1,9,55,0.01256568425862463
1,10,51,0.011651816312542838
1,11,68,0.01553575508339045
1,12,5,0.001142334932602239
1,13,33,0.0075394105551747775
1,14,143,0.032670779072424036
1,15,21,0.004797806716929404
1,16,59,0.01347955220470642
1,17,38,0.008681745487777016
1,18,29,0.006625542609092986
1,19,44,0.010052547406899703
1,20,1,0.0002284669865204478
1,21,80,0.018277358921635824
1,22,40,0.009138679460817912
1,23,105,0.023989033584647018
1,24,69,0.015764222069910898
1,25,62,0.014164953164267764
1,26,123,0.02810143934201508
1,27,59,0.01347955220470642
1,28,132,0.03015764222069911
1,29,73,0.01667809001599269
1,30,32,0.00731094356865433
1,31,52,0.011880283299063285
1,32,195,0.04455106237148732
1,33,105,0.023989033584647018
1,34,3,0.0006854009595613434
1,35,75,0.017135023989033583
1,36,54,0.01233721727210418
1,37,413,0.09435686543294494
1,38,176,0.040210189627598814
1,39,79,0.018048891935115375
1,40,35,0.007996344528215673
1,41,11,0.002513136851724926
1,42,233,0.05323280785926433
1,43,36,0.00822481151473612
1,44,32,0.00731094356865433
1,45,97,0.022161297692483435
1,46,61,0.013936486177747315
1,47,33,0.0075394105551747775
1,48,203,0.046378798263650906
1,49,103,0.023532099611606124
2,0,107,0.011434067108356486
2,1,116,0.012395811070741612
2,2,177,0.01891429792690746
2,3,55,0.005877324214575764
2,4,295,0.031523829878179095
2,5,10,0.0010686044026501388
2,6,51,0.005449882453515708
2,7,94,0.010044881384911306
2,8,461,0.049262662962171404
2,9,83,0.008869416541996153
2,10,96,0.010258602265441334
2,11,52,0.005556742893780722
2,12,9,0.0009617439623851251
2,13,94,0.010044881384911306
2,14,234,0.02500534302201325
2,15,52,0.005556742893780722
2,16,542,0.05791835862363753
2,17,109,0.011647787988886514
2,18,104,0.011113485787561444
2,19,74,0.007907672579611029
2,20,31,0.0033126736482154305
2,21,128,0.013678136353921778
2,22,114,0.012182090190211584
2,23,760,0.08121393460141056
2,24,404,0.04317161786706561
2,25,286,0.030562085915793975
