K,topic,npmi,top_words
5,0,0.08585516802538837,"['students', 'school', 'study', 'children', 'academic', 'achievement', 'performance', 'education', 'results', 'gender']"
5,1,0.08206236858013377,"['engineering', 'students', 'education', 'science', 'university', 'course', 'program', 'courses', 'paper', 'research']"
5,2,0.07581348322507296,"['teachers', 'education', 'teaching', 'teacher', 'research', 'mathematics education', 'study', 'knowledge', 'learning', 'mathematical']"
5,3,0.07242121545553644,"['students', 'learning', 'study', 'mathematical', 'based', 'problem', 'research', 'results', 'using', 'data']"
5,4,0.23599099576490382,"['stem', 'learning', 'education', 'technology', 'science', 'students', 'engineering', 'science technology', 'technology engineering', 'based']"
10,0,0.14435696091165923,"['students', 'self', 'stem', 'gender', 'study', 'women', 'efficacy', 'factors', 'self efficacy', 'research']"
10,1,0.025166299404303743,"['education', 'research', 'mathematics education', 'mathematical', 'article', 'teaching', 'educational', 'work', 'studies', 'paper']"
10,2,0.13940478038746537,"['teachers', 'teacher', 'teaching', 'education', 'study', 'knowledge', 'classroom', 'professional', 'service', 'mathematics teachers']"
10,3,0.17288802895529823,"['students', 'mathematical', 'problem', 'solving', 'problems', 'thinking', 'problem solving', 'study', 'skills', 'understanding']"
10,4,0.29413331888428346,"['stem', 'education', 'science', 'technology', 'stem education', 'science technology', 'engineering', 'technology engineering', 'development', 'educational']"
10,5,0.08466907296117752,"['students', 'study', 'school', 'performance', 'test', 'results', 'education', 'academic', 'level', 'group']"
10,6,0.04631415236170323,"['data', 'based', 'computer', 'use', 'using', 'learning', 'teaching', 'paper', 'education', 'educational']"
10,7,0.0856039630265864,"['children', 'school', 'achievement', 'early', 'education', 'reading', 'skills', 'math', 'language', 'educational']"
10,8,0.0755194941888059,"['learning', 'students', 'based', 'teaching', 'study', 'design', 'research', 'student', 'using', 'online']"
10,9,0.1256506866047122,"['engineering', 'students', 'science', 'program', 'course', 'university', 'courses', 'stem', 'student', 'school']"
15,0,0.19010259723126863,"['gender', 'students', 'self', 'study', 'factors', 'women', 'efficacy', 'self efficacy', 'female', 'anxiety']"
15,1,0.05322620376914738,"['education', 'research', 'mathematics education', 'studies', 'review', 'article', 'analysis', 'educational', 'field', 'teaching']"
15,2,0.06289766418193442,"['learning', 'research', 'students', 'education', 'classroom', 'practices', 'mathematics education', 'practice', 'teaching', 'student']"
15,3,0.17092359764050616,"['mathematical', 'problem', 'students', 'solving', 'problems', 'problem solving', 'study', 'reasoning', 'thinking', 'understanding']"
15,4,0.2883107717151863,"['stem', 'education', 'science', 'technology', 'stem education', 'science technology', 'engineering', 'technology engineering', 'skills', 'learning']"
15,5,0.14794369295453816,"['students', 'study', 'test', 'performance', 'group', 'results', 'significant', 'achievement', 'grade', 'effect']"
15,6,0.06596195158698381,"['education', 'school', 'schools', 'curriculum', 'secondary', 'assessment', 'science', 'educational', 'language', 'national']"
15,7,0.11631338044249032,"['children', 'school', 'early', 'achievement', 'academic', 'skills', 'reading', 'performance', 'study', 'math']"
15,8,0.08189712518900591,"['learning', 'students', 'research', 'based', 'study', 'model', 'thinking', 'skills', 'using', 'design']"
15,9,0.21962538688292707,"['science', 'stem', 'students', 'research', 'college', 'engineering', 'faculty', 'programs', 'technology', 'science technology']"
15,10,0.07402555218856698,"['teachers', 'teaching', 'study', 'learning', 'data', 'use', 'digital', 'professional', 'school', 'classroom']"
15,11,0.12986446898578832,"['students', 'course', 'courses', 'university', 'student', 'physics', 'engineering', 'year', 'undergraduate', 'higher']"
15,12,0.214760926809397,"['teachers', 'teacher', 'knowledge', 'education', 'service', 'pre', 'teaching', 'teacher education', 'pre service', 'content']"
15,13,0.12182524008000656,"['engineering', 'students', 'program', 'project', 'school', 'science', 'design', 'high', 'activities', 'technology']"
15,14,0.04631415236170323,"['learning', 'based', 'computer', 'data', 'using', 'teaching', 'use', 'educational', 'education', 'paper']"
