keyword,community,degree,weighted_degree
mathematics education,2,581,38891
stem education,3,161,8597
education,1,61,4397
mathematics,1,53,3873
engineering education,3,69,3495
teacher education,2,42,3301
science education,3,28,1946
problem solving,3,15,1428
higher education,3,23,1233
professional development,2,14,1170
teacher training,2,13,1083
engineering,1,12,781
computational thinking,3,14,716
artificial intelligence,4,12,684
academic performance,4,16,677
pre-service teachers,2,6,646
critical thinking,3,8,624
computer science,1,12,609
science,1,5,604
preservice teachers,2,6,530
pedagogy,2,8,507
machine learning,4,11,496
stem,1,9,484
academic achievement,4,10,478
motivation,3,9,477
online learning,2,8,477
curriculum,1,5,473
students,1,7,470
primary education,2,7,454
technology,1,6,446
geometry,1,5,428
pedagogical content knowledge,2,6,391
learning,1,6,387
robotics,1,9,383
teacher preparation,2,5,379
student performance,4,7,378
mathematical knowledge,2,2,362
augmented reality,3,6,360
calculus,1,6,359
technology integration,2,5,357
student learning,3,5,350
secondary education,2,5,346
self-efficacy,3,5,341
teacher knowledge,2,4,340
high school students,3,4,332
teaching methods,2,2,322
collaborative learning,3,4,317
teaching,1,4,314
student achievement,2,3,310
student engagement,3,5,308
teacher development,2,5,307
undergraduate students,3,3,302
educational technology,2,5,295
research,1,3,289
mathematical thinking,2,3,286
prospective teachers,2,2,285
teacher professional development,3,4,278
active learning,3,4,274
gender,1,6,273
project-based learning,3,4,270
elementary school,2,3,261
mathematics teaching,2,2,260
curriculum development,3,4,255
null,1,3,249
mathematical modeling,2,4,247
elementary education,2,4,242
diversity,5,7,233
engineering students,3,4,233
lesson study,2,3,232
data mining,4,7,230
mathematical modelling,2,2,223
curricula,3,5,221
algebra,2,3,219
mathematics teachers,2,3,216
numeracy,1,5,214
programming,1,6,214
gender differences,2,2,209
virtual reality,3,4,208
socioeconomic status,4,5,208
gender gap,3,4,206
equity,5,4,205
primary school,2,1,205
social justice,2,3,204
teacher learning,2,3,204
qualitative research,2,2,203
physics,1,3,200
teachers,1,4,197
early childhood,2,3,196
middle school,3,3,195
curriculum design,3,3,194
statistics,1,4,185
e-learning,2,3,185
inquiry-based learning,3,4,185
problem-solving,2,3,183
engineering design,3,3,182
distance learning,2,3,182
mathematics teacher,2,2,180
systematic review,3,3,177
special education,2,2,173
problem posing,2,3,170
mathematical reasoning,2,2,170
technology education,3,4,168
