sim_mean_bin,unique_edges,edge_instances,cum_share_instances
"(-0.201, -0.15]",1,1,1.890359168241966e-06
"(-0.15, -0.1]",47,52,0.0001001890359168242
"(-0.1, -0.05]",342,368,0.0007958412098298677
"(-0.05, -0.0]",1770,1964,0.0045085066162570886
"(-0.0, 0.05]",6460,7345,0.01839319470699433
"(0.05, 0.1]",16488,19753,0.05573345935727788
"(0.1, 0.15]",29638,35504,0.12284877126654065
"(0.15, 0.2]",41253,51943,0.22103969754253308
"(0.2, 0.25]",47534,59662,0.33382230623818526
"(0.25, 0.3]",46816,60292,0.44779584120982985
"(0.3, 0.35]",42203,59122,0.5595576559546314
"(0.35, 0.4]",35570,49499,0.6531285444234405
"(0.4, 0.45]",28787,44178,0.7366408317580341
"(0.45, 0.5]",22307,37865,0.8082192816635161
"(0.5, 0.55]",17042,28960,0.8629640831758034
"(0.55, 0.6]",12768,24458,0.9091984877126654
"(0.6, 0.65]",9006,15046,0.937640831758034
"(0.65, 0.7]",6547,10032,0.9566049149338375
"(0.7, 0.75]",4763,7669,0.9711020793950851
"(0.75, 0.8]",3416,5954,0.9823572778827977
"(0.8, 0.85]",2280,4079,0.9900680529300567
"(0.85, 0.9]",1355,2878,0.9955085066162571
"(0.9, 0.95]",599,1826,0.9989603024574669
"(0.95, 1.0]",152,550,1.0
